CPUID:,0x6FD
Processor:,Mobile Intel Core 2 Duo T5870 (Merom-2M)
Platform:,Socket P (mFCPGA-478)
Revision:,M0
Lithography:,65nm

Session start:,12:40:46 - July 01 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:40:47,46,48,,,46,50,9,795.47,,48,55,2,795.47,
12:40:48,46,48,,,46,50,22,845.19,,48,55,9,845.19,
12:40:49,49,52,,,46,50,9,795.47,,48,55,20,795.47,
12:40:50,47,48,,,46,50,34,1193.21,,48,55,20,1193.21,
12:40:51,50,50,,,46,50,45,1093.78,,48,55,35,994.34,
12:40:52,54,55,,,46,54,51,1590.95,,48,55,58,1590.95,
12:40:53,50,50,,,46,54,45,1690.38,,48,55,51,1690.38,
12:40:54,49,51,,,46,54,57,1690.38,,48,55,29,1690.38,
12:40:55,48,49,,,46,54,32,1093.78,,48,55,25,1093.78,
12:40:56,47,49,,,46,54,6,994.34,,48,55,2,944.62,
12:40:57,47,49,,,46,54,3,795.47,,48,55,5,795.47,
12:40:58,47,48,,,46,54,23,994.34,,48,55,15,994.34,
12:40:59,46,48,,,46,54,6,994.34,,48,55,2,994.34,
12:41:00,47,48,,,46,54,2,795.47,,48,55,14,795.47,
12:41:01,47,48,,,46,54,3,795.47,,48,55,6,795.47,
12:41:02,46,48,,,46,54,3,795.47,,48,55,3,795.47,
12:41:04,48,49,,,46,54,11,1093.78,,48,55,5,1093.78,
12:41:05,48,49,,,46,54,25,1292.64,,48,55,14,1292.64,
12:41:06,47,48,,,46,54,11,1292.64,,48,55,8,1292.64,
12:41:07,47,48,,,46,54,0,795.47,,48,55,3,795.47,
12:41:08,46,48,,,46,54,5,795.47,,48,55,2,795.47,
12:41:09,47,48,,,46,54,15,944.62,,48,55,11,944.62,
12:41:10,47,48,,,46,54,0,795.47,,48,55,5,795.47,
12:41:11,46,48,,,46,54,2,795.47,,48,55,0,795.47,
12:41:12,46,48,,,46,54,9,894.91,,48,55,5,894.91,
12:41:13,47,48,,,46,54,0,795.47,,48,55,2,795.47,
12:41:14,46,48,,,46,54,5,795.47,,48,55,2,795.47,
12:41:15,46,48,,,46,54,2,795.47,,48,55,0,795.47,
12:41:16,46,48,,,46,54,3,795.47,,48,55,3,795.47,
