CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,12:29:51 - July 01 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:29:52,43,34,,,43,45,2,1595.94,,34,39,5,1595.94,
12:29:53,43,35,,,43,45,5,1595.94,,34,39,4,1595.94,
12:29:54,43,34,,,43,45,2,1595.94,,34,39,2,1595.94,
12:29:55,43,34,,,43,45,7,1595.94,,34,39,2,1595.94,
12:29:56,43,35,,,43,45,22,1728.93,,34,39,13,1861.93,
12:29:57,43,35,,,43,45,11,1728.93,,34,39,11,1595.94,
12:29:58,43,35,,,43,45,22,1861.93,,34,39,25,1994.92,
12:29:59,43,35,,,43,45,2,1728.93,,34,39,4,1728.93,
12:30:00,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:02,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:03,43,35,,,43,45,4,1595.94,,34,39,4,1595.94,
12:30:04,43,34,,,43,45,4,1595.94,,34,39,5,1595.94,
12:30:05,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:06,43,34,,,43,45,2,1595.94,,34,39,4,1595.94,
12:30:07,43,35,,,43,45,4,1595.94,,34,39,2,1595.94,
12:30:08,43,34,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:09,43,34,,,43,45,4,1595.94,,34,39,2,1595.94,
12:30:10,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:11,43,34,,,43,45,2,1595.94,,34,39,4,1595.94,
12:30:12,43,34,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:13,43,34,,,43,45,1,1595.94,,34,39,4,1595.94,
12:30:14,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:15,43,34,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:16,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:17,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:18,43,35,,,43,45,2,1595.94,,34,39,1,1595.94,
12:30:19,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:20,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:21,43,34,,,43,45,2,1595.94,,34,39,4,1595.94,
12:30:22,43,35,,,43,45,5,1728.93,,34,39,8,1728.93,
12:30:23,43,35,,,43,45,4,1595.94,,34,39,7,1595.94,
12:30:24,43,35,,,43,45,2,1595.94,,34,39,1,1595.94,
12:30:25,43,35,,,43,45,2,1595.94,,34,39,1,1595.94,
12:30:26,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:27,43,35,,,43,45,4,1595.94,,34,39,1,1595.94,
12:30:28,43,35,,,43,45,2,1595.94,,34,39,1,1595.94,
12:30:29,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:30,43,34,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:31,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:32,43,34,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:33,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:34,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:35,43,34,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:36,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:37,43,37,,,43,45,22,1994.92,,34,39,5,1994.92,
12:30:38,43,36,,,43,45,57,2393.90,,34,39,15,2393.90,
12:30:39,43,38,,,43,45,49,2393.90,,34,39,28,2260.91,
12:30:40,43,36,,,43,45,46,2260.91,,34,39,26,2393.90,
12:30:41,43,37,,,43,45,47,2393.90,,34,39,36,2393.90,
12:30:42,43,35,,,43,45,31,1994.92,,34,39,8,1994.92,
12:30:44,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:45,43,38,,,43,45,12,1994.92,,34,39,21,2260.91,
12:30:46,43,38,,,43,45,28,1728.93,,34,39,20,1861.93,
12:30:47,43,38,,,43,45,27,2260.91,,34,39,53,2260.91,
12:30:48,43,37,,,43,45,25,2526.90,,34,39,54,2393.90,
12:30:49,43,35,,,43,45,2,1595.94,,34,39,6,1595.94,
12:30:50,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:51,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:52,43,35,,,43,45,1,1595.94,,34,39,4,1595.94,
12:30:53,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:54,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:30:55,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:56,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:57,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:30:58,43,34,,,43,45,1,1595.94,,34,39,2,1595.94,
12:30:59,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:31:00,43,35,,,43,45,4,1595.94,,34,39,8,1595.94,
12:31:01,43,35,,,43,45,4,1595.94,,34,39,10,1595.94,
12:31:02,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:31:03,43,35,,,43,45,1,1595.94,,34,39,4,1595.94,
12:31:04,43,35,,,43,45,10,1595.94,,34,39,5,1595.94,
12:31:05,43,35,,,43,45,1,1595.94,,34,39,2,1595.94,
12:31:06,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
12:31:07,43,35,,,43,45,2,1595.94,,34,39,1,1595.94,
12:31:08,43,34,,,43,45,1,1595.94,,34,39,1,1595.94,
12:31:09,43,35,,,43,45,5,1595.94,,34,39,1,1595.94,
12:31:10,43,35,,,43,45,5,1728.93,,34,39,14,1728.93,
12:31:11,43,35,,,43,45,2,1595.94,,34,39,2,1595.94,
12:31:12,43,35,,,43,45,2,1595.94,,34,39,1,1595.94,
12:31:13,43,35,,,43,45,1,1595.94,,34,39,1,1595.94,
