Unique ID, Manufacturer, Chemistry, Voltage (Volts)
 Hewlett-PackardPrimary, Hewlett-Packard, Nickel Metal Hydride, 12.53

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2011-07-01, 15:36:50, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:51, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:52, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:53, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:54, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:55, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:56, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:57, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:58, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:36:59, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:00, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:01, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:02, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:03, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
