CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,12:41:06 - July 01 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:41:07,44,41,,,44,44,1,1595.95,,41,41,1,1595.95,
12:41:08,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:09,44,41,,,44,44,0,1595.95,,41,41,2,1595.95,
12:41:10,44,41,,,44,44,0,1595.95,,41,41,1,1595.95,
12:41:11,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:12,44,41,,,44,44,8,1728.95,,41,41,14,1728.95,
12:41:13,44,41,,,44,44,1,1728.95,,41,41,7,1728.95,
12:41:14,44,41,,,44,44,0,1595.95,,41,41,2,1595.95,
12:41:15,44,41,,,44,44,0,1595.95,,41,41,3,1595.95,
12:41:16,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:17,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:18,44,41,,,44,44,0,1595.95,,41,41,4,1595.95,
12:41:19,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:20,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:21,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:22,44,41,,,44,44,2,1595.95,,41,41,0,1595.95,
12:41:23,44,41,,,44,44,2,1595.95,,41,41,3,1595.95,
12:41:24,44,41,,,44,44,17,1728.95,,41,41,3,1728.95,
12:41:25,44,41,,,44,44,11,1728.95,,41,41,9,1728.95,
12:41:26,44,41,,,44,44,1,1595.95,,41,41,3,1595.95,
12:41:27,44,41,,,44,44,5,1728.95,,41,41,8,1728.95,
12:41:28,44,41,,,44,44,26,1994.94,,41,41,23,1994.94,
12:41:29,44,41,,,44,44,3,1595.95,,41,41,3,1595.95,
12:41:30,44,41,,,44,44,11,1595.95,,41,41,14,1595.95,
12:41:31,44,41,,,44,44,12,1595.95,,41,41,9,1595.95,
12:41:32,44,41,,,44,44,5,1595.95,,41,41,14,1595.95,
12:41:33,44,41,,,44,44,2,1595.95,,41,41,9,1595.95,
12:41:34,44,41,,,44,44,6,1595.95,,41,41,0,1595.95,
12:41:35,44,41,,,44,44,6,1595.95,,41,41,3,1595.95,
12:41:36,44,41,,,44,44,2,1595.95,,41,41,5,1595.95,
12:41:37,44,41,,,44,44,3,1595.95,,41,41,5,1595.95,
12:41:38,44,41,,,44,44,0,1595.95,,41,41,0,1595.95,
12:41:39,44,41,,,44,44,8,1595.95,,41,41,8,1595.95,
12:41:40,44,41,,,44,44,8,1728.95,,41,41,3,1728.95,
12:41:41,44,41,,,44,44,6,1595.95,,41,41,8,1595.95,
12:41:42,44,41,,,44,44,8,1595.95,,41,41,9,1595.95,
12:41:43,44,41,,,44,44,2,1595.95,,41,41,6,1595.95,
12:41:44,46,41,,,44,46,22,1728.95,,41,41,21,1861.94,
12:41:45,45,42,,,44,46,54,2526.92,,41,42,40,2526.92,
12:41:46,48,43,,,44,48,52,2393.93,,41,43,25,2260.93,
12:41:47,49,42,,,44,49,53,2526.92,,41,43,34,2526.92,
12:41:48,50,42,,,44,50,62,2526.92,,41,43,37,2526.92,
12:41:50,44,41,,,44,50,37,2127.94,,41,43,28,2260.93,
12:41:51,44,41,,,44,50,8,1728.95,,41,43,15,1861.94,
12:41:52,44,41,,,44,50,6,1595.95,,41,43,9,1728.95,
12:41:53,44,41,,,44,50,18,1994.94,,41,43,17,1861.94,
12:41:54,44,41,,,44,50,12,1595.95,,41,43,8,1728.95,
12:41:55,44,41,,,44,50,6,1595.95,,41,43,6,1595.95,
12:41:56,44,41,,,44,50,5,1595.95,,41,43,5,1595.95,
12:41:57,44,41,,,44,50,5,1595.95,,41,43,0,1595.95,
