Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
45589	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45592	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45595	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45598	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45601	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45604	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45607	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45610	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45613	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45616	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45619	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45622	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45625	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45628	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45631	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45634	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45638	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45641	44.0	44.0	39.0	47.0	42.0	3.38	1.1
45644	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45647	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45650	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45653	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45656	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45659	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45662	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45665	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45668	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45671	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45674	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45677	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45680	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45683	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45687	44.0	44.0	39.0	44.0	41.0	3.36	1.11
45690	44.0	44.0	39.0	44.0	41.0	3.36	1.11
45693	44.0	44.0	39.0	44.0	41.0	3.36	1.11
45696	44.0	44.0	39.0	44.0	41.0	3.36	1.11
45699	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45702	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45705	44.0	44.0	39.0	48.0	41.0	3.38	1.1
45708	44.0	44.0	39.0	46.0	42.0	3.38	1.1
45711	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45714	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45717	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45720	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45723	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45726	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45729	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45732	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45735	44.0	44.0	39.0	44.0	41.0	3.38	1.1
45739	44.0	44.0	39.0	44.0	41.0	3.38	1.1
