Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
45330	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45333	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45336	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45340	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45343	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45346	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45349	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45352	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45355	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45358	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45361	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45364	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45367	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45370	44.0	44.0	41.0	45.0	38.0	3.34	1.1
45373	44.0	44.0	41.0	45.0	38.0	3.34	1.1
45376	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45379	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45382	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45386	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45389	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45392	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45395	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45398	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45401	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45404	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45407	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45410	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45413	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45416	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45419	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45422	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45425	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45429	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45432	43.0	43.0	41.0	43.0	34.0	3.34	1.1
45435	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45438	45.0	45.0	41.0	43.0	37.0	3.34	1.1
45441	43.0	43.0	41.0	43.0	36.0	3.34	1.1
45444	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45447	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45450	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45453	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45456	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45459	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45462	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45465	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45468	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45471	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45474	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45477	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45481	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45484	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45487	43.0	43.0	41.0	43.0	36.0	3.34	1.1
45490	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45493	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45496	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45499	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45502	44.0	44.0	41.0	43.0	35.0	3.34	1.1
45505	43.0	43.0	41.0	43.0	36.0	3.34	1.1
45508	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45511	43.0	43.0	41.0	43.0	36.0	3.34	1.1
45514	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45517	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45520	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45523	43.0	43.0	41.0	43.0	34.0	3.34	1.1
45526	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45530	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45533	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45536	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45539	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45542	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45545	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45548	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45551	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45554	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45557	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45560	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45563	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45566	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45569	43.0	43.0	41.0	43.0	36.0	3.34	1.1
45572	43.0	43.0	41.0	44.0	38.0	3.34	1.1
45575	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45579	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45582	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45585	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45588	43.0	43.0	41.0	43.0	34.0	3.34	1.1
45591	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45594	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45597	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45600	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45603	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45606	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45609	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45612	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45615	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45618	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45621	43.0	43.0	41.0	43.0	35.0	3.34	1.1
45624	43.0	43.0	41.0	43.0	35.0	3.34	1.1
