CPUID:,,,,0x1067A,,,,,,,,,,,,
Processor:,,,,Intel Core 2 Duo E7500 (Wolfdale-3M),,,,,,,,,,,,
Platform:,,,,LGA 775 (Socket T),,,,,,,,,,,,
Revision:,,,,R0,,,,,,,,,,,,
Lithography:,,,,45nm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Session start:,,,,12:41:06 - July 01 - 2011,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time,avg core temp,avg load,avg freq,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz)
12:41:07,42.50,1.00,1595.95,44,41,,,44,44,1,1595.95,,41,41,1,1595.95
12:41:08,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:09,42.50,1.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,2,1595.95
12:41:10,42.50,0.50,1595.95,44,41,,,44,44,0,1595.95,,41,41,1,1595.95
12:41:11,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:12,42.50,11.00,1728.95,44,41,,,44,44,8,1728.95,,41,41,14,1728.95
12:41:13,42.50,4.00,1728.95,44,41,,,44,44,1,1728.95,,41,41,7,1728.95
12:41:14,42.50,1.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,2,1595.95
12:41:15,42.50,1.50,1595.95,44,41,,,44,44,0,1595.95,,41,41,3,1595.95
12:41:16,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:17,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:18,42.50,2.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,4,1595.95
12:41:19,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:20,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:21,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:22,42.50,1.00,1595.95,44,41,,,44,44,2,1595.95,,41,41,0,1595.95
12:41:23,42.50,2.50,1595.95,44,41,,,44,44,2,1595.95,,41,41,3,1595.95
12:41:24,42.50,10.00,1728.95,44,41,,,44,44,17,1728.95,,41,41,3,1728.95
12:41:25,42.50,10.00,1728.95,44,41,,,44,44,11,1728.95,,41,41,9,1728.95
12:41:26,42.50,2.00,1595.95,44,41,,,44,44,1,1595.95,,41,41,3,1595.95
12:41:27,42.50,6.50,1728.95,44,41,,,44,44,5,1728.95,,41,41,8,1728.95
12:41:28,42.50,24.50,1994.94,44,41,,,44,44,26,1994.94,,41,41,23,1994.94
12:41:29,42.50,3.00,1595.95,44,41,,,44,44,3,1595.95,,41,41,3,1595.95
12:41:30,42.50,12.50,1595.95,44,41,,,44,44,11,1595.95,,41,41,14,1595.95
12:41:31,42.50,10.50,1595.95,44,41,,,44,44,12,1595.95,,41,41,9,1595.95
12:41:32,42.50,9.50,1595.95,44,41,,,44,44,5,1595.95,,41,41,14,1595.95
12:41:33,42.50,5.50,1595.95,44,41,,,44,44,2,1595.95,,41,41,9,1595.95
12:41:34,42.50,3.00,1595.95,44,41,,,44,44,6,1595.95,,41,41,0,1595.95
12:41:35,42.50,4.50,1595.95,44,41,,,44,44,6,1595.95,,41,41,3,1595.95
12:41:36,42.50,3.50,1595.95,44,41,,,44,44,2,1595.95,,41,41,5,1595.95
12:41:37,42.50,4.00,1595.95,44,41,,,44,44,3,1595.95,,41,41,5,1595.95
12:41:38,42.50,0.00,1595.95,44,41,,,44,44,0,1595.95,,41,41,0,1595.95
12:41:39,42.50,8.00,1595.95,44,41,,,44,44,8,1595.95,,41,41,8,1595.95
12:41:40,42.50,5.50,1728.95,44,41,,,44,44,8,1728.95,,41,41,3,1728.95
12:41:41,42.50,7.00,1595.95,44,41,,,44,44,6,1595.95,,41,41,8,1595.95
12:41:42,42.50,8.50,1595.95,44,41,,,44,44,8,1595.95,,41,41,9,1595.95
12:41:43,42.50,4.00,1595.95,44,41,,,44,44,2,1595.95,,41,41,6,1595.95
12:41:44,43.50,21.50,1795.45,46,41,,,44,46,22,1728.95,,41,41,21,1861.94
12:41:45,43.50,47.00,2526.92,45,42,,,44,46,54,2526.92,,41,42,40,2526.92
12:41:46,45.50,38.50,2327.43,48,43,,,44,48,52,2393.93,,41,43,25,2260.93
12:41:47,45.50,43.50,2526.92,49,42,,,44,49,53,2526.92,,41,43,34,2526.92
12:41:48,46.00,49.50,2526.92,50,42,,,44,50,62,2526.92,,41,43,37,2526.92
12:41:50,42.50,32.50,2194.44,44,41,,,44,50,37,2127.94,,41,43,28,2260.93
12:41:51,42.50,11.50,1795.45,44,41,,,44,50,8,1728.95,,41,43,15,1861.94
12:41:52,42.50,7.50,1662.45,44,41,,,44,50,6,1595.95,,41,43,9,1728.95
12:41:53,42.50,17.50,1928.44,44,41,,,44,50,18,1994.94,,41,43,17,1861.94
12:41:54,42.50,10.00,1662.45,44,41,,,44,50,12,1595.95,,41,43,8,1728.95
12:41:55,42.50,6.00,1595.95,44,41,,,44,50,6,1595.95,,41,43,6,1595.95
12:41:56,42.50,5.00,1595.95,44,41,,,44,50,5,1595.95,,41,43,5,1595.95
12:41:57,42.50,2.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,0,1595.95
12:41:58,42.50,16.50,1861.94,44,41,,,44,50,18,1861.94,,41,43,15,1861.94
12:41:59,42.50,10.00,1728.95,44,41,,,44,50,6,1728.95,,41,43,14,1728.95
12:42:00,42.50,1.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,0,1595.95
12:42:01,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:02,42.50,1.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,3,1595.95
12:42:03,42.50,1.00,1595.95,44,41,,,44,50,1,1595.95,,41,43,1,1595.95
12:42:04,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:05,42.50,0.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,1,1595.95
12:42:06,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:07,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:08,42.50,0.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,1,1595.95
12:42:09,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:10,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:11,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:42:12,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:13,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:14,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:42:15,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:16,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:17,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:42:18,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:19,42.50,7.00,1662.45,44,41,,,44,50,9,1595.95,,41,43,5,1728.95
12:42:20,42.50,8.50,1728.95,44,41,,,44,50,11,1595.95,,41,43,6,1861.94
12:42:21,42.50,25.50,1928.44,44,41,,,44,50,23,1861.94,,41,43,28,1994.94
12:42:22,42.50,22.50,1928.44,44,41,,,44,50,22,1994.94,,41,43,23,1861.94
12:42:23,42.50,10.00,1795.45,44,41,,,44,50,5,1861.94,,41,43,15,1728.95
12:42:24,42.50,5.50,1662.45,44,41,,,44,50,6,1728.95,,41,43,5,1595.95
12:42:25,42.50,1.00,1662.45,44,41,,,44,50,0,1595.95,,41,43,2,1728.95
12:42:26,42.50,2.50,1662.45,44,41,,,44,50,3,1728.95,,41,43,2,1595.95
12:42:27,42.50,1.50,1662.45,44,41,,,44,50,0,1595.95,,41,43,3,1728.95
12:42:28,42.50,10.50,1728.95,44,41,,,44,50,6,1728.95,,41,43,15,1728.95
12:42:29,42.50,3.00,1728.95,44,41,,,44,50,3,1728.95,,41,43,3,1728.95
12:42:30,42.50,4.50,1662.45,44,41,,,44,50,3,1728.95,,41,43,6,1595.95
12:42:31,42.50,16.00,1861.94,44,41,,,44,50,17,1861.94,,41,43,15,1861.94
12:42:32,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:42:33,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:34,42.50,8.50,1728.95,44,41,,,44,50,8,1728.95,,41,43,9,1728.95
12:42:35,42.50,7.00,1595.95,44,41,,,44,50,8,1595.95,,41,43,6,1595.95
12:42:36,42.50,5.50,1595.95,44,41,,,44,50,6,1595.95,,41,43,5,1595.95
12:42:37,42.50,3.00,1595.95,44,41,,,44,50,6,1595.95,,41,43,0,1595.95
12:42:38,42.50,2.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,2,1595.95
12:42:39,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:42:40,42.50,4.00,1728.95,44,41,,,44,50,5,1728.95,,41,43,3,1728.95
12:42:41,42.50,5.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,6,1595.95
12:42:42,42.50,7.00,1728.95,44,41,,,44,50,6,1728.95,,41,43,8,1728.95
12:42:43,42.50,8.00,1595.95,44,41,,,44,50,8,1595.95,,41,43,8,1595.95
12:42:44,43.00,9.00,1928.44,45,41,,,44,50,8,1994.94,,41,43,10,1861.94
12:42:45,42.50,21.00,1928.44,44,41,,,44,50,24,1861.94,,41,43,18,1994.94
12:42:46,42.50,15.50,1595.95,44,41,,,44,50,12,1595.95,,41,43,19,1595.95
12:42:47,42.50,8.50,1595.95,44,41,,,44,50,6,1595.95,,41,43,11,1595.95
12:42:48,42.50,6.50,1861.94,44,41,,,44,50,6,1861.94,,41,43,7,1861.94
12:42:49,43.00,28.00,2460.43,45,41,,,44,50,25,2526.92,,41,43,31,2393.93
12:42:50,42.50,46.00,2526.92,44,41,,,44,50,43,2526.92,,41,43,49,2526.92
12:42:51,42.50,57.00,2526.92,44,41,,,44,50,57,2526.92,,41,43,57,2526.92
12:42:52,42.50,48.00,2393.93,44,41,,,44,50,49,2526.92,,41,43,47,2260.93
12:42:53,43.50,38.00,2393.93,46,41,,,44,50,49,2393.93,,41,43,27,2393.93
12:42:54,42.50,34.50,2194.44,44,41,,,44,50,45,2393.93,,41,43,24,1994.94
12:42:55,42.50,14.00,1662.45,44,41,,,44,50,14,1728.95,,41,43,14,1595.95
12:42:56,42.50,2.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,2,1595.95
12:42:57,42.50,6.00,1861.95,44,41,,,44,50,3,1595.95,,41,43,9,2127.94
12:42:58,42.50,20.00,1861.95,44,41,,,44,50,22,2127.94,,41,43,18,1595.95
12:42:59,42.50,5.50,1662.45,44,41,,,44,50,5,1595.95,,41,43,6,1728.95
12:43:00,42.50,4.00,1662.45,44,41,,,44,50,0,1728.95,,41,43,8,1595.95
12:43:02,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:43:03,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:43:04,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:05,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:06,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:43:07,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:08,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:09,42.50,0.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,1,1595.95
12:43:10,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:11,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:12,42.50,1.50,1595.95,44,41,,,44,50,3,1595.95,,41,43,0,1595.95
12:43:13,42.50,1.50,1595.95,44,41,,,44,50,3,1595.95,,41,43,0,1595.95
12:43:14,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:15,42.50,0.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,1,1595.95
12:43:16,42.50,2.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,0,1595.95
12:43:17,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:18,42.50,1.00,1595.95,44,41,,,44,50,1,1595.95,,41,43,1,1595.95
12:43:19,42.50,4.50,1595.95,44,41,,,44,50,3,1595.95,,41,43,6,1595.95
12:43:20,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:43:21,42.50,12.50,1994.94,44,41,,,44,50,11,1994.94,,41,43,14,1994.94
12:43:22,42.50,21.50,1861.94,44,41,,,44,50,14,1861.94,,41,43,29,1861.94
12:43:23,42.50,10.50,1595.95,44,41,,,44,50,12,1595.95,,41,43,9,1595.95
12:43:24,42.50,6.00,1728.95,44,41,,,44,50,5,1728.95,,41,43,7,1728.95
12:43:25,44.00,8.50,1861.94,47,41,,,44,50,11,1861.94,,41,43,6,1861.94
12:43:26,42.50,5.00,1595.95,44,41,,,44,50,7,1595.95,,41,43,3,1595.95
12:43:27,42.50,3.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,6,1595.95
12:43:28,42.50,11.00,1595.95,44,41,,,44,50,14,1595.95,,41,43,8,1595.95
12:43:29,42.50,3.50,1595.95,44,41,,,44,50,2,1595.95,,41,43,5,1595.95
12:43:30,42.50,2.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,2,1595.95
12:43:31,42.50,7.00,1595.95,44,41,,,44,50,8,1595.95,,41,43,6,1595.95
12:43:32,42.50,4.00,1662.45,44,41,,,44,50,3,1728.95,,41,43,5,1595.95
12:43:33,42.50,11.00,1795.45,44,41,,,44,50,8,1861.94,,41,43,14,1728.95
12:43:34,42.50,18.50,1728.95,44,41,,,44,50,22,1728.95,,41,43,15,1728.95
12:43:35,42.50,13.50,1662.45,44,41,,,44,50,12,1595.95,,41,43,15,1728.95
12:43:36,42.50,16.00,1861.94,44,41,,,44,50,20,1861.94,,41,43,12,1861.94
12:43:37,43.50,22.00,1994.94,46,41,,,44,50,22,1994.94,,41,43,22,1994.94
12:43:38,42.50,21.00,1994.94,44,41,,,44,50,15,1994.94,,41,43,27,1994.94
12:43:39,42.50,21.50,1928.44,44,41,,,44,50,17,1994.94,,41,43,26,1861.94
12:43:40,42.50,15.50,1928.44,44,41,,,44,50,11,1994.94,,41,43,20,1861.94
12:43:41,42.50,5.50,1861.94,44,41,,,44,50,5,1861.94,,41,43,6,1861.94
12:43:42,42.50,10.00,1728.95,44,41,,,44,50,9,1728.95,,41,43,11,1728.95
12:43:43,42.50,5.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,8,1595.95
12:43:44,43.00,8.50,1994.94,45,41,,,44,50,6,1994.94,,41,43,11,1994.94
12:43:45,42.50,36.00,1861.94,44,41,,,44,50,35,1861.94,,41,43,37,1861.94
12:43:46,42.50,7.00,1728.95,44,41,,,44,50,2,1728.95,,41,43,12,1728.95
12:43:47,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:48,42.50,6.50,1595.95,44,41,,,44,50,8,1595.95,,41,43,5,1595.95
12:43:49,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:43:50,42.50,10.50,1994.94,44,41,,,44,50,9,1994.94,,41,43,12,1994.94
12:43:51,42.50,22.50,1861.94,44,41,,,44,50,12,1861.94,,41,43,33,1861.94
12:43:52,42.50,3.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,2,1595.95
12:43:53,42.50,2.50,1595.95,44,41,,,44,50,3,1595.95,,41,43,2,1595.95
12:43:54,42.50,4.50,1595.95,44,41,,,44,50,3,1595.95,,41,43,6,1595.95
12:43:55,44.00,12.50,2127.94,47,41,,,44,50,17,2127.94,,41,43,8,2127.94
12:43:56,45.50,43.50,2526.92,49,42,,,44,50,56,2526.92,,41,43,31,2526.92
12:43:57,45.00,41.00,2659.92,48,42,,,44,50,52,2659.92,,41,43,30,2659.92
12:43:58,45.50,51.00,2526.93,49,42,,,44,50,63,2659.92,,41,43,39,2393.93
12:43:59,44.50,35.00,2460.43,47,42,,,44,50,47,2526.92,,41,43,23,2393.93
12:44:00,42.50,30.50,2127.94,44,41,,,44,50,46,2393.93,,41,43,15,1861.94
12:44:01,42.50,4.50,1595.95,44,41,,,44,50,8,1595.95,,41,43,1,1595.95
12:44:02,42.50,5.50,1662.45,44,41,,,44,50,3,1595.95,,41,43,8,1728.95
12:44:03,42.50,14.50,1728.95,44,41,,,44,50,17,1728.95,,41,43,12,1728.95
12:44:04,42.50,23.00,1861.95,44,41,,,44,50,29,1994.94,,41,43,17,1728.95
12:44:05,42.50,5.50,1595.95,44,41,,,44,50,8,1595.95,,41,43,3,1595.95
12:44:06,42.50,1.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,3,1595.95
12:44:07,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:44:08,42.50,1.50,1595.95,44,41,,,44,50,0,1595.95,,41,43,3,1595.95
12:44:09,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:44:10,42.50,10.50,1662.45,44,41,,,44,50,9,1595.95,,41,43,12,1728.95
12:44:11,42.50,4.50,1595.95,44,41,,,44,50,6,1595.95,,41,43,3,1595.95
12:44:12,42.50,4.00,1595.95,44,41,,,44,50,3,1595.95,,41,43,5,1595.95
12:44:13,42.50,4.00,1595.95,44,41,,,44,50,3,1595.95,,41,43,5,1595.95
12:44:15,42.50,13.00,1595.95,44,41,,,44,50,17,1595.95,,41,43,9,1595.95
12:44:16,42.50,8.50,1662.45,44,41,,,44,50,8,1595.95,,41,43,9,1728.95
12:44:17,42.50,8.50,1595.95,44,41,,,44,50,6,1595.95,,41,43,11,1595.95
12:44:18,42.50,4.00,1662.45,44,41,,,44,50,3,1728.95,,41,43,5,1595.95
12:44:19,42.50,10.00,1662.45,44,41,,,44,50,9,1728.95,,41,43,11,1595.95
12:44:20,42.50,18.50,1662.45,44,41,,,44,50,20,1595.95,,41,43,17,1728.95
12:44:21,42.50,6.00,1595.95,44,41,,,44,50,9,1595.95,,41,43,3,1595.95
12:44:22,42.50,13.50,1728.95,44,41,,,44,50,12,1728.95,,41,43,15,1728.95
12:44:23,42.50,7.00,1728.95,44,41,,,44,50,9,1728.95,,41,43,5,1728.95
12:44:24,42.50,8.00,1595.95,44,41,,,44,50,5,1595.95,,41,43,11,1595.95
12:44:25,42.50,2.00,1595.95,44,41,,,44,50,3,1595.95,,41,43,1,1595.95
12:44:26,42.50,7.00,1795.45,44,41,,,44,50,11,1861.94,,41,43,3,1728.95
12:44:27,42.50,21.00,1994.94,44,41,,,44,50,31,1994.94,,41,43,11,1994.94
12:44:28,42.50,7.50,1795.45,44,41,,,44,50,10,1861.94,,41,43,5,1728.95
12:44:29,42.50,5.00,1728.95,44,41,,,44,50,5,1728.95,,41,43,5,1728.95
12:44:30,42.50,14.50,1728.95,44,41,,,44,50,14,1728.95,,41,43,15,1728.95
12:44:31,42.50,11.50,1795.45,44,41,,,44,50,6,1861.94,,41,43,17,1728.95
12:44:32,42.50,13.50,1861.94,44,41,,,44,50,15,1861.94,,41,43,12,1861.94
12:44:33,42.50,7.00,1662.45,44,41,,,44,50,11,1595.95,,41,43,3,1728.95
12:44:34,42.50,10.00,1728.95,44,41,,,44,50,12,1728.95,,41,43,8,1728.95
12:44:35,42.50,4.00,1595.95,44,41,,,44,50,3,1595.95,,41,43,5,1595.95
12:44:36,42.50,1.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,0,1595.95
12:44:37,42.50,7.00,1662.45,44,41,,,44,50,8,1728.95,,41,43,6,1595.95
12:44:38,42.50,13.00,1728.95,44,41,,,44,50,9,1728.95,,41,43,17,1728.95
12:44:39,42.50,10.00,1861.95,44,41,,,44,50,11,1728.95,,41,43,9,1994.94
12:44:40,42.50,10.00,1662.45,44,41,,,44,50,11,1595.95,,41,43,9,1728.95
12:44:41,42.50,10.00,1728.95,44,41,,,44,50,8,1728.95,,41,43,12,1728.95
12:44:42,42.50,7.00,1728.95,44,41,,,44,50,6,1728.95,,41,43,8,1728.95
12:44:43,42.50,3.00,1662.45,44,41,,,44,50,3,1728.95,,41,43,3,1595.95
12:44:44,42.50,22.50,1861.94,44,41,,,44,50,22,1861.94,,41,43,23,1861.94
12:44:45,42.50,10.00,1662.45,44,41,,,44,50,17,1728.95,,41,43,3,1595.95
12:44:46,42.50,22.50,1861.94,44,41,,,44,50,37,1861.94,,41,43,8,1861.94
12:44:47,42.50,17.00,1728.95,44,41,,,44,50,22,1728.95,,41,43,12,1728.95
12:44:48,42.50,3.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,2,1595.95
12:44:49,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:44:50,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:44:51,42.50,5.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,8,1595.95
12:44:52,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:44:53,42.50,5.50,1595.95,44,41,,,44,50,9,1595.95,,41,43,2,1595.95
12:44:54,42.50,1.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,0,1595.95
12:44:55,42.50,1.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,0,1595.95
12:44:56,42.50,4.50,1595.95,44,41,,,44,50,6,1595.95,,41,43,3,1595.95
12:44:57,42.50,4.00,1595.95,44,41,,,44,50,5,1595.95,,41,43,3,1595.95
12:44:58,42.50,3.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,2,1595.95
12:44:59,42.50,2.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,2,1595.95
12:45:00,42.50,3.50,1595.95,44,41,,,44,50,5,1595.95,,41,43,2,1595.95
12:45:01,42.50,21.00,2260.94,44,41,,,44,50,20,2393.93,,41,43,22,2127.94
12:45:02,42.50,45.00,2460.43,44,41,,,44,50,38,2526.92,,41,43,52,2393.93
12:45:03,42.50,35.50,2393.93,44,41,,,44,50,45,2393.93,,41,43,26,2393.93
12:45:04,42.50,38.50,2460.43,44,41,,,44,50,54,2393.93,,41,43,23,2526.92
12:45:05,43.00,42.00,2393.93,45,41,,,44,50,49,2393.93,,41,43,35,2393.93
12:45:06,42.50,13.50,1928.45,44,41,,,44,50,18,2127.94,,41,43,9,1728.95
12:45:07,42.50,1.50,1595.95,44,41,,,44,50,3,1595.95,,41,43,0,1595.95
12:45:08,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:45:09,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:45:10,42.50,2.00,1595.95,44,41,,,44,50,2,1595.95,,41,43,2,1595.95
12:45:11,42.50,2.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,4,1595.95
12:45:12,42.50,2.00,1595.95,44,41,,,44,50,3,1595.95,,41,43,1,1595.95
12:45:13,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:45:14,42.50,1.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,2,1595.95
12:45:15,42.50,0.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,0,1595.95
12:45:16,42.50,4.00,1595.95,44,41,,,44,50,0,1595.95,,41,43,8,1595.95
12:45:17,42.50,4.00,1728.95,44,41,,,44,50,2,1728.95,,41,43,6,1728.95
