(PDH-CSV 4.0) (India Standard Time)(-330),\\LAB2-PC15\Memory\Available MBytes,,,,,
07-01-2011 13:07,117,13,7,33,13:07:33,
07-01-2011 13:07,118,13,7,34,13:07:34,
07-01-2011 13:07,119,13,7,35,13:07:35,
07-01-2011 13:07,120,13,7,36,13:07:36,
07-01-2011 13:07,121,13,7,37,13:07:37,
07-01-2011 13:07,122,13,7,38,13:07:38,
07-01-2011 13:07,123,13,7,39,13:07:39,
07-01-2011 13:07,124,13,7,40,13:07:40,
07-01-2011 13:07,125,13,7,41,13:07:41,
07-01-2011 13:07,126,13,7,42,13:07:42,
07:42.6,127,13,7,43,13:07:43,
07:43.6,128,13,7,44,13:07:44,
07:44.6,129,13,7,45,13:07:45,
07:45.6,130,13,7,46,13:07:46,
07:46.6,131,13,7,47,13:07:47,
07:47.6,132,13,7,48,13:07:48,
07:48.6,133,13,7,49,13:07:49,
07:49.6,134,13,7,50,13:07:50,
07:50.6,135,13,7,51,13:07:51,
07:51.6,136,13,7,52,13:07:52,
07:52.6,137,13,7,53,13:07:53,
07:53.6,138,13,7,54,13:07:54,
07:54.6,139,13,7,55,13:07:55,
07:55.6,140,13,7,56,13:07:56,
07:56.6,141,13,7,57,13:07:57,
07:57.6,142,13,7,58,13:07:58,
07:58.6,143,13,7,59,13:07:59,
07:59.6,144,13,8,0,13:08:00,
08:00.6,145,13,8,1,13:08:01,
08:01.6,146,13,8,2,13:08:02,
08:02.6,147,13,8,3,13:08:03,
08:03.6,148,13,8,4,13:08:04,
08:04.6,149,13,8,5,13:08:05,
08:05.6,150,13,8,6,13:08:06,
08:06.6,151,13,8,7,13:08:07,
08:07.6,152,13,8,8,13:08:08,
08:08.6,153,13,8,9,13:08:09,
08:09.6,154,13,8,10,13:08:10,
08:10.6,155,13,8,11,13:08:11,
08:11.6,156,13,8,12,13:08:12,
08:12.6,157,13,8,13,13:08:13,
08:13.6,158,13,8,14,13:08:14,
08:14.6,159,13,8,15,13:08:15,
08:15.6,160,13,8,16,13:08:16,
08:16.6,161,13,8,17,13:08:17,
08:17.6,162,13,8,18,13:08:18,
08:18.6,163,13,8,19,13:08:19,
08:19.6,164,13,8,20,13:08:20,
