CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,12:30:41 - July 01 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:30:42,37,37,,,37,43,1,1595.97,,37,41,6,1595.97,
12:30:43,37,37,,,37,43,3,1595.97,,37,41,3,1595.97,
12:30:44,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:30:45,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:30:46,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:30:47,37,37,,,37,43,4,1595.97,,37,41,6,1595.97,
12:30:48,37,37,,,37,43,19,1861.96,,37,41,13,1861.96,
12:30:49,37,37,,,37,43,1,1595.97,,37,41,1,1994.96,
12:30:50,37,37,,,37,43,22,1994.96,,37,41,41,1595.97,
12:30:51,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:30:52,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:30:53,37,37,,,37,43,3,1595.97,,37,41,1,1595.97,
12:30:54,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:30:55,37,37,,,37,43,19,1595.97,,37,41,10,1595.97,
12:30:56,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:30:57,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:30:58,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:30:59,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:00,37,37,,,37,43,4,1595.97,,37,41,1,1595.97,
12:31:02,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:03,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:04,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:05,37,37,,,37,43,1,1595.97,,37,41,4,1595.97,
12:31:06,37,37,,,37,43,3,1595.97,,37,41,1,1595.97,
12:31:07,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:08,37,37,,,37,43,3,1595.97,,37,41,1,1595.97,
12:31:09,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:10,37,37,,,37,43,2,1595.97,,37,41,1,1595.97,
12:31:11,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:12,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:13,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:14,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:15,37,37,,,37,43,4,1595.97,,37,41,6,1595.97,
12:31:16,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:17,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:18,37,37,,,37,43,3,1595.97,,37,41,1,1595.97,
12:31:19,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:20,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:21,37,37,,,37,43,10,1728.97,,37,41,1,1728.97,
12:31:22,37,37,,,37,43,1,1595.97,,37,41,4,1595.97,
12:31:23,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:24,37,37,,,37,43,3,1595.97,,37,41,1,1595.97,
12:31:25,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:26,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:27,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:28,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:29,37,37,,,37,43,3,1595.97,,37,41,3,1595.97,
12:31:30,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:31,37,37,,,37,43,3,1595.97,,37,41,1,1595.97,
12:31:32,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:33,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:34,37,37,,,37,43,1,1595.97,,37,41,3,1595.97,
12:31:35,37,37,,,37,43,1,1595.97,,37,41,1,1595.97,
12:31:36,43,38,,,37,43,25,2393.95,,37,41,18,2127.96,
12:31:37,38,37,,,37,43,48,2792.95,,37,41,56,2792.95,
12:31:38,43,39,,,37,43,68,2659.95,,37,41,67,2659.95,
12:31:39,44,41,,,37,44,65,2659.95,,37,41,80,2659.95,
12:31:40,40,39,,,37,44,53,2260.96,,37,41,47,2260.96,
12:31:42,37,37,,,37,44,35,1595.97,,37,41,17,1728.97,
12:31:43,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:44,37,37,,,37,44,1,1595.97,,37,41,4,1595.97,
12:31:45,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:46,37,37,,,37,44,3,1595.97,,37,41,1,1595.97,
12:31:47,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:48,37,37,,,37,44,3,1595.97,,37,41,3,1595.97,
12:31:49,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:50,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:51,37,37,,,37,44,1,1595.97,,37,41,3,1595.97,
12:31:52,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:53,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:54,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:55,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:56,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:57,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:58,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:31:59,37,37,,,37,44,1,1595.97,,37,41,4,1595.97,
12:32:00,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:01,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:02,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:03,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:04,37,37,,,37,44,3,1595.97,,37,41,4,1595.97,
12:32:05,37,37,,,37,44,1,1595.97,,37,41,3,1595.97,
12:32:06,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:07,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:08,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:09,37,37,,,37,44,1,1595.97,,37,41,3,1595.97,
12:32:10,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:11,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:12,37,37,,,37,44,3,1595.97,,37,41,4,1595.97,
12:32:13,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:14,37,37,,,37,44,1,1595.97,,37,41,3,1595.97,
12:32:15,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:16,37,37,,,37,44,1,1595.97,,37,41,3,1595.97,
12:32:17,37,37,,,37,44,1,1595.97,,37,41,3,1595.97,
12:32:18,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:19,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:20,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:21,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
12:32:23,37,37,,,37,44,3,1595.97,,37,41,1,1595.97,
12:32:24,37,37,,,37,44,1,1595.97,,37,41,1,1595.97,
