Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54547	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54550	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54553	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54556	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54559	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54562	41.0	41.0	52.5	43.0	44.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54565	41.0	41.0	51.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54568	41.0	41.0	49.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54571	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54574	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54577	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54580	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54583	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54586	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54590	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54593	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54596	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54599	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54602	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54605	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54608	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54611	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54614	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54617	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54620	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54623	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54626	41.0	41.0	50.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54629	45.0	45.0	53.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54632	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54635	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54638	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54641	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54645	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54648	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54651	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54654	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54657	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54660	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54663	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54666	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54669	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54672	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54675	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54678	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54681	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54684	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54687	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54690	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54693	41.0	41.0	52.0	43.0	43.0	38.0	3.34	3.23	1.28	8.18	3.38	3.38
54697	44.0	44.0	50.5	43.0	41.0	38.0	3.34	3.23	1.28	8.18	3.38	3.38
54700	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.28	8.18	3.38	3.38
54703	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.28	8.18	3.38	3.38
54706	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54709	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54712	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54715	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54718	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54721	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54724	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54727	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54730	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54733	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54736	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54739	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54742	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54745	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54749	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54752	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54755	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54758	44.0	44.0	50.5	43.0	44.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54761	41.0	41.0	52.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54764	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54767	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54770	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54773	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54776	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54779	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54782	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54785	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54788	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54791	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54794	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54797	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54800	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54804	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54807	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54810	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54813	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54816	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54819	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54822	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54825	42.0	42.0	50.5	43.0	44.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54828	41.0	41.0	50.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54831	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54834	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54837	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54840	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54843	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54846	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54849	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54852	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54856	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54859	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54862	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54865	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54868	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54871	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54874	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54877	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54880	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54883	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54886	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54889	41.0	41.0	52.0	43.0	41.0	38.0	3.34	3.23	1.14	7.44	3.38	3.38
54892	44.0	44.0	51.0	43.0	41.0	38.0	3.34	3.23	1.14	7.44	3.38	3.38
54895	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.14	7.44	3.38	3.38
54898	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.14	7.44	3.38	3.38
54901	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54904	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54907	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54911	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54914	41.0	41.0	49.0	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54917	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54920	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54923	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54926	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54929	41.0	41.0	48.5	43.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54932	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54935	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54938	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54941	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54944	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54947	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54950	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54953	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54956	41.0	41.0	52.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54959	41.0	41.0	49.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54963	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54966	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54969	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54972	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54975	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54978	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54981	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54984	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54987	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54990	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54993	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54996	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
54999	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55002	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55005	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55008	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55011	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55015	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55018	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55021	42.0	42.0	50.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55024	41.0	41.0	52.0	42.0	41.0	38.0	3.34	3.23	1.14	7.34	3.38	3.38
55027	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.14	7.34	3.38	3.38
55030	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.14	7.34	3.38	3.38
55033	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.14	7.34	3.38	3.38
55036	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55039	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55042	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55045	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55048	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55051	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55054	41.0	41.0	49.0	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55057	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55060	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
55063	41.0	41.0	48.5	42.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
