CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,15:12:19 - July 11 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
15:12:20,38,38,,,38,59,2,1595.99,,38,49,3,1595.99,
15:12:21,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:22,47,38,,,38,59,31,1595.99,,38,49,20,1595.99,
15:12:23,39,38,,,38,59,25,2127.98,,38,49,29,2526.98,
15:12:24,39,38,,,38,59,17,2260.98,,38,49,3,1861.99,
15:12:25,39,38,,,38,59,14,1595.99,,38,49,6,1595.99,
15:12:26,38,38,,,38,59,6,1595.99,,38,49,2,1595.99,
15:12:27,40,38,,,38,59,43,1595.99,,38,49,28,1861.99,
15:12:28,42,38,,,38,59,52,2393.98,,38,49,45,2393.98,
15:12:29,42,38,,,38,59,56,2393.98,,38,49,34,2393.98,
15:12:30,44,38,,,38,59,46,2393.98,,38,49,40,2393.98,
15:12:31,47,38,,,38,59,46,2526.98,,38,49,32,2393.98,
15:12:32,39,38,,,38,59,7,1994.99,,38,49,12,1861.99,
15:12:33,39,38,,,38,59,3,1595.99,,38,49,6,1595.99,
15:12:34,46,38,,,38,59,25,1861.99,,38,49,28,1861.99,
15:12:35,38,38,,,38,59,0,1861.99,,38,49,0,1861.99,
15:12:36,39,38,,,38,59,0,1595.99,,38,49,2,1595.99,
15:12:37,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:38,39,38,,,38,59,1,1595.99,,38,49,0,1595.99,
15:12:39,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:40,38,38,,,38,59,2,1595.99,,38,49,0,1595.99,
15:12:42,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:43,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:44,38,38,,,38,59,2,1595.99,,38,49,0,1595.99,
15:12:45,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:46,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:47,38,38,,,38,59,3,1595.99,,38,49,0,1595.99,
15:12:48,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:49,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:50,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:51,38,38,,,38,59,0,1595.99,,38,49,2,1595.99,
15:12:52,38,38,,,38,59,0,1595.99,,38,49,2,1595.99,
15:12:53,38,38,,,38,59,1,1595.99,,38,49,1,1595.99,
15:12:54,38,38,,,38,59,0,1595.99,,38,49,2,1595.99,
15:12:55,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
15:12:56,38,38,,,38,59,1,1595.99,,38,49,0,1595.99,
15:12:57,38,38,,,38,59,0,1595.99,,38,49,2,1595.99,
15:12:58,38,38,,,38,59,0,1595.99,,38,49,0,1595.99,
