Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
55847	36.0	36.0	43.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55850	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55853	36.0	36.0	44.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55856	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55859	37.0	37.0	44.0	37.0	37.0	32.0	3.33	3.26	1.09	7.18	3.34	3.34
55862	36.0	36.0	44.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55865	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55868	36.0	36.0	43.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55871	36.0	36.0	44.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55874	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55877	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55880	36.0	36.0	43.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55883	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55886	38.0	38.0	45.5	37.0	38.0	32.0	3.33	3.26	1.09	7.18	3.34	3.34
55889	39.0	39.0	46.0	37.0	43.0	34.0	3.33	3.26	1.09	7.18	3.34	3.34
55892	37.0	37.0	44.0	37.0	37.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55895	36.0	36.0	44.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55899	37.0	37.0	44.0	37.0	37.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55902	36.0	36.0	44.0	37.0	37.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55905	41.0	41.0	43.5	37.0	41.0	33.0	3.33	3.26	1.09	7.18	3.34	3.34
55908	36.0	36.0	43.0	37.0	37.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55911	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55914	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55917	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55920	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55923	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55926	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55929	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55932	36.0	36.0	43.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55935	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55938	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55941	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55944	36.0	36.0	43.5	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
55948	36.0	36.0	43.0	37.0	36.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
