CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,15:15:19 - July 11 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
15:15:20,43,35,,,43,43,0,1595.97,,35,41,3,1595.97,
15:15:21,43,36,,,43,43,6,1595.97,,35,41,6,1595.97,
15:15:23,43,36,,,43,43,0,1595.97,,35,41,2,1595.97,
15:15:23,43,37,,,43,43,19,1861.96,,35,41,20,1861.96,
15:15:24,43,36,,,43,43,21,1595.97,,35,41,3,1595.97,
15:15:25,43,36,,,43,43,11,1595.97,,35,41,3,1595.97,
15:15:26,43,36,,,43,43,14,1728.96,,35,41,12,1728.96,
15:15:27,43,36,,,43,43,11,1595.97,,35,41,3,1595.97,
15:15:28,43,36,,,43,43,14,1595.97,,35,41,10,1595.97,
15:15:29,43,36,,,43,43,12,1595.97,,35,41,15,1595.97,
15:15:30,43,36,,,43,43,18,1861.96,,35,41,5,1728.96,
15:15:31,43,36,,,43,43,11,1595.97,,35,41,5,1728.96,
15:15:32,43,36,,,43,43,17,1728.96,,35,41,6,1728.96,
15:15:33,43,36,,,43,43,11,1595.97,,35,41,8,1595.97,
15:15:34,43,35,,,43,43,5,1595.97,,35,41,2,1595.97,
15:15:35,43,36,,,43,43,8,1728.96,,35,41,11,1728.96,
15:15:36,43,36,,,43,43,6,1595.97,,35,41,8,1595.97,
15:15:37,43,36,,,43,43,25,2127.95,,35,41,31,2260.95,
15:15:38,43,36,,,43,43,2,1595.97,,35,41,2,1595.97,
15:15:39,43,36,,,43,43,0,1595.97,,35,41,0,1595.97,
15:15:40,43,36,,,43,43,3,1595.97,,35,41,2,1595.97,
15:15:41,43,36,,,43,43,2,1595.97,,35,41,3,1595.97,
15:15:42,43,36,,,43,43,3,1595.97,,35,41,3,1595.97,
15:15:44,43,35,,,43,43,3,1595.97,,35,41,2,1595.97,
15:15:45,43,35,,,43,43,0,1595.97,,35,41,2,1595.97,
15:15:46,43,35,,,43,43,3,1595.97,,35,41,0,1595.97,
15:15:47,43,36,,,43,43,2,1595.97,,35,41,2,1595.97,
15:15:48,43,36,,,43,43,6,1595.97,,35,41,3,1595.97,
15:15:49,43,36,,,43,43,2,1595.97,,35,41,2,1595.97,
15:15:50,43,35,,,43,43,8,1595.97,,35,41,2,1595.97,
15:15:51,43,36,,,43,43,2,1595.97,,35,41,5,1595.97,
15:15:52,43,36,,,43,43,3,1595.97,,35,41,3,1595.97,
15:15:53,43,36,,,43,43,0,1595.97,,35,41,5,1728.96,
15:15:54,43,37,,,43,43,35,1994.96,,35,41,29,1994.96,
15:15:55,43,37,,,43,43,43,2526.94,,35,41,35,2393.95,
15:15:56,43,37,,,43,43,51,2526.94,,35,41,32,2526.94,
15:15:57,43,38,,,43,43,51,2526.94,,35,41,26,2393.95,
15:15:58,43,38,,,43,43,43,2393.95,,35,41,40,2393.95,
15:15:59,43,36,,,43,43,8,1595.97,,35,41,9,1728.96,
15:16:00,43,36,,,43,43,0,1595.97,,35,41,2,1595.97,
15:16:01,43,35,,,43,43,0,1595.97,,35,41,2,1595.97,
15:16:02,43,36,,,43,43,0,1595.97,,35,41,0,1595.97,
15:16:03,43,36,,,43,43,0,1595.97,,35,41,5,1595.97,
15:16:04,43,36,,,43,43,5,1595.97,,35,41,9,1595.97,
15:16:05,43,36,,,43,43,0,1595.97,,35,41,0,1595.97,
15:16:06,43,36,,,43,43,5,1595.97,,35,41,0,1595.97,
