Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
54824	43.0	43.0	43.0	44.0	40.0	3.34	1.27
54827	43.0	43.0	43.0	43.0	37.0	3.34	1.27
54830	43.0	43.0	43.0	43.0	36.0	3.34	1.27
54834	43.0	43.0	43.0	43.0	36.0	3.34	1.27
54837	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54840	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54843	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54846	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54849	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54852	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54855	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54858	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54861	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54864	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54867	43.0	43.0	43.0	43.0	35.0	3.34	1.1
54870	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54873	43.0	43.0	43.0	43.0	35.0	3.34	1.1
54876	43.0	43.0	43.0	43.0	35.0	3.34	1.1
54879	43.0	43.0	43.0	43.0	35.0	3.34	1.1
54882	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54885	43.0	43.0	43.0	43.0	35.0	3.34	1.1
54889	43.0	43.0	43.0	43.0	38.0	3.34	1.1
54892	47.0	47.0	43.0	47.0	39.0	3.34	1.1
54895	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54898	43.0	43.0	43.0	43.0	36.0	3.34	1.1
54901	43.0	43.0	43.0	43.0	35.0	3.34	1.1
54904	43.0	43.0	43.0	43.0	35.0	3.34	1.1
