Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54074	43.0	43.0	45.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54077	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54080	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54083	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54086	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54089	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54092	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54095	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54099	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54102	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54105	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54108	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54111	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54114	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54117	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54120	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54123	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54126	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54129	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54132	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54135	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54138	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54141	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54144	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54148	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54151	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54154	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54157	43.0	43.0	45.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54160	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54163	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54166	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54169	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54172	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54175	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54178	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54181	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54184	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54187	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54190	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54193	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54196	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54200	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54203	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54206	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54209	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54212	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54215	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54218	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
