CPUID:,0x6FD
Processor:,Mobile Intel Core 2 Duo T5870 (Merom-2M)
Platform:,Socket P (mFCPGA-478)
Revision:,M0
Lithography:,65nm

Session start:,15:42:29 - June 24 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
15:42:30,49,50,,,48,78,28,1395.01,,49,78,34,1295.37,
15:42:31,48,50,,,48,78,31,1295.37,,49,78,43,1295.37,
15:42:32,49,50,,,48,78,26,1295.37,,49,78,45,1395.01,
15:42:33,52,55,,,48,78,48,1395.01,,49,78,48,1395.01,
15:42:35,49,49,,,48,78,60,1594.30,,49,78,38,1793.59,
15:42:36,48,50,,,48,78,28,1395.01,,49,78,38,1295.37,
15:42:37,49,50,,,48,78,40,1295.37,,49,78,42,1295.37,
15:42:38,49,50,,,48,78,50,1494.66,,49,78,48,1594.30,
15:42:39,49,49,,,48,78,43,1295.37,,49,78,29,1195.73,
15:42:40,50,51,,,48,78,43,1494.66,,49,78,60,1395.01,
15:42:41,52,52,,,48,78,43,1195.73,,49,78,39,1295.37,
15:42:42,49,50,,,48,78,48,1594.30,,49,78,49,1594.30,
15:42:43,49,52,,,48,78,31,1395.01,,49,78,50,1295.37,
15:42:44,48,49,,,48,78,35,1295.37,,49,78,36,1395.01,
15:42:45,48,52,,,48,78,25,1195.73,,49,78,46,1195.73,
15:42:46,49,51,,,48,78,26,1395.01,,49,78,55,1494.66,
15:42:47,55,54,,,48,78,40,1395.01,,49,78,57,1295.37,
15:42:48,55,55,,,48,78,76,1793.59,,49,78,70,1693.94,
15:42:49,55,56,,,48,78,84,1992.88,,49,78,90,1992.88,
15:42:50,52,54,,,48,78,63,1693.94,,49,78,45,1793.59,
15:42:51,52,52,,,48,78,52,1494.66,,49,78,33,1494.66,
15:42:52,58,55,,,48,78,92,1992.88,,49,78,76,1893.23,
15:42:53,51,54,,,48,78,33,1395.01,,49,78,47,1494.66,
15:42:54,51,52,,,48,78,20,1494.66,,49,78,50,1594.30,
15:42:55,51,54,,,48,78,38,1395.01,,49,78,38,1494.66,
15:42:56,50,51,,,48,78,30,1295.37,,49,78,50,1494.66,
15:42:57,50,54,,,48,78,26,1395.01,,49,78,51,1395.01,
15:42:58,50,52,,,48,78,17,1494.66,,49,78,52,1594.30,
15:42:59,49,52,,,48,78,22,1395.01,,49,78,46,1494.66,
15:43:00,49,49,,,48,78,28,1295.37,,49,78,40,1494.66,
15:43:01,49,50,,,48,78,31,1295.37,,49,78,39,1295.37,
15:43:02,48,49,,,48,78,41,1295.37,,49,78,26,1295.37,
15:43:03,48,50,,,48,78,22,1295.37,,49,78,45,1395.01,
15:43:04,48,49,,,48,78,26,1395.01,,49,78,40,1395.01,
15:43:05,48,49,,,48,78,32,1395.01,,49,78,35,1395.01,
15:43:06,48,49,,,48,78,48,1395.01,,49,78,35,1395.01,
15:43:07,48,49,,,48,78,26,1494.66,,49,78,51,1395.01,
15:43:08,48,49,,,48,78,20,1494.66,,49,78,43,1494.66,
15:43:09,48,49,,,48,78,23,1494.66,,49,78,40,1494.66,
15:43:10,48,49,,,48,78,18,1494.66,,49,78,54,1594.30,
15:43:11,48,49,,,48,78,39,1494.66,,49,78,29,1494.66,
