CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,12:32:26 - July 16 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:32:27,44,41,,,44,47,13,2925.93,,41,41,47,2925.93,
12:32:28,44,41,,,44,47,0,1728.96,,41,41,47,1728.96,
12:32:29,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:30,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:31,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:32,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:33,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:34,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:35,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:36,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:37,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:38,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:39,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:40,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:41,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:41,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:42,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:43,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:44,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:45,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:46,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:47,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:48,44,41,,,44,47,0,1595.96,,41,41,47,1595.96,
12:32:49,44,41,,,44,47,0,1728.96,,41,41,47,1728.96,
12:32:50,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:51,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:52,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:53,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:54,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:55,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:56,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:57,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:58,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:59,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:32:59,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:00,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:01,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:02,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:03,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:04,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:05,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:06,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:07,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:08,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:09,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:10,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:11,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
12:33:12,44,41,,,44,47,3,1595.96,,41,41,0,1595.96,
