CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,19:41:02 - July 16 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
19:41:03,34,34,,,34,38,0,1994.96,,34,40,0,1994.96,
19:41:04,34,34,,,34,38,0,1994.96,,34,40,0,1861.96,
19:41:05,33,33,,,33,38,0,1861.96,,33,40,0,1861.96,
19:41:06,33,33,,,33,38,0,1861.96,,33,40,0,1861.96,
19:41:07,34,34,,,33,38,0,1994.96,,33,40,0,1994.96,
19:41:08,34,34,,,33,38,0,1861.96,,33,40,0,1861.96,
19:41:09,39,36,,,33,39,8,2260.95,,33,40,3,2127.96,
19:41:10,33,33,,,33,39,0,2127.96,,33,40,2,2127.96,
19:41:11,34,34,,,33,39,6,2127.96,,33,40,3,2127.96,
19:41:12,35,35,,,33,39,8,2393.95,,33,40,18,2393.95,
19:41:13,34,34,,,33,39,2,2127.96,,33,40,2,2127.96,
19:41:14,33,33,,,33,39,2,2127.96,,33,40,0,1994.96,
19:41:15,34,34,,,33,39,3,2260.95,,33,40,2,2127.96,
19:41:16,34,34,,,33,39,3,2260.95,,33,40,5,2127.96,
19:41:17,33,33,,,33,39,2,2127.96,,33,40,0,1994.96,
19:41:18,34,34,,,33,39,3,2393.95,,33,40,11,2260.95,
19:41:19,33,33,,,33,39,2,2127.96,,33,40,5,1994.96,
19:41:20,33,33,,,33,39,2,1994.96,,33,40,0,1728.96,
19:41:21,34,34,,,33,39,0,1861.96,,33,40,0,1994.96,
19:41:22,33,33,,,33,39,0,1861.96,,33,40,0,1994.96,
19:41:23,33,33,,,33,39,0,2127.96,,33,40,0,1994.96,
19:41:24,34,34,,,33,39,9,2393.95,,33,40,12,2260.95,
19:41:25,33,33,,,33,39,0,2127.96,,33,40,2,2127.96,
19:41:26,33,33,,,33,39,2,2127.96,,33,40,0,1994.96,
19:41:27,34,34,,,33,39,0,2127.96,,33,40,0,1994.96,
19:41:28,33,33,,,33,39,0,1994.96,,33,40,0,1861.96,
19:41:29,34,34,,,33,39,0,1994.96,,33,40,0,2127.96,
19:41:30,33,33,,,33,39,0,2260.95,,33,40,0,2127.96,
19:41:31,33,33,,,33,39,0,1994.96,,33,40,0,1861.96,
19:41:32,33,33,,,33,39,0,1994.96,,33,40,0,1861.96,
19:41:33,34,34,,,33,39,0,2127.96,,33,40,0,2260.95,
19:41:34,33,33,,,33,39,0,2127.96,,33,40,0,1861.96,
19:41:35,33,33,,,33,39,0,1994.96,,33,40,0,1861.96,
19:41:36,33,33,,,33,39,0,2127.96,,33,40,0,2260.95,
19:41:37,33,33,,,33,39,0,1861.96,,33,40,0,1728.96,
19:41:38,33,33,,,33,39,0,1861.96,,33,40,0,1728.96,
19:41:39,33,33,,,33,39,0,2127.96,,33,40,0,1994.96,
19:41:40,33,33,,,33,39,0,2127.96,,33,40,0,2127.96,
19:41:41,33,33,,,33,39,0,2127.96,,33,40,0,1861.96,
19:41:42,33,33,,,33,39,0,1994.96,,33,40,0,1994.96,
19:41:43,33,33,,,33,39,0,1994.96,,33,40,0,1994.96,
19:41:44,33,33,,,33,39,0,2127.96,,33,40,0,2127.96,
19:41:45,33,33,,,33,39,0,2127.96,,33,40,0,1994.96,
19:41:46,33,33,,,33,39,0,1861.96,,33,40,0,1861.96,
19:41:47,33,33,,,33,39,0,2127.96,,33,40,0,1994.96,
19:41:48,33,33,,,33,39,0,2127.96,,33,40,0,1994.96,
19:41:49,33,33,,,33,39,0,1994.96,,33,40,0,1861.96,
19:41:50,33,33,,,33,39,0,1861.96,,33,40,0,1994.96,
19:41:51,33,33,,,33,39,0,2127.96,,33,40,0,2127.96,
