CPUID:,0x20652
Processor:,Mobile Intel Core i5 520M (Arrandale)
Platform:,LGA 1156 (Socket H)
Revision:,C2
Lithography:,32nm

Session start:,20:22:15 - July 17 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
20:22:16,41,39,,,36,65,5,1462.94,,32,66,8,1462.94,
20:22:17,40,36,,,36,65,11,1595.93,,32,66,8,1662.43,
20:22:18,38,34,,,36,65,5,1529.43,,32,66,7,1462.94,
20:22:19,37,36,,,36,65,0,1462.94,,32,66,3,1529.43,
20:22:21,39,36,,,36,65,6,1529.43,,32,66,9,1462.94,
20:22:22,49,48,,,36,65,22,1928.42,,32,66,30,1795.42,
20:22:23,40,38,,,36,65,30,2061.41,,32,66,24,2194.40,
20:22:24,40,38,,,36,65,1,1396.44,,32,66,5,1529.43,
20:22:25,39,36,,,36,65,3,1462.94,,32,66,1,1462.94,
20:22:26,40,38,,,36,65,1,1462.94,,32,66,7,1462.94,
20:22:27,40,37,,,36,65,8,1595.93,,32,66,10,1595.93,
20:22:28,39,42,,,36,65,6,1529.43,,32,66,9,1529.43,
20:22:29,40,37,,,36,65,9,1529.43,,32,66,12,1595.93,
20:22:30,39,36,,,36,65,7,1529.43,,32,66,15,1595.93,
20:22:31,43,44,,,36,65,9,1529.43,,32,66,7,1462.94,
20:22:32,40,36,,,36,65,13,1595.93,,32,66,7,1662.43,
20:22:33,39,37,,,36,65,4,1662.43,,32,66,6,1795.42,
20:22:34,41,37,,,36,65,12,1529.43,,32,66,14,1662.43,
20:22:35,39,36,,,36,65,1,1595.93,,32,66,4,1595.93,
20:22:36,39,37,,,36,65,5,1462.94,,32,66,10,1529.43,
20:22:37,41,40,,,36,65,9,2925.87,,32,66,11,1462.94,
20:22:38,40,36,,,36,65,3,1595.93,,32,66,6,1595.93,
20:22:39,39,36,,,36,65,1,1529.43,,32,66,6,1595.93,
20:22:40,37,36,,,36,65,3,1529.43,,32,66,2,1462.94,
20:22:41,44,49,,,36,65,10,1529.43,,32,66,15,1595.93,
20:22:42,52,45,,,36,65,29,2327.40,,32,66,33,2726.38,
20:22:43,47,51,,,36,65,19,2726.38,,32,66,40,2726.38,
20:22:44,41,36,,,36,65,5,2061.41,,32,66,5,1795.42,
20:22:45,47,45,,,36,65,11,1462.94,,32,66,14,1529.43,
20:22:46,39,36,,,36,65,7,1662.43,,32,66,8,1662.43,
20:22:47,39,37,,,36,65,8,1595.93,,32,66,9,1529.43,
20:22:48,40,36,,,36,65,7,1462.94,,32,66,9,1462.94,
20:22:49,40,38,,,36,65,8,1529.43,,32,66,8,1595.93,
20:22:50,39,34,,,36,65,3,1462.94,,32,66,5,1462.94,
20:22:51,39,34,,,36,65,6,1462.94,,32,66,7,1462.94,
20:22:52,41,35,,,36,65,8,1662.43,,32,66,14,1462.94,
20:22:53,40,35,,,36,65,1,1462.94,,32,66,2,1662.43,
20:22:54,39,34,,,36,65,2,1396.44,,32,66,4,1462.94,
20:22:55,40,35,,,36,65,3,1462.94,,32,66,3,1462.94,
20:22:56,38,36,,,36,65,2,1396.44,,32,66,3,1462.94,
20:22:57,40,34,,,36,65,4,1529.43,,32,66,4,1396.44,
20:22:58,39,34,,,36,65,4,1462.94,,32,66,4,1595.93,
20:22:59,39,35,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:00,39,36,,,36,65,3,1462.94,,32,66,3,1462.94,
20:23:01,37,36,,,36,65,0,1462.94,,32,66,4,1529.43,
20:23:02,40,35,,,36,65,7,1595.93,,32,66,8,1462.94,
20:23:03,39,36,,,36,65,1,1462.94,,32,66,5,1529.43,
20:23:04,40,34,,,36,65,3,1462.94,,32,66,1,1462.94,
20:23:05,39,36,,,36,65,0,1462.94,,32,66,3,1462.94,
20:23:06,39,37,,,36,65,5,1462.94,,32,66,4,1462.94,
20:23:07,37,34,,,36,65,3,1396.44,,32,66,6,1529.43,
20:23:08,38,37,,,36,65,3,1462.94,,32,66,1,1462.94,
20:23:09,38,36,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:10,38,37,,,36,65,1,1462.94,,32,66,3,1462.94,
20:23:11,38,35,,,36,65,2,1462.94,,32,66,3,1462.94,
20:23:12,38,36,,,36,65,6,1529.43,,32,66,8,1529.43,
20:23:13,37,35,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:14,39,36,,,36,65,1,1462.94,,32,66,5,1396.44,
20:23:15,39,36,,,36,65,1,1529.43,,32,66,2,1462.94,
20:23:16,40,37,,,36,65,3,1396.44,,32,66,4,1462.94,
20:23:17,39,36,,,36,65,7,1529.43,,32,66,4,1462.94,
20:23:18,39,37,,,36,65,2,1396.44,,32,66,4,1462.94,
20:23:19,38,37,,,36,65,0,1462.94,,32,66,1,1462.94,
20:23:20,39,35,,,36,65,4,1462.94,,32,66,1,1462.94,
20:23:21,37,35,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:22,38,35,,,36,65,5,1595.93,,32,66,8,1529.43,
20:23:23,38,34,,,36,65,0,1462.94,,32,66,1,1462.94,
20:23:24,37,36,,,36,65,1,1462.94,,32,66,5,1396.44,
20:23:25,39,35,,,36,65,2,1396.44,,32,66,2,1462.94,
20:23:26,38,34,,,36,65,2,1462.94,,32,66,3,1396.44,
20:23:27,39,36,,,36,65,4,1529.43,,32,66,11,1529.43,
20:23:28,38,36,,,36,65,3,1396.44,,32,66,2,1396.44,
20:23:29,37,36,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:30,38,35,,,36,65,2,1462.94,,32,66,4,1396.44,
20:23:31,44,41,,,36,65,4,1462.94,,32,66,7,1462.94,
20:23:33,37,37,,,36,65,5,1529.43,,32,66,4,1595.93,
20:23:34,39,35,,,36,65,2,1396.44,,32,66,4,1396.44,
20:23:35,39,35,,,36,65,3,1396.44,,32,66,3,1462.94,
20:23:36,38,35,,,36,65,0,1462.94,,32,66,2,1462.94,
20:23:37,40,39,,,36,65,4,1462.94,,32,66,7,1462.94,
20:23:38,38,34,,,36,65,1,1595.93,,32,66,2,1595.93,
20:23:39,39,35,,,36,65,3,1462.94,,32,66,3,1462.94,
20:23:40,38,33,,,36,65,1,1462.94,,32,66,1,1529.43,
20:23:41,38,34,,,36,65,2,1462.94,,32,66,1,1462.94,
20:23:42,40,35,,,36,65,4,1462.94,,32,66,7,1529.43,
20:23:43,39,37,,,36,65,1,1529.43,,32,66,5,1529.43,
20:23:44,38,34,,,36,65,1,1462.94,,32,66,3,1462.94,
20:23:45,38,33,,,36,65,2,1462.94,,32,66,1,1462.94,
20:23:46,37,35,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:47,39,34,,,36,65,5,1595.93,,32,66,6,1462.94,
20:23:48,39,33,,,36,65,1,1595.93,,32,66,1,1529.43,
20:23:49,39,35,,,36,65,3,1462.94,,32,66,5,1462.94,
20:23:50,38,34,,,36,65,1,1462.94,,32,66,1,1462.94,
20:23:51,40,34,,,36,65,3,1462.94,,32,66,5,1462.94,
20:23:52,37,36,,,36,65,4,1462.94,,32,66,5,1462.94,
