Seconds	Ambient	HD0	Temp1	Temp2	Temp3	Temp4	Temp5	Core 0	Core 1
45866	48.0	44.0	48.0	48.0	48.0	35.8	30.0	48.0	48.0
45869	48.0	44.0	48.0	48.0	48.0	35.8	30.0	47.0	48.0
45872	48.13	44.0	48.0	48.0	48.0	35.8	30.0	47.0	48.0
45875	48.13	44.0	48.0	48.0	48.0	35.8	30.0	47.0	48.0
45878	48.13	44.0	48.0	48.0	48.0	36.0	30.0	47.0	49.0
45881	48.25	44.0	48.0	48.0	48.0	36.0	33.0	48.0	49.0
45884	48.13	44.0	54.0	49.0	48.0	36.0	41.0	47.0	49.0
45887	48.25	44.0	48.0	48.0	48.0	36.0	43.0	47.0	49.0
46066	48.13	44.0	54.0	49.0	48.0	36.0	45.0	48.0	49.0
46069	48.38	44.0	48.0	49.0	48.0	36.0	41.0	48.0	49.0
46072	48.25	44.0	48.0	49.0	48.0	36.1	34.0	48.0	49.0
46075	48.25	44.0	54.0	50.0	48.0	36.1	30.0	48.0	50.0
46078	48.38	44.0	54.0	52.0	48.0	36.1	36.0	49.0	50.0
46081	48.5	44.0	54.0	50.0	48.0	36.1	42.0	49.0	50.0
46084	48.5	44.0	54.0	51.0	48.0	36.1	45.0	49.0	50.0
46087	48.5	44.0	54.0	49.0	48.0	36.1	45.0	48.0	50.0
46091	48.63	44.0	54.0	49.0	48.0	36.2	45.0	48.0	50.0
46094	48.5	44.0	54.0	49.0	48.0	36.2	45.0	48.0	49.0
46097	48.75	44.0	54.0	49.0	48.0	36.2	45.0	48.0	50.0
46100	48.63	44.0	54.0	49.0	48.0	36.2	45.0	48.0	49.0
46103	48.75	44.0	54.0	49.0	48.0	36.2	45.0	48.0	49.0
46106	48.75	44.0	54.0	49.0	48.0	36.2	45.0	48.0	50.0
46109	48.75	44.0	54.0	53.0	48.0	36.2	45.0	49.0	50.0
46112	48.75	44.0	54.0	49.0	48.0	36.3	45.0	48.0	50.0
46115	49.0	44.0	54.0	52.0	49.0	36.3	45.0	52.0	54.0
46118	48.75	44.0	54.0	50.0	48.0	36.3	45.0	48.0	50.0
46121	49.0	44.0	54.0	49.0	49.0	36.3	45.0	49.0	50.0
46124	49.0	44.0	54.0	50.0	49.0	36.3	45.0	49.0	51.0
46127	49.0	44.0	54.0	51.0	49.0	36.3	45.0	50.0	51.0
46130	49.0	44.0	54.0	50.0	49.0	36.4	45.0	48.0	50.0
46133	49.13	44.0	54.0	51.0	49.0	36.4	45.0	48.0	50.0
46136	49.13	44.0	54.0	50.0	49.0	36.4	45.0	49.0	50.0
46139	49.13	44.0	54.0	49.0	49.0	36.4	45.0	48.0	50.0
46142	49.25	44.0	54.0	50.0	49.0	36.4	45.0	48.0	50.0
46146	49.25	44.0	54.0	50.0	49.0	36.4	45.0	48.0	50.0
46149	49.38	44.0	54.0	51.0	49.0	36.5	45.0	49.0	50.0
46152	49.38	44.0	54.0	50.0	49.0	36.5	45.0	48.0	50.0
46155	49.38	44.0	54.0	49.0	49.0	36.5	45.0	49.0	50.0
46158	49.38	44.0	54.0	50.0	49.0	36.5	45.0	48.0	50.0
46161	49.25	44.0	54.0	50.0	49.0	36.5	45.0	49.0	50.0
46164	49.38	44.0	54.0	49.0	49.0	36.5	45.0	49.0	50.0
46167	49.63	44.0	54.0	49.0	49.0	36.6	45.0	48.0	50.0
46170	49.5	44.0	54.0	50.0	49.0	36.6	45.0	49.0	50.0
46173	49.5	44.0	54.0	50.0	49.0	36.6	45.0	49.0	50.0
46176	49.25	44.0	54.0	50.0	49.0	36.6	45.0	48.0	50.0
46179	49.38	44.0	54.0	52.0	49.0	36.6	45.0	50.0	51.0
46182	49.5	44.0	54.0	50.0	49.0	36.6	45.0	49.0	50.0
46185	49.5	44.0	54.0	50.0	49.0	36.8	45.0	48.0	50.0
46188	49.5	44.0	54.0	49.0	49.0	36.8	45.0	49.0	50.0
46191	49.63	44.0	54.0	49.0	49.0	36.8	45.0	48.0	50.0
46194	49.5	44.0	54.0	49.0	49.0	36.8	45.0	48.0	50.0
46198	49.63	44.0	54.0	49.0	49.0	36.8	45.0	48.0	49.0
46201	49.63	44.0	54.0	49.0	49.0	36.8	45.0	48.0	49.0
46204	49.5	44.0	54.0	49.0	49.0	36.8	45.0	48.0	50.0
46207	49.5	44.0	54.0	49.0	49.0	36.9	45.0	48.0	49.0
46210	49.5	44.0	54.0	49.0	49.0	36.9	45.0	48.0	49.0
46213	49.5	44.0	54.0	49.0	49.0	36.9	45.0	48.0	49.0
46216	49.5	44.0	54.0	49.0	49.0	36.9	45.0	48.0	49.0
46219	49.5	44.0	54.0	49.0	49.0	36.9	45.0	48.0	49.0
46222	49.38	44.0	54.0	49.0	49.0	36.9	45.0	48.0	49.0
46225	49.38	44.0	48.0	49.0	49.0	37.0	43.0	48.0	49.0
46228	49.38	44.0	54.0	49.0	49.0	37.0	45.0	48.0	49.0
46231	49.38	44.0	48.0	49.0	49.0	37.0	45.0	48.0	49.0
46234	49.38	45.0	48.0	48.0	49.0	37.0	38.0	48.0	49.0
46237	49.25	45.0	48.0	49.0	49.0	37.0	32.0	48.0	49.0
46240	49.38	45.0	48.0	49.0	49.0	37.0	30.0	48.0	49.0
46243	49.13	45.0	48.0	48.0	49.0	37.1	30.0	48.0	49.0
46246	49.38	45.0	48.0	49.0	49.0	37.1	30.0	48.0	49.0
46250	49.25	45.0	48.0	49.0	49.0	37.1	30.0	48.0	49.0
46253	49.25	45.0	48.0	48.0	49.0	37.1	30.0	48.0	49.0
46256	49.25	45.0	48.0	49.0	49.0	37.1	30.0	48.0	49.0
46259	49.38	45.0	48.0	49.0	49.0	37.1	30.0	48.0	49.0
46262	49.25	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46265	49.25	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46268	49.25	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46271	49.25	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46274	49.13	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46277	49.25	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46280	49.13	45.0	48.0	49.0	49.0	37.2	30.0	48.0	49.0
46283	49.25	45.0	48.0	49.0	49.0	37.3	30.0	48.0	49.0
46286	49.13	45.0	48.0	49.0	49.0	37.3	30.0	48.0	49.0
46289	49.13	45.0	48.0	49.0	49.0	37.3	30.0	48.0	49.0
46292	49.38	45.0	48.0	49.0	49.0	37.3	30.0	48.0	49.0
46295	49.13	45.0	48.0	49.0	49.0	37.3	30.0	48.0	49.0
46298	49.13	45.0	48.0	49.0	49.0	37.3	30.0	48.0	49.0
46302	49.25	45.0	48.0	49.0	49.0	37.5	30.0	48.0	49.0
46305	49.25	45.0	48.0	49.0	49.0	37.5	30.0	49.0	50.0
46308	49.25	45.0	48.0	49.0	49.0	37.5	30.0	48.0	49.0
46311	49.25	45.0	48.0	49.0	49.0	37.5	30.0	48.0	49.0
46314	49.13	45.0	48.0	49.0	49.0	37.5	30.0	48.0	49.0
46317	49.25	45.0	48.0	49.0	49.0	37.5	30.0	48.0	49.0
46320	49.13	45.0	48.0	49.0	49.0	37.6	30.0	48.0	49.0
46323	49.25	45.0	48.0	49.0	49.0	37.6	30.0	48.0	49.0
46326	49.25	45.0	48.0	49.0	49.0	37.6	30.0	48.0	49.0
46329	49.25	45.0	48.0	49.0	49.0	37.6	30.0	48.0	49.0
46332	49.25	45.0	48.0	49.0	49.0	37.6	30.0	48.0	49.0
46335	49.25	45.0	48.0	49.0	49.0	37.6	30.0	48.0	49.0
46338	49.25	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46341	49.38	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46344	49.25	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46347	49.13	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46350	49.38	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46353	49.25	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46357	49.25	45.0	48.0	49.0	49.0	37.7	30.0	48.0	49.0
46360	49.38	45.0	48.0	49.0	49.0	37.8	30.0	49.0	50.0
46363	49.25	45.0	48.0	49.0	49.0	37.8	30.0	48.0	49.0
46366	49.25	45.0	48.0	49.0	49.0	37.8	30.0	48.0	49.0
46369	49.38	45.0	48.0	49.0	49.0	37.8	30.0	48.0	49.0
46372	49.38	45.0	48.0	49.0	49.0	37.8	30.0	48.0	49.0
46375	49.5	45.0	48.0	49.0	49.0	37.8	30.0	48.0	49.0
46378	49.38	45.0	48.0	49.0	49.0	37.9	30.0	48.0	49.0
46381	49.5	45.0	48.0	49.0	49.0	37.9	30.0	48.0	49.0
46384	49.38	45.0	48.0	49.0	49.0	37.9	30.0	48.0	49.0
46387	49.38	45.0	48.0	49.0	49.0	37.9	30.0	48.0	49.0
46390	49.38	45.0	48.0	49.0	49.0	37.9	30.0	48.0	49.0
46393	49.38	45.0	48.0	49.0	49.0	37.9	30.0	48.0	49.0
46396	49.38	45.0	48.0	49.0	49.0	38.0	30.0	48.0	49.0
46399	49.5	45.0	48.0	49.0	49.0	38.0	30.0	48.0	49.0
46402	49.25	45.0	48.0	49.0	49.0	38.0	30.0	48.0	49.0
46405	49.38	45.0	48.0	49.0	49.0	38.0	30.0	48.0	49.0
46409	49.38	45.0	48.0	49.0	49.0	38.0	30.0	48.0	49.0
46412	49.38	45.0	48.0	49.0	49.0	38.0	30.0	48.0	49.0
46415	49.5	45.0	48.0	49.0	49.0	38.2	30.0	49.0	51.0
46418	49.5	45.0	48.0	49.0	49.0	38.2	30.0	48.0	49.0
46421	49.5	45.0	48.0	49.0	49.0	38.2	30.0	48.0	49.0
46424	49.5	45.0	48.0	49.0	49.0	38.2	30.0	48.0	49.0
46427	49.5	45.0	48.0	49.0	49.0	38.2	30.0	48.0	49.0
46430	49.38	45.0	54.0	49.0	49.0	38.2	34.0	48.0	49.0
46433	49.5	45.0	54.0	49.0	49.0	38.3	40.0	48.0	49.0
46436	49.38	45.0	54.0	49.0	49.0	38.3	45.0	48.0	49.0
46439	49.5	45.0	54.0	49.0	49.0	38.3	45.0	48.0	49.0
46442	49.5	45.0	54.0	49.0	49.0	38.3	45.0	48.0	49.0
46445	49.63	45.0	54.0	49.0	49.0	38.3	45.0	48.0	49.0
46448	49.5	45.0	54.0	49.0	49.0	38.3	45.0	48.0	49.0
46451	49.5	45.0	54.0	49.0	49.0	38.3	45.0	48.0	49.0
46454	49.5	45.0	54.0	49.0	49.0	38.4	45.0	48.0	49.0
46457	49.5	45.0	54.0	49.0	49.0	38.4	45.0	48.0	49.0
46461	49.25	45.0	48.0	49.0	49.0	38.4	43.0	48.0	49.0
46464	49.5	45.0	48.0	49.0	49.0	38.4	37.0	48.0	49.0
