CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,12:38:17 - July 01 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:38:18,35,37,,,35,40,3,1595.94,,37,39,0,1595.94,
12:38:19,35,37,,,35,40,6,1595.94,,37,39,0,1595.94,
12:38:20,36,37,,,35,40,9,1595.94,,37,39,2,1595.94,
12:38:21,36,37,,,35,40,11,1595.94,,37,39,2,1595.94,
12:38:22,35,37,,,35,40,5,1595.94,,37,39,0,1595.94,
12:38:23,36,37,,,35,40,2,1595.94,,37,39,0,1595.94,
12:38:24,35,37,,,35,40,1,1595.94,,37,39,1,1595.94,
12:38:25,35,37,,,35,40,1,1595.94,,37,39,1,1595.94,
12:38:26,35,37,,,35,40,9,1595.94,,37,39,3,1595.94,
12:38:27,35,37,,,35,40,9,1595.94,,37,39,5,1595.94,
12:38:28,35,37,,,35,40,0,1861.94,,37,39,1,1861.94,
12:38:29,36,37,,,35,40,8,1595.94,,37,39,12,1595.94,
12:38:30,35,37,,,35,40,8,1595.94,,37,39,2,1595.94,
12:38:31,35,37,,,35,40,3,1595.94,,37,39,2,1595.94,
12:38:32,35,37,,,35,40,0,1595.94,,37,39,0,1595.94,
12:38:33,35,37,,,35,40,2,1595.94,,37,39,3,1595.94,
12:38:34,35,37,,,35,40,0,1595.94,,37,39,0,1595.94,
12:38:35,35,37,,,35,40,0,1595.94,,37,39,0,1595.94,
12:38:36,35,37,,,35,40,2,1595.94,,37,39,2,1595.94,
12:38:37,35,37,,,35,40,0,1595.94,,37,39,0,1595.94,
12:38:38,35,37,,,35,40,2,1595.94,,37,39,0,1595.94,
12:38:39,35,37,,,35,40,0,1595.94,,37,39,0,1595.94,
