Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
45448	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45451	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45454	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45457	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45460	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45463	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45466	38.0	38.0	41.0	37.0	38.0	3.38	1.1
45469	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45472	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45475	37.0	37.0	41.0	37.0	37.0	3.38	1.1
45478	40.0	40.0	41.0	43.0	37.0	3.38	1.1
45481	37.0	37.0	41.0	38.0	37.0	3.38	1.1
45485	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45488	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45491	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45494	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45497	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45500	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45503	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45506	37.0	37.0	41.0	36.0	37.0	3.38	1.1
45509	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45512	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45515	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45518	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45521	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45524	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45527	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45530	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45533	37.0	37.0	41.0	34.0	37.0	3.38	1.1
45537	37.0	37.0	41.0	35.0	37.0	3.38	1.1
45540	37.0	37.0	41.0	35.0	37.0	3.38	1.1
