CPUID:,0x200F31
Processor:,Mobile AMD Turion X2 RM-74 (Griffin)
Platform:,Socket S1g2 (638 pin)
Revision:,LG-B1
Lithography:,65nm

Session start:,13:32:12 - July 01 - 2011

Time,CPU 0 Temp. (°),,CPU 0,Low temp. (°),High temp. (°),Core load (%),CPU speed (MHz),
13:32:13,66,,,66,67,5,550.01,
13:32:14,66,,,66,67,23,550.01,
13:32:16,66,,,66,67,82,550.01,
13:32:17,66,,,66,67,78,1100.01,
13:32:18,65,,,65,67,9,550.01,
13:32:19,65,,,65,67,2,550.01,
13:32:20,65,,,65,67,3,550.01,
13:32:21,65,,,65,67,32,550.01,
13:32:22,65,,,65,67,43,550.01,
13:32:23,65,,,65,67,6,550.01,
13:32:24,65,,,65,67,29,550.01,
13:32:25,65,,,65,67,18,550.01,
13:32:26,64,,,64,67,28,550.01,
13:32:27,64,,,64,67,45,1100.01,
13:32:28,64,,,64,67,68,550.01,
13:32:29,64,,,64,67,67,550.01,
13:32:30,64,,,64,67,51,550.01,
13:32:31,64,,,64,67,82,1100.01,
13:32:32,67,,,64,67,73,550.01,
13:32:33,67,,,64,67,91,1100.01,
13:32:34,67,,,64,67,55,550.01,
13:32:35,67,,,64,67,63,550.01,
13:32:36,67,,,64,67,80,1100.01,
13:32:37,66,,,64,67,48,1100.01,
13:32:38,66,,,64,67,11,550.01,
13:32:39,66,,,64,67,22,550.01,
13:32:40,66,,,64,67,35,550.01,
13:32:41,66,,,64,67,64,550.01,
13:32:42,66,,,64,67,2,550.01,
13:32:43,66,,,64,67,6,550.01,
13:32:44,66,,,64,67,9,550.01,
13:32:45,65,,,64,67,0,550.01,
13:32:46,65,,,64,67,6,550.01,
13:32:47,65,,,64,67,11,550.01,
13:32:48,65,,,64,67,3,550.01,
13:32:49,65,,,64,67,3,550.01,
13:32:50,65,,,64,67,3,550.01,
13:32:51,65,,,64,67,34,1100.01,
13:32:52,65,,,64,67,57,550.01,
13:32:53,64,,,64,67,54,550.01,
13:32:54,64,,,64,67,49,550.01,
13:32:55,64,,,64,67,5,550.01,
13:32:56,64,,,64,67,18,550.01,
13:32:57,64,,,64,67,14,550.01,
13:32:58,64,,,64,67,3,550.01,
13:32:59,64,,,64,67,2,550.01,
13:33:00,64,,,64,67,2,550.01,
13:33:01,63,,,63,67,9,550.01,
13:33:02,63,,,63,67,36,550.01,
13:33:03,63,,,63,67,17,550.01,
13:33:04,63,,,63,67,2,550.01,
13:33:05,63,,,63,67,9,550.01,
13:33:06,63,,,63,67,11,550.01,
13:33:07,63,,,63,67,17,550.01,
13:33:08,62,,,62,67,9,550.01,
13:33:09,62,,,62,67,3,550.01,
13:33:10,62,,,62,67,52,550.01,
13:33:11,62,,,62,67,18,550.01,
13:33:12,62,,,62,67,18,550.01,
13:33:13,62,,,62,67,22,550.01,
13:33:14,62,,,62,67,42,550.01,
13:33:15,62,,,62,67,26,550.01,
13:33:16,61,,,61,67,30,550.01,
13:33:17,61,,,61,67,22,550.01,
13:33:18,61,,,61,67,56,550.01,
13:33:19,61,,,61,67,8,550.01,
13:33:20,61,,,61,67,8,550.01,
13:33:21,61,,,61,67,9,550.01,
13:33:22,61,,,61,67,8,550.01,
13:33:23,61,,,61,67,69,1100.01,
13:33:24,60,,,60,67,48,550.01,
13:33:25,60,,,60,67,43,550.01,
13:33:26,60,,,60,67,15,550.01,
13:33:28,60,,,60,67,23,550.01,
13:33:29,60,,,60,67,51,550.01,
13:33:30,60,,,60,67,9,550.01,
13:33:31,60,,,60,67,0,550.01,
13:33:32,60,,,60,67,3,550.01,
13:33:33,59,,,59,67,0,550.01,
13:33:34,59,,,59,67,3,550.01,
13:33:35,59,,,59,67,13,550.01,
13:33:36,59,,,59,67,14,550.01,
13:33:37,59,,,59,67,2,550.01,
13:33:38,59,,,59,67,2,550.01,
13:33:39,59,,,59,67,0,550.01,
13:33:40,59,,,59,67,3,550.01,
13:33:41,58,,,58,67,2,550.01,
13:33:42,58,,,58,67,3,550.01,
13:33:43,58,,,58,67,2,550.01,
13:33:44,58,,,58,67,3,550.01,
13:33:45,58,,,58,67,2,550.01,
13:33:46,58,,,58,67,3,550.01,
13:33:47,58,,,58,67,6,550.01,
13:33:48,58,,,58,67,3,550.01,
13:33:49,57,,,57,67,0,550.01,
13:33:50,57,,,57,67,3,550.01,
13:33:51,57,,,57,67,2,550.01,
13:33:52,57,,,57,67,3,550.01,
13:33:53,57,,,57,67,3,550.01,
13:33:54,57,,,57,67,6,550.01,
13:33:55,57,,,57,67,3,550.01,
13:33:56,57,,,57,67,3,550.01,
13:33:57,56,,,56,67,2,550.01,
13:33:58,56,,,56,67,3,550.01,
13:33:59,56,,,56,67,5,550.01,
13:34:00,56,,,56,67,3,550.01,
13:34:01,56,,,56,67,0,550.01,
13:34:02,56,,,56,67,3,550.01,
13:34:03,56,,,56,67,2,550.01,
13:34:04,56,,,56,67,3,550.01,
13:34:05,55,,,55,67,2,550.01,
13:34:06,55,,,55,67,3,550.01,
13:34:07,55,,,55,67,5,550.01,
13:34:08,55,,,55,67,3,550.01,
13:34:09,55,,,55,67,2,550.01,
13:34:10,55,,,55,67,3,550.01,
13:34:11,55,,,55,67,2,550.01,
13:34:12,55,,,55,67,18,550.01,
13:34:13,54,,,54,67,0,550.01,
13:34:14,54,,,54,67,0,550.01,
13:34:15,54,,,54,67,3,550.01,
13:34:16,54,,,54,67,0,550.01,
13:34:17,54,,,54,67,6,550.01,
13:34:18,54,,,54,67,0,550.01,
13:34:19,54,,,54,67,3,550.01,
13:34:20,54,,,54,67,2,550.01,
13:34:21,55,,,54,67,9,550.01,
13:34:22,55,,,54,67,48,550.01,
13:34:23,56,,,54,67,54,550.01,
13:34:24,56,,,54,67,45,550.01,
13:34:25,56,,,54,67,69,550.01,
13:34:26,56,,,54,67,45,550.01,
13:34:27,56,,,54,67,54,550.01,
13:34:28,56,,,54,67,58,550.01,
13:34:29,56,,,54,67,52,550.01,
13:34:30,57,,,54,67,48,550.01,
13:34:31,57,,,54,67,62,550.01,
13:34:32,59,,,54,67,61,550.01,
13:34:33,59,,,54,67,55,550.01,
13:34:34,59,,,54,67,63,550.01,
13:34:35,58,,,54,67,54,550.01,
13:34:36,58,,,54,67,51,550.01,
13:34:37,58,,,54,67,66,550.01,
13:34:38,66,,,54,67,94,2200.03,
13:34:40,66,,,54,67,71,550.01,
13:34:41,66,,,54,67,95,1100.01,
13:34:42,68,,,54,68,85,2200.03,
13:34:43,68,,,54,68,32,550.01,
13:34:44,68,,,54,68,3,550.01,
13:34:45,68,,,54,68,3,550.01,
13:34:46,68,,,54,68,2,550.01,
13:34:47,68,,,54,68,5,550.01,
13:34:48,68,,,54,68,9,550.01,
13:34:49,67,,,54,68,3,550.01,
13:34:50,67,,,54,68,2,550.01,
13:34:51,67,,,54,68,3,550.01,
13:34:52,67,,,54,68,0,550.01,
13:34:53,67,,,54,68,3,550.01,
13:34:54,67,,,54,68,3,550.01,
13:34:55,67,,,54,68,3,550.01,
13:34:56,67,,,54,68,18,550.01,
13:34:57,66,,,54,68,8,550.01,
13:34:58,66,,,54,68,3,550.01,
13:34:59,66,,,54,68,3,550.01,
13:35:00,66,,,54,68,5,550.01,
13:35:01,66,,,54,68,3,550.01,
13:35:02,66,,,54,68,2,550.01,
13:35:03,66,,,54,68,3,550.01,
13:35:04,66,,,54,68,2,550.01,
13:35:05,65,,,54,68,5,550.01,
13:35:06,65,,,54,68,2,550.01,
13:35:07,65,,,54,68,9,550.01,
13:35:08,65,,,54,68,0,550.01,
13:35:09,65,,,54,68,3,550.01,
13:35:10,65,,,54,68,2,550.01,
13:35:11,65,,,54,68,3,550.01,
13:35:12,65,,,54,68,2,550.01,
13:35:13,64,,,54,68,3,550.01,
13:35:14,64,,,54,68,2,550.01,
13:35:15,64,,,54,68,3,550.01,
13:35:16,64,,,54,68,2,550.01,
13:35:17,64,,,54,68,6,550.01,
13:35:18,64,,,54,68,2,550.01,
13:35:19,64,,,54,68,3,550.01,
13:35:20,64,,,54,68,2,550.01,
13:35:21,63,,,54,68,3,550.01,
13:35:22,63,,,54,68,2,550.01,
13:35:23,63,,,54,68,3,550.01,
13:35:24,63,,,54,68,2,550.01,
13:35:25,63,,,54,68,3,550.01,
13:35:26,63,,,54,68,2,550.01,
13:35:27,63,,,54,68,8,550.01,
13:35:28,63,,,54,68,2,550.01,
13:35:29,62,,,54,68,3,550.01,
13:35:30,62,,,54,68,2,550.01,
13:35:31,62,,,54,68,3,550.01,
13:35:32,62,,,54,68,0,550.01,
13:35:33,62,,,54,68,3,550.01,
13:35:34,62,,,54,68,0,550.01,
13:35:35,62,,,54,68,3,550.01,
13:35:36,62,,,54,68,2,550.01,
13:35:37,61,,,54,68,6,550.01,
13:35:38,61,,,54,68,0,550.01,
13:35:39,61,,,54,68,3,550.01,
13:35:40,61,,,54,68,0,550.01,
13:35:41,61,,,54,68,3,550.01,
13:35:42,61,,,54,68,2,550.01,
13:35:43,61,,,54,68,8,550.01,
13:35:44,61,,,54,68,2,550.01,
13:35:45,60,,,54,68,5,550.01,
13:35:46,60,,,54,68,2,550.01,
13:35:47,60,,,54,68,6,550.01,
13:35:48,60,,,54,68,3,550.01,
13:35:49,60,,,54,68,3,550.01,
13:35:50,60,,,54,68,2,550.01,
13:35:52,60,,,54,68,3,550.01,
13:35:53,60,,,54,68,2,550.01,
13:35:54,59,,,54,68,2,550.01,
13:35:55,59,,,54,68,2,550.01,
13:35:56,59,,,54,68,5,550.01,
13:35:57,59,,,54,68,2,550.01,
13:35:58,59,,,54,68,6,550.01,
13:35:59,59,,,54,68,0,550.01,
13:36:00,59,,,54,68,3,550.01,
13:36:01,58,,,54,68,2,550.01,
13:36:02,58,,,54,68,3,550.01,
13:36:03,58,,,54,68,2,550.01,
13:36:04,58,,,54,68,3,550.01,
13:36:05,58,,,54,68,0,550.01,
13:36:06,58,,,54,68,3,550.01,
13:36:07,58,,,54,68,3,550.01,
13:36:08,58,,,54,68,8,550.01,
13:36:09,57,,,54,68,2,550.01,
13:36:10,57,,,54,68,3,550.01,
13:36:11,57,,,54,68,2,550.01,
13:36:12,57,,,54,68,3,550.01,
13:36:13,57,,,54,68,2,550.01,
13:36:14,57,,,54,68,5,550.01,
13:36:15,57,,,54,68,0,550.01,
13:36:16,57,,,54,68,3,550.01,
13:36:17,56,,,54,68,8,550.01,
13:36:18,56,,,54,68,3,550.01,
13:36:19,56,,,54,68,2,550.01,
13:36:20,56,,,54,68,3,550.01,
13:36:21,56,,,54,68,2,550.01,
13:36:22,56,,,54,68,3,550.01,
13:36:23,56,,,54,68,14,550.01,
13:36:24,56,,,54,68,12,550.01,
13:36:25,55,,,54,68,6,550.01,
13:36:26,55,,,54,68,3,550.01,
13:36:27,55,,,54,68,5,550.01,
13:36:28,55,,,54,68,3,550.01,
13:36:29,55,,,54,68,2,550.01,
13:36:30,55,,,54,68,3,550.01,
13:36:31,55,,,54,68,2,550.01,
13:36:32,55,,,54,68,12,550.01,
13:36:33,54,,,54,68,2,550.01,
13:36:34,54,,,54,68,3,550.01,
13:36:35,54,,,54,68,2,550.01,
13:36:36,54,,,54,68,3,550.01,
13:36:37,54,,,54,68,6,550.01,
13:36:38,54,,,54,68,3,550.01,
13:36:39,54,,,54,68,3,550.01,
13:36:40,54,,,54,68,3,550.01,
13:36:41,53,,,53,68,3,550.01,
13:36:42,53,,,53,68,3,550.01,
13:36:43,53,,,53,68,2,550.01,
13:36:44,54,,,53,68,3,550.01,
13:36:45,53,,,53,68,0,550.01,
13:36:46,53,,,53,68,5,550.01,
13:36:47,54,,,53,68,8,550.01,
13:36:48,53,,,53,68,3,550.01,
13:36:49,53,,,53,68,2,550.01,
13:36:50,53,,,53,68,6,550.01,
13:36:51,53,,,53,68,3,550.01,
13:36:52,54,,,53,68,14,550.01,
13:36:53,53,,,53,68,2,550.01,
13:36:54,54,,,53,68,3,550.01,
13:36:55,53,,,53,68,8,550.01,
13:36:56,53,,,53,68,5,550.01,
13:36:57,54,,,53,68,14,550.01,
13:36:58,54,,,53,68,5,550.01,
13:36:59,54,,,53,68,2,550.01,
13:37:00,54,,,53,68,18,550.01,
13:37:01,54,,,53,68,2,550.01,
13:37:02,54,,,53,68,3,550.01,
13:37:03,54,,,53,68,2,550.01,
13:37:05,54,,,53,68,3,550.01,
13:37:06,53,,,53,68,2,550.01,
13:37:07,53,,,53,68,3,550.01,
13:37:08,54,,,53,68,8,550.01,
13:37:09,54,,,53,68,2,550.01,
13:37:10,54,,,53,68,9,550.01,
13:37:11,54,,,53,68,3,550.01,
13:37:12,53,,,53,68,2,550.01,
13:37:13,54,,,53,68,3,550.01,
13:37:14,53,,,53,68,2,550.01,
13:37:15,53,,,53,68,3,550.01,
13:37:16,53,,,53,68,5,550.01,
13:37:17,53,,,53,68,3,550.01,
13:37:18,53,,,53,68,5,550.01,
13:37:19,53,,,53,68,3,550.01,
13:37:20,53,,,53,68,2,550.01,
13:37:21,53,,,53,68,3,550.01,
13:37:22,53,,,53,68,11,550.01,
13:37:23,54,,,53,68,14,550.01,
13:37:24,53,,,53,68,2,550.01,
13:37:25,53,,,53,68,3,550.01,
13:37:26,53,,,53,68,2,550.01,
13:37:27,53,,,53,68,3,550.01,
13:37:28,53,,,53,68,9,550.01,
13:37:29,53,,,53,68,3,550.01,
13:37:30,53,,,53,68,2,550.01,
13:37:31,53,,,53,68,3,550.01,
13:37:32,53,,,53,68,5,550.01,
13:37:33,53,,,53,68,3,550.01,
13:37:34,53,,,53,68,2,550.01,
13:37:35,53,,,53,68,3,550.01,
13:37:36,53,,,53,68,0,550.01,
13:37:37,53,,,53,68,9,550.01,
13:37:38,53,,,53,68,2,550.01,
13:37:39,53,,,53,68,3,550.01,
13:37:40,53,,,53,68,2,550.01,
13:37:41,53,,,53,68,3,550.01,
13:37:42,53,,,53,68,2,550.01,
13:37:43,53,,,53,68,3,550.01,
13:37:44,53,,,53,68,2,550.01,
13:37:45,53,,,53,68,3,550.01,
13:37:46,53,,,53,68,0,550.01,
13:37:47,53,,,53,68,5,550.01,
13:37:48,53,,,53,68,0,550.01,
13:37:49,53,,,53,68,5,550.01,
13:37:50,53,,,53,68,2,550.01,
13:37:51,53,,,53,68,3,550.01,
13:37:52,53,,,53,68,2,550.01,
13:37:53,53,,,53,68,3,550.01,
13:37:54,53,,,53,68,2,550.01,
13:37:55,53,,,53,68,5,550.01,
13:37:56,53,,,53,68,2,550.01,
13:37:57,53,,,53,68,5,550.01,
13:37:58,53,,,53,68,2,550.01,
13:37:59,53,,,53,68,3,550.01,
13:38:00,53,,,53,68,3,550.01,
13:38:01,53,,,53,68,20,550.01,
13:38:02,53,,,53,68,6,550.01,
13:38:03,53,,,53,68,3,550.01,
13:38:04,53,,,53,68,2,550.01,
13:38:05,53,,,53,68,3,550.01,
13:38:06,52,,,52,68,0,550.01,
13:38:07,53,,,52,68,5,550.01,
13:38:08,53,,,52,68,2,550.01,
13:38:09,53,,,52,68,2,550.01,
13:38:10,53,,,52,68,2,550.01,
13:38:11,53,,,52,68,3,550.01,
13:38:12,53,,,52,68,0,550.01,
13:38:13,52,,,52,68,3,550.01,
13:38:14,52,,,52,68,2,550.01,
13:38:15,53,,,52,68,2,550.01,
13:38:17,53,,,52,68,0,550.01,
