Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
45350	34.0	34.0	36.0	33.0	33.0	3.33	1.15
45353	32.0	32.0	36.0	32.0	32.0	3.33	1.15
45356	33.0	33.0	36.0	33.0	33.0	3.33	1.15
45359	33.0	33.0	36.0	33.0	33.0	3.33	1.15
45362	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45365	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45368	34.0	34.0	36.0	34.0	35.0	3.34	1.1
45371	36.0	36.0	36.0	37.0	37.0	3.34	1.1
45375	33.0	33.0	36.0	33.0	33.0	3.33	1.1
45378	33.0	33.0	36.0	33.0	33.0	3.33	1.1
45381	33.0	33.0	36.0	33.0	33.0	3.33	1.1
45384	34.0	34.0	36.0	34.0	34.0	3.33	1.1
45387	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45390	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45393	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45396	33.0	33.0	36.0	35.0	36.0	3.34	1.1
45399	32.0	32.0	36.0	33.0	33.0	3.34	1.1
45402	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45405	32.0	32.0	36.0	32.0	32.0	3.34	1.1
45408	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45411	33.0	33.0	36.0	33.0	33.0	3.34	1.1
45414	33.0	33.0	37.0	32.0	32.0	3.34	1.1
45417	32.0	32.0	37.0	32.0	32.0	3.34	1.1
45420	33.0	33.0	37.0	32.0	32.0	3.34	1.1
45423	32.0	32.0	37.0	32.0	32.0	3.34	1.1
45427	32.0	32.0	37.0	32.0	32.0	3.34	1.1
45430	32.0	32.0	37.0	33.0	33.0	3.34	1.1
45433	32.0	32.0	37.0	33.0	33.0	3.34	1.1
45436	36.0	36.0	37.0	36.0	36.0	3.33	1.1
45439	38.0	38.0	37.0	37.0	37.0	3.33	1.1
45442	33.0	33.0	37.0	33.0	33.0	3.33	1.1
