Time	avg core temp	avg load	avg freq
12:38:18	36.00	1.50	1595.94
12:38:19	36.00	3.00	1595.94
12:38:20	36.50	5.50	1595.94
12:38:21	36.50	6.50	1595.94
12:38:22	36.00	2.50	1595.94
12:38:23	36.50	1.00	1595.94
12:38:24	36.00	1.00	1595.94
12:38:25	36.00	1.00	1595.94
12:38:26	36.00	6.00	1595.94
12:38:27	36.00	7.00	1595.94
12:38:28	36.00	0.50	1861.94
12:38:29	36.50	10.00	1595.94
12:38:30	36.00	5.00	1595.94
12:38:31	36.00	2.50	1595.94
12:38:32	36.00	0.00	1595.94
12:38:33	36.00	2.50	1595.94
12:38:34	36.00	0.00	1595.94
12:38:35	36.00	0.00	1595.94
12:38:36	36.00	2.00	1595.94
12:38:37	36.00	0.00	1595.94
12:38:38	36.00	1.00	1595.94
12:38:39	36.00	0.00	1595.94
12:38:40	36.00	0.00	1595.94
12:38:41	36.00	0.00	1595.94
12:38:42	36.00	0.00	1595.94
12:38:43	36.00	0.00	1595.94
12:38:44	36.00	0.00	1595.94
12:38:45	36.00	0.00	1595.94
12:38:46	36.00	0.00	1595.94
12:38:47	36.00	1.00	1595.94
12:38:48	36.00	0.00	1595.94
12:38:49	36.00	0.00	1595.94
12:38:50	36.00	1.00	1595.94
12:38:51	36.00	0.00	1595.94
12:38:52	35.50	0.00	1595.94
12:38:53	36.50	0.00	1595.94
12:38:54	36.00	0.00	1595.94
12:38:55	36.00	0.00	1595.94
12:38:56	35.50	1.00	1595.94
12:38:57	36.00	0.00	1595.94
12:38:58	36.00	0.00	1595.94
12:38:59	36.00	0.00	1595.94
12:39:00	36.00	2.00	1595.94
12:39:01	38.50	16.50	1994.93
12:39:02	40.00	39.50	2393.92
12:39:03	39.50	38.00	2327.42
12:39:04	40.00	41.00	2393.92
12:39:05	40.00	36.00	2393.92
12:39:06	36.50	23.50	1994.93
12:39:07	36.00	1.50	1595.94
12:39:08	36.00	1.00	1595.94
12:39:09	36.00	0.00	1595.94
12:39:10	36.00	0.00	1595.94
12:39:11	36.00	2.50	1595.94
12:39:13	36.00	5.00	1595.94
12:39:14	36.00	4.00	1595.94
12:39:15	36.00	2.00	1595.94
12:39:16	36.00	2.00	1595.94
12:39:17	36.00	7.00	1595.94
12:39:18	36.00	8.00	1595.94
12:39:19	36.00	8.00	1795.44
12:39:20	36.00	0.00	1595.94
12:39:21	36.00	0.00	1595.94
12:39:22	36.00	1.00	1595.94
12:39:23	36.00	8.00	1728.94
12:39:24	35.50	0.00	1595.94
12:39:25	36.00	11.50	1728.94
12:39:26	35.50	5.50	1595.94
12:39:27	36.00	1.00	1595.94
12:39:28	35.50	0.00	1595.94
12:39:29	36.00	11.50	1728.94
12:39:30	35.50	8.50	1595.94
12:39:31	35.50	9.00	1662.44
12:39:32	36.00	4.00	1595.94
12:39:33	35.50	10.00	1728.94
12:39:34	35.50	1.00	1595.94
12:39:35	35.50	4.50	1662.44
12:39:36	35.50	1.00	1595.94
12:39:37	35.50	0.00	1595.94
12:39:38	35.50	8.00	1595.94
12:39:39	35.50	0.00	1595.94
12:39:40	35.50	0.50	1595.94
12:39:41	36.00	5.50	1728.94
12:39:42	35.50	0.00	1595.94
12:39:43	35.50	0.00	1595.94
12:39:44	35.50	2.00	1595.94
12:39:45	35.50	2.00	1595.94
12:39:46	35.50	0.00	1728.94
12:39:47	35.50	4.00	1595.94
12:39:48	35.50	0.00	1595.94
12:39:49	35.50	0.00	1595.94
12:39:50	36.00	3.50	1595.94
12:39:51	36.00	7.50	1595.94
12:39:52	35.50	0.00	1728.94
12:39:53	35.50	8.00	1595.94
12:39:54	36.00	4.50	1595.94
12:39:55	36.00	2.50	1861.94
12:39:56	36.00	12.50	1595.94
12:39:57	35.50	10.00	1662.44
12:39:58	35.50	5.50	1728.94
12:39:59	36.00	6.00	1595.94
12:40:00	35.50	4.00	1595.94
12:40:01	36.50	1.50	1595.94
12:40:02	36.50	8.50	1728.94
12:40:03	35.50	5.50	1595.94
12:40:04	35.50	1.00	1595.94
12:40:05	35.50	0.50	1595.94
12:40:06	35.50	4.00	1795.44
12:40:07	37.50	33.00	2460.42
12:40:08	38.00	38.50	2393.92
12:40:09	39.00	42.50	2393.92
12:40:10	39.00	40.50	2460.42
12:40:11	40.00	49.50	2327.42
12:40:12	36.00	6.50	1662.44
12:40:13	36.00	2.00	1595.94
12:40:14	35.50	0.00	1595.94
12:40:15	35.50	0.00	1595.94
12:40:16	35.50	3.00	1662.44
12:40:17	35.50	0.00	1595.94
12:40:18	35.50	0.00	1595.94
12:40:19	35.50	0.00	1595.94
12:40:20	35.50	0.00	1595.94
12:40:21	35.50	0.00	1595.94
12:40:22	35.50	4.00	1662.44
12:40:23	35.50	0.50	1595.94
12:40:25	35.50	0.50	1595.94
12:40:26	35.50	0.00	1595.94
12:40:27	35.50	0.00	1595.94
12:40:28	35.50	0.00	1595.94
12:40:29	35.50	5.50	1662.44
12:40:30	35.50	0.00	1595.94
12:40:31	35.50	0.00	1595.94
12:40:32	35.50	0.00	1595.94
12:40:33	35.50	0.00	1595.94
12:40:34	35.50	1.50	1595.94
12:40:35	35.50	4.00	1595.94
12:40:36	35.50	0.00	1595.94
12:40:37	35.50	0.00	1595.94
12:40:38	35.50	0.00	1595.94
12:40:39	35.50	0.00	1595.94
12:40:40	35.50	1.00	1595.94
12:40:41	35.50	4.50	1595.94
12:40:42	35.50	1.00	1595.94
12:40:43	35.50	0.00	1595.94
12:40:44	35.50	1.00	1595.94
12:40:45	35.50	0.00	1595.94
12:40:46	35.50	0.00	1662.44
12:40:47	35.50	5.00	1595.94
12:40:48	35.50	2.00	1595.94
12:40:49	35.50	0.00	1595.94
12:40:50	35.50	1.00	1595.94
12:40:51	35.50	1.00	1595.94
12:40:52	35.50	0.00	1662.44
12:40:53	35.50	2.50	1662.44
12:40:54	35.50	1.00	1595.94
12:40:55	35.50	0.00	1595.94
12:40:56	35.50	1.50	1595.94
12:40:57	35.50	1.00	1595.94
12:40:58	35.50	0.00	1662.44
12:40:59	35.50	2.00	1595.94
12:41:00	35.50	0.00	1595.94
12:41:01	35.50	0.00	1595.94
12:41:02	35.50	0.00	1595.94
12:41:03	35.50	0.00	1595.94
12:41:04	35.50	1.00	1595.94
12:41:05	35.50	4.50	1595.94
12:41:06	35.50	0.00	1595.94
12:41:07	35.50	1.00	1595.94
12:41:08	35.50	0.00	1595.94
12:41:09	35.50	0.00	1595.94
12:41:10	35.50	0.00	1595.94
12:41:11	35.50	2.50	1595.94
12:41:12	39.00	10.50	1795.44
12:41:13	37.50	37.50	2327.42
12:41:14	37.50	41.00	2460.42
12:41:15	37.00	36.50	2460.42
12:41:16	37.00	40.00	2460.42
12:41:17	36.00	28.50	2393.92
12:41:18	36.00	0.00	1595.94
12:41:19	36.00	0.00	1595.94
12:41:20	35.50	0.00	1595.94
12:41:21	35.50	0.00	1595.94
12:41:22	35.50	3.00	1662.44
12:41:23	35.50	1.00	1595.94
12:41:24	35.50	0.00	1595.94
12:41:25	35.50	0.00	1595.94
12:41:26	35.50	0.00	1595.94
12:41:27	35.50	1.00	1595.94
12:41:28	35.50	3.50	1662.44
12:41:29	35.50	0.00	1595.94
12:41:30	35.50	0.00	1595.94
12:41:31	35.50	0.00	1595.94
12:41:32	35.50	0.00	1595.94
12:41:33	35.50	1.00	1728.94
12:41:34	35.50	5.00	1595.94
12:41:35	35.50	0.00	1595.94
12:41:36	36.00	0.00	1595.94
12:41:38	35.50	1.00	1595.94
12:41:39	35.50	0.00	1595.94
12:41:40	35.50	0.00	1728.94
12:41:41	35.50	3.50	1595.94
12:41:42	35.50	0.00	1595.94
12:41:43	35.50	0.00	1595.94
12:41:44	35.50	1.00	1595.94
12:41:45	35.50	0.00	1595.94
12:41:46	36.00	1.50	1662.44
12:41:47	35.50	2.50	1595.94
12:41:48	35.50	0.00	1595.94
12:41:49	35.50	0.00	1595.94
12:41:50	35.50	0.00	1595.94
12:41:51	36.00	1.00	1595.94
12:41:52	35.50	0.00	1728.94
12:41:53	35.50	4.00	1595.94
12:41:54	35.50	1.00	1595.94
12:41:55	35.50	0.00	1595.94
12:41:56	35.50	0.00	1595.94
12:41:57	35.50	0.00	1595.94
12:41:58	35.50	0.00	1595.94
12:41:59	35.50	3.50	1595.94
12:42:00	35.50	0.00	1595.94
12:42:01	35.50	2.50	1595.94
12:42:02	35.50	0.00	1595.94
12:42:03	35.50	0.00	1595.94
12:42:04	35.50	5.50	1662.44
12:42:05	35.50	0.00	1595.94
12:42:06	35.50	0.00	1595.94
12:42:07	35.50	1.00	1595.94
12:42:08	35.50	0.00	1595.94
12:42:09	35.50	0.00	1595.94
12:42:10	35.50	2.50	1662.44
12:42:11	35.50	1.50	1595.94
12:42:12	35.50	0.00	1595.94
12:42:13	35.50	0.50	1595.94
12:42:14	35.50	0.00	1595.94
12:42:15	35.50	0.00	1595.94
12:42:16	35.50	2.50	1662.44
12:42:17	35.50	0.00	1595.94
12:42:18	37.00	22.50	2127.93
12:42:19	36.50	38.00	2393.92
12:42:20	36.50	41.00	2393.92
12:42:21	40.00	38.00	2327.42
12:42:22	39.00	41.00	2327.42
12:42:23	36.00	13.50	1662.44
12:42:24	36.00	0.00	1595.94
12:42:25	35.50	0.00	1595.94
12:42:26	35.50	0.00	1595.94
12:42:27	35.50	0.00	1595.94
12:42:28	36.00	4.50	1595.94
12:42:29	35.50	0.00	1595.94
12:42:30	35.50	0.00	1595.94
12:42:31	35.50	0.00	1595.94
12:42:32	35.50	0.00	1595.94
12:42:33	36.00	2.00	1595.94
12:42:34	35.50	4.50	1595.94
12:42:35	35.50	0.00	1595.94
12:42:36	35.50	0.00	1595.94
12:42:37	35.50	0.00	1595.94
12:42:38	35.50	0.00	1595.94
12:42:39	35.50	1.00	1662.44
12:42:40	35.50	4.00	1595.94
12:42:41	35.50	0.50	1595.94
12:42:42	35.50	1.00	1595.94
12:42:43	35.50	1.00	1595.94
12:42:44	35.50	1.00	1595.94
12:42:45	35.50	2.00	1595.94
12:42:46	35.50	1.50	1595.94
12:42:47	35.50	0.00	1595.94
12:42:48	35.50	0.00	1595.94
12:42:50	35.50	0.00	1595.94
12:42:51	35.50	1.00	1595.94
12:42:52	35.50	6.50	1728.94
12:42:53	35.50	0.00	1595.94
12:42:54	35.50	0.00	1595.94
12:42:55	35.50	0.50	1595.94
12:42:56	35.50	0.00	1595.94
12:42:57	35.50	0.00	1595.94
12:42:58	35.50	5.00	1595.94
12:42:59	35.50	0.00	1595.94
12:43:00	35.50	0.00	1595.94
12:43:01	35.50	0.00	1595.94
12:43:02	35.50	0.50	1595.94
12:43:03	35.50	0.00	1595.94
12:43:04	35.50	3.00	1595.94
12:43:05	35.50	1.00	1595.94
12:43:06	35.50	0.00	1595.94
12:43:07	35.50	0.00	1595.94
12:43:08	35.50	2.00	1595.94
12:43:09	35.50	1.00	1595.94
12:43:10	35.50	5.50	1728.94
12:43:11	35.50	0.00	1595.94
12:43:12	35.50	1.00	1595.94
12:43:13	35.50	1.00	1595.94
12:43:14	35.50	0.00	1595.94
12:43:15	35.50	0.50	1595.94
12:43:16	35.50	4.00	1595.94
12:43:17	35.50	0.00	1595.94
12:43:18	35.50	0.00	1595.94
12:43:19	35.50	0.00	1595.94
12:43:20	35.50	0.00	1595.94
12:43:21	35.50	0.00	1595.94
12:43:22	35.50	3.00	1595.94
12:43:23	35.50	3.00	1728.94
12:43:24	37.50	38.00	2460.42
12:43:25	37.50	44.00	2393.92
12:43:26	39.00	39.00	2460.42
12:43:27	39.50	39.50	2393.92
12:43:28	36.50	37.00	2061.43
12:43:29	36.00	0.00	1595.94
12:43:30	35.50	0.00	1595.94
12:43:31	35.50	0.00	1595.94
12:43:32	35.50	0.00	1595.94
12:43:33	35.50	1.00	1595.94
12:43:34	35.50	3.00	1595.94
12:43:35	35.50	1.00	1595.94
12:43:36	35.50	0.00	1595.94
12:43:37	35.50	0.00	1595.94
12:43:38	35.50	0.50	1595.94
12:43:39	35.50	0.00	1595.94
12:43:40	35.50	3.50	1595.94
12:43:41	35.50	0.00	1595.94
12:43:42	35.50	0.00	1595.94
12:43:43	35.50	0.00	1595.94
12:43:44	35.50	1.00	1595.94
12:43:45	35.50	0.00	1662.44
12:43:46	35.50	4.50	1595.94
12:43:47	35.50	1.00	1595.94
12:43:48	35.50	1.00	1595.94
12:43:49	35.50	0.00	1595.94
12:43:50	35.50	0.00	1595.94
12:43:51	35.50	4.50	1662.44
12:43:52	35.50	0.00	1595.94
12:43:53	35.50	1.00	1595.94
12:43:54	35.50	1.00	1595.94
12:43:55	35.50	0.00	1595.94
12:43:56	35.50	0.00	1595.94
12:43:57	35.50	3.00	1662.44
12:43:58	35.50	1.00	1595.94
12:43:59	35.50	0.00	1595.94
12:44:00	35.50	0.00	1595.94
12:44:02	35.50	1.00	1595.94
12:44:03	35.50	0.00	1595.94
12:44:04	35.50	3.50	1662.44
12:44:05	35.50	1.00	1595.94
12:44:06	35.50	1.00	1595.94
12:44:07	35.50	0.00	1595.94
12:44:08	35.50	0.00	1595.94
12:44:09	35.50	0.00	1595.94
12:44:10	35.50	3.50	1662.44
12:44:11	35.50	0.00	1595.94
12:44:12	35.50	1.00	1595.94
12:44:13	35.50	0.00	1595.94
12:44:14	35.50	0.00	1595.94
12:44:15	36.00	3.00	1662.44
12:44:16	35.50	2.50	1662.44
12:44:17	35.50	0.00	1595.94
12:44:18	35.50	0.00	1595.94
12:44:19	35.50	2.50	1595.94
12:44:20	35.50	0.50	1662.44
12:44:21	37.00	10.00	1795.44
12:44:22	35.50	16.50	1728.94
12:44:23	35.50	0.00	1595.94
12:44:24	35.50	0.00	1595.94
12:44:25	35.50	0.00	1595.94
12:44:26	35.50	1.00	1595.94
12:44:27	37.00	4.00	1595.94
12:44:28	35.50	0.00	1595.94
12:44:29	37.50	18.50	2061.43
12:44:30	39.50	38.00	2260.92
12:44:31	40.00	41.00	2460.42
12:44:32	40.00	43.50	2393.92
12:44:33	39.00	41.00	2460.42
12:44:34	36.00	21.00	2194.43
12:44:35	36.00	1.00	1595.94
12:44:36	35.50	1.00	1595.94
12:44:37	36.00	1.00	1595.94
12:44:38	35.50	1.00	1595.94
12:44:39	36.00	3.50	1662.44
12:44:40	36.00	0.00	1595.94
12:44:41	35.50	1.00	1595.94
12:44:42	35.50	1.00	1595.94
12:44:43	35.50	0.00	1595.94
12:44:44	35.50	0.00	1595.94
12:44:45	35.50	5.00	1595.94
12:44:46	35.50	0.00	1595.94
12:44:47	35.50	0.00	1595.94
12:44:48	35.50	0.00	1595.94
12:44:49	35.50	0.00	1595.94
12:44:50	35.50	0.00	1662.44
12:44:51	35.50	2.50	1662.44
12:44:52	35.50	1.00	1595.94
12:44:53	35.50	0.00	1595.94
12:44:54	35.50	0.00	1595.94
12:44:55	35.50	0.00	1595.94
12:44:56	35.50	0.00	1595.94
12:44:57	35.50	4.00	1595.94
12:44:58	35.50	2.00	1595.94
12:44:59	35.50	0.00	1595.94
12:45:00	35.50	1.00	1595.94
12:45:01	35.50	0.00	1595.94
12:45:02	35.50	1.00	1595.94
12:45:03	35.50	5.50	1595.94
12:45:04	35.50	0.00	1595.94
12:45:05	35.50	0.50	1595.94
12:45:06	35.50	0.00	1595.94
12:45:07	35.50	0.00	1595.94
12:45:08	35.50	0.00	1595.94
12:45:09	35.50	0.00	1595.94
12:45:10	35.50	0.00	1595.94
12:45:11	35.50	0.00	1595.94
12:45:12	35.50	0.00	1595.94
12:45:14	35.50	0.00	1595.94
12:45:15	35.50	0.00	1662.44
12:45:16	35.50	5.00	1595.94
12:45:17	35.50	0.00	1595.94
12:45:18	35.50	0.00	1595.94
12:45:19	35.50	0.00	1595.94
12:45:20	35.50	0.00	1595.94
12:45:21	35.50	0.00	1662.44
12:45:22	35.50	3.50	1595.94
12:45:23	35.50	0.00	1595.94
12:45:24	35.50	0.00	1595.94
12:45:25	35.50	0.00	1595.94
12:45:26	35.50	1.00	1595.94
12:45:27	35.50	1.50	1728.94
12:45:28	35.50	1.00	1595.94
12:45:29	35.50	0.00	1595.94
12:45:30	35.50	0.00	1595.94
12:45:31	35.50	0.00	1595.94
12:45:32	35.50	0.00	1595.94
12:45:33	35.50	0.00	1595.94
12:45:34	35.50	0.00	1595.94
12:45:35	36.00	26.50	2327.42
12:45:36	36.50	42.50	2460.42
12:45:37	36.50	36.50	2526.91
12:45:38	37.00	43.50	2460.42
12:45:39	37.00	45.50	2260.92
12:45:40	36.00	9.00	1595.94
12:45:41	36.00	0.00	1595.94
12:45:42	35.50	0.00	1595.94
12:45:43	35.50	0.00	1595.94
12:45:44	35.50	0.00	1595.94
12:45:45	35.50	3.00	1662.44
12:45:46	35.50	0.00	1595.94
12:45:47	35.50	0.00	1595.94
12:45:48	35.50	0.00	1595.94
12:45:49	35.50	1.00	1595.94
12:45:50	35.50	0.00	1595.94
12:45:51	35.50	4.00	1595.94
12:45:52	35.50	0.00	1595.94
12:45:53	35.50	0.00	1595.94
12:45:54	35.50	0.00	1595.94
12:45:55	35.50	0.00	1595.94
12:45:56	35.50	0.00	1595.94
12:45:57	35.50	5.50	1595.94
12:45:58	35.50	0.00	1595.94
12:45:59	35.50	1.00	1595.94
12:46:00	35.50	0.00	1595.94
12:46:01	35.50	0.00	1595.94
12:46:02	35.50	0.00	1662.44
12:46:03	35.50	6.50	1662.44
12:46:04	37.50	7.00	1861.94
12:46:05	36.00	22.50	1861.94
12:46:06	36.00	15.50	1728.94
12:46:07	35.50	15.00	1662.44
12:46:08	36.00	30.50	2061.43
12:46:09	37.50	17.50	2061.43
12:46:10	38.00	31.50	2260.92
12:46:11	37.00	37.50	2327.42
12:46:12	36.50	21.00	1795.44
12:46:13	39.50	31.00	2194.43
12:46:14	39.50	44.50	2792.91
12:46:15	39.50	46.50	2726.41
12:46:16	36.00	15.00	1861.94
12:46:17	38.50	34.00	1994.93
12:46:18	41.50	35.50	2393.92
12:46:19	38.00	40.00	2859.40
12:46:20	38.00	38.50	2393.92
12:46:21	37.50	38.00	2393.92
12:46:22	37.00	38.00	2460.42
12:46:23	38.00	38.00	2659.91
12:46:24	40.00	43.00	2659.91
12:46:26	37.00	35.00	2659.91
12:46:27	39.50	53.00	2859.40
12:46:28	40.00	44.00	2659.91
12:46:29	38.00	43.00	2593.41
12:46:30	37.00	33.50	2194.43
12:46:31	36.50	31.50	2127.93
12:46:32	36.50	22.50	2061.43
12:46:33	40.00	36.00	2194.43
12:46:34	40.50	51.50	2792.90
12:46:35	37.00	33.00	2393.92
12:46:36	38.00	47.00	2460.42
12:46:37	38.50	31.50	2393.92
12:46:38	39.00	41.50	2526.91
12:46:39	37.00	49.50	2726.41
