CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,12:37:37 - July 01 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:37:38,37,37,,,37,45,3,1595.95,,37,41,2,1595.95,
12:37:39,37,37,,,37,45,6,1595.95,,37,41,5,1595.95,
12:37:40,37,37,,,37,45,5,1595.95,,37,41,6,1595.95,
12:37:41,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:37:42,37,37,,,37,45,2,1595.95,,37,41,5,1595.95,
12:37:43,37,37,,,37,45,5,1595.95,,37,41,11,1728.95,
12:37:44,37,37,,,37,45,0,1728.95,,37,41,0,1595.95,
12:37:45,37,37,,,37,45,2,1595.95,,37,41,2,1595.95,
12:37:46,37,37,,,37,45,5,1595.95,,37,41,3,1595.95,
12:37:47,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:37:48,37,37,,,37,45,2,1595.95,,37,41,0,1728.95,
12:37:49,37,37,,,37,45,5,1728.95,,37,41,3,1595.95,
12:37:50,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:37:51,37,37,,,37,45,3,1595.95,,37,41,2,1595.95,
12:37:52,37,37,,,37,45,5,1595.95,,37,41,5,1595.95,
12:37:53,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:37:54,37,37,,,37,45,3,1595.95,,37,41,2,1595.95,
12:37:55,37,37,,,37,45,5,1595.95,,37,41,2,1595.95,
12:37:56,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:37:57,37,37,,,37,45,3,1595.95,,37,41,3,1595.95,
12:37:58,37,37,,,37,45,6,1595.95,,37,41,2,1595.95,
12:37:59,37,37,,,37,45,2,1595.95,,37,41,0,1595.95,
12:38:00,37,37,,,37,45,12,1595.95,,37,41,2,1728.95,
12:38:01,37,37,,,37,45,3,1728.95,,37,41,2,1595.95,
12:38:02,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:03,37,37,,,37,45,2,1595.95,,37,41,0,1595.95,
12:38:04,37,37,,,37,45,3,1595.95,,37,41,3,1595.95,
12:38:05,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:06,37,37,,,37,45,2,1595.95,,37,41,2,1595.95,
12:38:07,37,37,,,37,45,5,1595.95,,37,41,8,1595.95,
12:38:08,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:09,37,37,,,37,45,3,1728.95,,37,41,2,1595.95,
12:38:10,37,37,,,37,45,5,1595.95,,37,41,2,1595.95,
12:38:11,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:12,37,37,,,37,45,3,1595.95,,37,41,2,1595.95,
12:38:13,37,37,,,37,45,6,1595.95,,37,41,3,1595.95,
12:38:14,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:15,37,37,,,37,45,31,2393.92,,37,41,14,1861.94,
12:38:16,41,37,,,37,45,43,2393.92,,37,41,38,2393.92,
12:38:17,42,38,,,37,45,48,2393.92,,37,41,32,2393.92,
12:38:18,42,37,,,37,45,48,2393.92,,37,41,33,2393.92,
12:38:19,37,37,,,37,45,40,2393.92,,37,41,30,2260.93,
12:38:20,37,37,,,37,45,28,2260.93,,37,41,29,2127.93,
12:38:21,37,37,,,37,45,3,1595.95,,37,41,2,1595.95,
12:38:22,37,37,,,37,45,5,1728.95,,37,41,2,1595.95,
12:38:23,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:24,37,37,,,37,45,2,1595.95,,37,41,0,1595.95,
12:38:25,37,37,,,37,45,5,1595.95,,37,41,2,1595.95,
12:38:26,37,37,,,37,45,0,1595.95,,37,41,0,1595.95,
12:38:28,37,37,,,37,45,2,1595.95,,37,41,0,1595.95,
12:38:29,37,37,,,37,45,6,1595.95,,37,41,3,1595.95,
