CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,15:30:11 - July 11 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
15:30:12,38,36,,,38,44,2,1595.95,,36,43,2,1595.95,
15:30:13,38,36,,,38,44,1,1595.95,,36,43,0,1595.95,
15:30:14,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:15,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:16,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:17,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:18,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:19,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:20,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:21,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:30:22,38,36,,,38,44,3,1595.95,,36,43,2,1595.95,
15:30:23,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:24,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:25,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:26,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:27,38,36,,,38,44,1,1595.95,,36,43,0,1595.95,
15:30:28,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:30:30,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:31,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:30:32,38,36,,,38,44,1,1595.95,,36,43,0,1595.95,
15:30:33,38,36,,,38,44,2,1595.95,,36,43,8,1595.95,
15:30:34,38,36,,,38,44,1,1595.95,,36,43,0,1595.95,
15:30:35,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:30:36,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:37,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:30:38,38,36,,,38,44,3,1595.95,,36,43,0,1595.95,
15:30:39,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:40,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:30:41,38,36,,,38,44,1,1595.95,,36,43,0,1595.95,
15:30:42,38,36,,,38,44,4,1728.95,,36,43,1,1595.95,
15:30:43,38,36,,,38,44,46,1728.95,,36,43,27,2127.93,
15:30:44,38,36,,,38,44,54,2393.93,,36,43,20,2526.92,
15:30:45,38,36,,,38,44,63,2526.92,,36,43,20,2260.93,
15:30:46,39,36,,,38,44,54,2526.92,,36,43,26,2260.93,
15:30:47,38,36,,,38,44,52,2526.92,,36,43,20,2393.93,
15:30:48,38,36,,,38,44,0,1595.95,,36,43,0,1728.95,
15:30:49,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:30:50,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:51,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:30:52,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:53,38,36,,,38,44,1,1595.95,,36,43,0,1595.95,
15:30:54,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:55,38,36,,,38,44,3,1595.95,,36,43,0,1595.95,
15:30:56,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:57,38,36,,,38,44,0,1595.95,,36,43,1,1595.95,
15:30:58,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:30:59,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:00,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:01,38,36,,,38,44,0,1595.95,,36,43,1,1595.95,
15:31:02,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:03,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:04,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:05,38,36,,,38,44,0,1595.95,,36,43,1,1595.95,
15:31:06,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:31:07,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:08,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:09,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:10,38,36,,,38,44,2,1595.95,,36,43,2,1595.95,
15:31:11,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:12,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:13,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:14,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:15,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:16,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:31:17,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:31:18,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:19,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:20,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:21,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:31:22,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:23,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:24,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:25,38,36,,,38,44,2,1595.95,,36,43,2,1595.95,
15:31:26,38,36,,,38,44,0,1595.95,,36,43,1,1595.95,
15:31:27,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:28,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:29,38,36,,,38,44,0,1595.95,,36,43,1,1595.95,
15:31:30,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:31,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:32,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:33,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:34,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:35,38,36,,,38,44,2,1595.95,,36,43,2,1595.95,
15:31:36,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:37,38,36,,,38,44,0,1728.95,,36,43,0,1595.95,
15:31:38,38,36,,,38,44,3,1595.95,,36,43,8,1595.95,
15:31:39,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:31:40,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:42,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:43,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:44,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:45,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:46,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:47,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:48,42,36,,,38,44,17,1994.94,,36,43,19,1861.94,
15:31:49,43,37,,,38,44,61,1994.94,,36,43,18,2526.92,
15:31:50,42,38,,,38,44,52,2526.92,,36,43,29,2393.93,
15:31:51,38,37,,,38,44,46,2526.92,,36,43,38,2393.93,
15:31:52,38,36,,,38,44,63,2526.92,,36,43,17,2393.93,
15:31:53,38,36,,,38,44,32,2393.93,,36,43,12,1994.94,
15:31:54,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:55,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:56,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:31:57,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:58,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:31:59,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:32:00,38,36,,,38,44,2,1595.95,,36,43,0,1595.95,
15:32:01,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:02,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:03,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:04,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:05,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:06,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:07,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:08,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:09,38,36,,,38,44,3,1595.95,,36,43,0,1595.95,
15:32:10,38,36,,,38,44,0,1595.95,,36,43,2,1595.95,
15:32:11,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
15:32:12,38,36,,,38,44,0,1595.95,,36,43,0,1595.95,
