Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54754	40.0	40.0	49.5	42.0	39.0	38.0	3.33	3.28	1.09	7.18	3.36	3.36
54757	39.0	39.0	47.5	42.0	39.0	38.0	3.33	3.28	1.09	7.18	3.36	3.36
54760	39.0	39.0	47.0	42.0	38.0	38.0	3.33	3.28	1.09	7.18	3.36	3.36
54763	39.0	39.0	46.5	42.0	38.0	38.0	3.33	3.28	1.09	7.18	3.36	3.36
54766	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54769	38.0	38.0	47.0	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54772	38.0	38.0	47.0	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54775	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54778	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54781	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54784	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54787	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54790	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54794	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54797	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54800	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54803	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54806	38.0	38.0	46.0	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54809	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54812	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54815	44.0	44.0	49.5	42.0	40.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54818	39.0	39.0	47.5	41.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54821	38.0	38.0	47.0	41.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54824	38.0	38.0	46.5	41.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54827	38.0	38.0	46.5	41.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
