CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,15:01:53 - July 11 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
15:01:54,44,41,,,44,47,19,2127.87,,41,43,37,2127.87,
15:01:55,44,41,,,44,47,26,1728.89,,41,43,22,1728.89,
15:01:56,44,41,,,44,47,25,1861.88,,41,43,21,1861.88,
15:01:57,44,41,,,44,47,24,1861.88,,41,43,21,1861.88,
15:01:58,48,41,,,44,48,28,1994.88,,41,43,52,1994.88,
15:01:59,44,41,,,44,48,25,2393.85,,41,43,47,2260.86,
15:02:01,44,41,,,44,48,19,1861.88,,41,43,19,1728.89,
15:02:02,44,41,,,44,48,18,1728.89,,41,43,15,1728.89,
15:02:03,44,41,,,44,48,25,1728.89,,41,43,26,1728.89,
15:02:04,44,41,,,44,48,18,1728.89,,41,43,29,1728.89,
15:02:05,44,41,,,44,48,26,2127.87,,41,43,35,2260.86,
15:02:06,46,41,,,44,48,44,1861.88,,41,43,31,1861.88,
15:02:07,49,41,,,44,49,41,2127.87,,41,43,34,2260.86,
15:02:08,44,41,,,44,49,25,2260.86,,41,43,29,2260.86,
15:02:09,44,41,,,44,49,18,1994.88,,41,43,11,1728.89,
15:02:10,44,41,,,44,49,11,1595.90,,41,43,9,1595.90,
15:02:11,44,41,,,44,49,15,1595.90,,41,43,8,1595.90,
15:02:12,44,41,,,44,49,13,1728.89,,41,43,19,1728.89,
15:02:13,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:15,44,41,,,44,49,13,1595.90,,41,43,11,1595.90,
15:02:16,44,41,,,44,49,12,1595.90,,41,43,9,1595.90,
15:02:17,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:18,44,41,,,44,49,12,1595.90,,41,43,6,1595.90,
15:02:19,44,41,,,44,49,8,1595.90,,41,43,6,1595.90,
15:02:20,44,41,,,44,49,8,1595.90,,41,43,6,1595.90,
15:02:21,44,41,,,44,49,9,1595.90,,41,43,6,1595.90,
15:02:22,44,41,,,44,49,6,1595.90,,41,43,8,1595.90,
15:02:23,44,41,,,44,49,8,1595.90,,41,43,6,1595.90,
15:02:24,44,41,,,44,49,6,1595.90,,41,43,9,1595.90,
15:02:25,44,41,,,44,49,8,1595.90,,41,43,8,1595.90,
15:02:26,44,41,,,44,49,8,1595.90,,41,43,6,1595.90,
15:02:28,44,41,,,44,49,9,1595.90,,41,43,8,1595.90,
15:02:29,44,41,,,44,49,8,1595.90,,41,43,8,1595.90,
15:02:30,44,41,,,44,49,13,1595.90,,41,43,6,1595.90,
15:02:31,44,41,,,44,49,8,1595.90,,41,43,6,1595.90,
15:02:32,44,41,,,44,49,24,1728.89,,41,43,16,1728.89,
15:02:33,44,41,,,44,49,22,1728.89,,41,43,26,1728.89,
15:02:34,44,41,,,44,49,12,1728.89,,41,43,9,1595.90,
15:02:35,44,41,,,44,49,11,1595.90,,41,43,9,1595.90,
15:02:36,44,41,,,44,49,13,1595.90,,41,43,8,1595.90,
15:02:37,44,41,,,44,49,9,1595.90,,41,43,8,1595.90,
15:02:38,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:39,44,41,,,44,49,16,1595.90,,41,43,12,1595.90,
15:02:40,44,41,,,44,49,6,1728.89,,41,43,8,1595.90,
15:02:42,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:43,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:44,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:45,44,41,,,44,49,16,1595.90,,41,43,8,1595.90,
15:02:46,44,41,,,44,49,6,1595.90,,41,43,8,1595.90,
15:02:47,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:48,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:02:49,44,41,,,44,49,10,1595.90,,41,43,12,1595.90,
15:02:50,44,41,,,44,49,11,1595.90,,41,43,12,1595.90,
15:02:51,44,41,,,44,49,13,1595.90,,41,43,21,1595.90,
15:02:52,44,41,,,44,49,24,1728.89,,41,43,29,1994.88,
15:02:53,44,41,,,44,49,11,1861.88,,41,43,15,1595.90,
15:02:55,44,41,,,44,49,9,1595.90,,41,43,19,1595.90,
15:02:56,44,41,,,44,49,16,1595.90,,41,43,19,1595.90,
15:02:57,44,41,,,44,49,19,1728.89,,41,43,13,1728.89,
15:02:58,44,41,,,44,49,18,1595.90,,41,43,24,1595.90,
15:02:59,44,41,,,44,49,19,1728.89,,41,43,34,1728.89,
15:03:00,46,43,,,44,49,48,1861.88,,41,43,45,1994.88,
15:03:01,44,41,,,44,49,41,2260.86,,41,43,41,2393.85,
15:03:02,44,41,,,44,49,21,2127.87,,41,43,22,1861.88,
15:03:03,44,41,,,44,49,25,1861.88,,41,43,28,1994.88,
15:03:04,44,41,,,44,49,21,1861.88,,41,43,19,1728.89,
15:03:05,44,41,,,44,49,19,1728.89,,41,43,16,1728.89,
15:03:06,44,41,,,44,49,13,1728.89,,41,43,13,1595.90,
15:03:08,44,41,,,44,49,8,1595.90,,41,43,13,1595.90,
15:03:09,44,41,,,44,49,15,1595.90,,41,43,9,1595.90,
15:03:10,49,42,,,44,49,32,1595.90,,41,43,26,1595.90,
15:03:11,44,41,,,44,49,13,1994.88,,41,43,17,1861.88,
15:03:12,44,41,,,44,49,11,1595.90,,41,43,9,1595.90,
15:03:13,44,41,,,44,49,25,1595.90,,41,43,23,1595.90,
15:03:14,44,41,,,44,49,13,1728.89,,41,43,9,1728.89,
15:03:15,44,41,,,44,49,8,1595.90,,41,43,6,1595.90,
15:03:16,44,41,,,44,49,22,1595.90,,41,43,18,1595.90,
15:03:17,44,41,,,44,49,11,1728.89,,41,43,11,1728.89,
15:03:18,44,41,,,44,49,6,1595.90,,41,43,8,1595.90,
15:03:19,45,41,,,44,49,22,1595.90,,41,43,13,1595.90,
15:03:20,44,41,,,44,49,12,1728.89,,41,43,25,1728.89,
15:03:22,44,41,,,44,49,10,1728.89,,41,43,16,1728.89,
15:03:23,44,41,,,44,49,16,1595.90,,41,43,18,1595.90,
15:03:24,44,41,,,44,49,16,1595.90,,41,43,19,1595.90,
15:03:25,44,41,,,44,49,18,1595.90,,41,43,18,1595.90,
15:03:26,44,41,,,44,49,29,1595.90,,41,43,28,1595.90,
15:03:27,44,41,,,44,49,19,1728.89,,41,43,19,1728.89,
15:03:28,44,41,,,44,49,22,1728.89,,41,43,16,1595.90,
15:03:29,44,41,,,44,49,34,2260.86,,41,43,47,2127.87,
15:03:30,44,41,,,44,49,9,1595.90,,41,43,18,1861.88,
15:03:31,44,41,,,44,49,11,1595.90,,41,43,13,1595.90,
15:03:32,44,41,,,44,49,28,1595.90,,41,43,22,1595.90,
15:03:33,44,41,,,44,49,25,2526.84,,41,43,65,1728.89,
15:03:35,44,41,,,44,49,26,1595.90,,41,43,15,2260.86,
15:03:36,44,41,,,44,49,15,1728.89,,41,43,35,1595.90,
15:03:37,44,41,,,44,49,23,1595.90,,41,43,31,1728.89,
15:03:38,44,41,,,44,49,29,1994.88,,41,43,26,1728.89,
15:03:39,44,41,,,44,49,29,2659.83,,41,43,45,2393.85,
15:03:40,44,41,,,44,49,29,2526.84,,41,43,45,2792.83,
15:03:41,49,41,,,44,49,34,2393.85,,41,43,43,2260.86,
15:03:42,45,41,,,44,49,45,2260.86,,41,43,39,2792.83,
15:03:43,44,41,,,44,49,38,1994.88,,41,43,41,2260.86,
15:03:44,44,41,,,44,49,16,1595.90,,41,43,11,1595.90,
15:03:45,44,41,,,44,49,13,1595.90,,41,43,12,1595.90,
15:03:46,44,41,,,44,49,13,1595.90,,41,43,9,1595.90,
15:03:48,44,41,,,44,49,10,1595.90,,41,43,13,1595.90,
15:03:49,44,41,,,44,49,22,1595.90,,41,43,21,1595.90,
15:03:50,44,41,,,44,49,18,1595.90,,41,43,11,1595.90,
15:03:51,44,41,,,44,49,38,1595.90,,41,43,22,1595.90,
15:03:52,44,41,,,44,49,41,2260.86,,41,43,54,1728.89,
15:03:53,44,41,,,44,49,10,1595.90,,41,43,13,2127.87,
15:03:54,44,41,,,44,49,12,1728.89,,41,43,13,1595.90,
15:03:55,44,41,,,44,49,6,1595.90,,41,43,6,1595.90,
15:03:56,44,41,,,44,49,9,1595.90,,41,43,8,1595.90,
15:03:57,44,41,,,44,49,10,1595.90,,41,43,9,1595.90,
15:03:58,44,41,,,44,49,16,1595.90,,41,43,8,1595.90,
15:03:59,44,41,,,44,49,19,1595.90,,41,43,15,1595.90,
15:04:00,44,41,,,44,49,19,1595.90,,41,43,15,1595.90,
