Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54161	44.0	44.0	48.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54164	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54167	44.0	44.0	48.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54171	44.0	44.0	48.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54175	44.0	44.0	48.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54177	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54180	44.0	44.0	54.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54184	46.0	46.0	50.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54187	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54190	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54194	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54197	44.0	44.0	48.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54200	44.0	44.0	48.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54203	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54207	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54210	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54213	44.0	44.0	54.0	38.0	44.0	41.0	3.36	3.31	1.1	7.23	3.39	3.39
54216	44.0	44.0	49.0	38.0	44.0	41.0	3.36	3.31	1.1	7.23	3.39	3.39
54220	44.0	44.0	53.0	38.0	44.0	41.0	3.36	3.31	1.1	7.23	3.39	3.39
54223	44.0	44.0	50.5	38.0	44.0	41.0	3.36	3.31	1.1	7.23	3.39	3.39
54226	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54230	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54233	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54236	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54239	44.0	44.0	48.5	38.0	44.0	41.0	3.38	3.31	1.11	7.23	3.39	3.39
54242	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.11	7.23	3.39	3.39
54246	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.11	7.23	3.39	3.39
54249	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.11	7.23	3.39	3.39
54252	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54255	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54259	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54262	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54265	44.0	44.0	50.0	38.0	44.0	41.0	3.38	3.31	1.11	8.03	3.39	3.39
54268	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.11	8.03	3.39	3.39
54272	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.11	8.03	3.39	3.39
54275	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.11	8.03	3.39	3.39
54278	44.0	44.0	48.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54281	44.0	44.0	50.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54285	44.0	44.0	48.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54288	44.0	44.0	50.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54291	44.0	44.0	49.5	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54294	44.0	44.0	49.0	38.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54297	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54300	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54303	44.0	44.0	49.0	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54307	44.0	44.0	49.0	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54310	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54313	44.0	44.0	54.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54316	44.0	44.0	53.0	39.0	44.0	41.0	3.38	3.31	1.09	7.23	3.39	3.39
54319	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.09	7.23	3.39	3.39
54322	44.0	44.0	51.0	39.0	44.0	41.0	3.38	3.31	1.09	7.23	3.39	3.39
54325	46.0	46.0	55.5	39.0	48.0	43.0	3.38	3.31	1.09	7.23	3.39	3.39
54328	46.0	46.0	55.5	39.0	46.0	45.0	3.36	3.31	1.23	7.92	3.39	3.39
54332	49.0	49.0	56.0	39.0	49.0	44.0	3.36	3.31	1.23	7.92	3.39	3.39
54335	44.0	44.0	52.5	39.0	44.0	41.0	3.36	3.31	1.23	7.92	3.39	3.39
54338	44.0	44.0	50.0	39.0	44.0	41.0	3.36	3.31	1.23	7.92	3.39	3.39
54341	44.0	44.0	50.0	39.0	44.0	41.0	3.38	3.31	1.13	7.29	3.39	3.39
54344	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.13	7.29	3.39	3.39
54347	44.0	44.0	52.5	39.0	44.0	41.0	3.38	3.31	1.13	7.29	3.39	3.39
54350	44.0	44.0	50.5	39.0	44.0	41.0	3.38	3.31	1.13	7.29	3.39	3.39
54354	44.0	44.0	52.0	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54357	48.0	48.0	50.0	39.0	52.0	45.0	3.38	3.31	1.1	7.23	3.39	3.39
54360	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54363	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54366	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54369	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54372	44.0	44.0	49.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54375	44.0	44.0	50.5	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54379	44.0	44.0	50.0	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54382	45.0	45.0	52.0	39.0	46.0	42.0	3.38	3.31	1.1	7.23	3.39	3.39
54385	52.0	52.0	56.0	39.0	48.0	45.0	3.38	3.31	1.1	7.23	3.39	3.39
54388	44.0	44.0	54.0	39.0	44.0	41.0	3.38	3.31	1.1	7.23	3.39	3.39
54391	44.0	44.0	51.5	39.0	44.0	41.0	3.38	3.31	1.1	7.44	3.39	3.39
54394	44.0	44.0	50.0	39.0	44.0	41.0	3.38	3.31	1.1	7.44	3.39	3.39
54397	44.0	44.0	50.0	39.0	44.0	41.0	3.38	3.31	1.1	7.44	3.39	3.39
