Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
45455	43.0	43.0	39.0	43.0	36.0	3.34	1.2
45458	43.0	43.0	39.0	43.0	35.0	3.34	1.2
45461	43.0	43.0	39.0	43.0	35.0	3.34	1.2
45464	43.0	43.0	39.0	43.0	35.0	3.34	1.2
45467	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45470	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45473	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45477	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45480	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45483	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45486	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45489	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45492	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45495	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45498	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45501	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45504	43.0	43.0	39.0	43.0	35.0	3.34	1.1
45507	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45510	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45513	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45516	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45519	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45522	43.0	43.0	39.0	43.0	36.0	3.34	1.1
45525	43.0	43.0	39.0	43.0	34.0	3.34	1.1
45528	43.0	43.0	39.0	43.0	34.0	3.34	1.14
45532	43.0	43.0	39.0	43.0	35.0	3.34	1.14
45535	43.0	43.0	39.0	43.0	36.0	3.34	1.14
45538	43.0	43.0	39.0	43.0	34.0	3.34	1.14
45541	43.0	43.0	39.0	43.0	34.0	3.34	1.14
45544	43.0	43.0	39.0	43.0	34.0	3.34	1.14
45547	43.0	43.0	39.0	43.0	34.0	3.34	1.14
