Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
53767	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53770	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53773	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53776	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53779	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53782	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53785	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53788	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53791	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53794	43.0	43.0	46.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53797	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53800	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53803	43.0	43.0	50.0	38.0	44.0	40.0	3.34	3.22	1.15	7.44	3.36	3.36
53806	43.0	43.0	46.5	38.0	43.0	36.0	3.34	3.22	1.15	7.44	3.36	3.36
53809	43.0	43.0	47.0	38.0	43.0	36.0	3.34	3.22	1.15	7.44	3.36	3.36
53812	43.0	43.0	46.5	38.0	43.0	36.0	3.34	3.22	1.15	7.44	3.36	3.36
53815	43.0	43.0	46.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53818	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53822	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53825	43.0	43.0	46.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53828	43.0	43.0	46.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
53831	43.0	43.0	46.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
