Time,temperature
12:20:34,0.00
12:20:35,34.17
12:20:36,33.69
12:20:37,34.17
12:20:38,33.20
12:20:39,33.69
12:20:40,34.17
12:20:41,33.69
12:20:42,34.66
12:20:43,34.66
12:20:44,34.17
12:20:45,34.17
12:20:46,33.69
12:20:47,33.69
12:20:48,33.69
12:20:49,33.69
12:20:50,33.20
12:20:51,34.17
12:20:52,34.66
12:20:53,35.15
12:20:54,34.17
12:20:55,34.17
12:20:56,33.69
12:20:57,33.69
12:20:58,33.69
12:20:59,33.69
12:21:0,34.17
12:21:1,33.20
12:21:2,35.15
12:21:4,35.15
12:21:5,34.17
12:21:6,34.17
12:21:7,34.17
12:21:8,34.17
12:21:9,33.69
12:21:10,33.69
12:21:11,34.66
12:21:12,33.20
12:21:13,34.66
12:21:14,35.15
12:21:15,33.69
12:21:16,34.17
12:21:17,34.17
12:21:18,34.17
12:21:19,33.69
12:21:20,33.69
12:21:21,33.69
12:21:22,33.69
12:21:23,35.15
12:21:24,35.15
12:21:25,34.66
12:21:26,34.66
12:21:27,34.17
12:21:28,34.17
12:21:29,33.69
12:21:30,34.17
12:21:31,35.15
12:21:32,33.69
12:21:33,34.17
12:21:34,35.15
12:21:35,33.69
12:21:36,35.15
12:21:37,35.15
12:21:38,34.17
12:21:39,33.69
12:21:40,34.17
12:21:41,34.17
12:21:42,33.20
12:21:43,33.69
12:21:44,33.20
12:21:45,34.17
12:21:46,34.66
12:21:47,35.15
12:21:48,34.17
12:21:49,34.17
12:21:50,34.17
12:21:51,33.69
12:21:52,33.69
12:21:53,35.15
12:21:54,33.69
12:21:55,34.17
12:21:56,34.66
12:21:57,35.15
12:21:58,34.17
12:21:59,33.69
12:22:0,33.69
12:22:1,33.69
12:22:2,33.69
12:22:3,34.17
12:22:4,35.15
12:22:5,34.17
12:22:6,34.66
12:22:7,34.17
12:22:8,34.17
12:22:9,34.17
12:22:10,34.17
12:22:11,33.69
12:22:12,33.20
12:22:13,35.15
12:22:14,35.15
12:22:15,34.66
12:22:16,35.15
12:22:17,34.17
12:22:18,34.17
12:22:19,34.17
12:22:20,34.17
12:22:21,33.69
12:22:22,33.69
12:22:23,35.15
12:22:24,33.69
12:22:25,34.17
12:22:26,34.66
12:22:27,34.17
12:22:28,34.17
12:22:29,33.69
12:22:30,33.69
12:22:31,33.69
12:22:32,33.69
12:22:33,33.69
12:22:34,35.15
12:22:35,35.15
12:22:36,34.66
12:22:37,34.17
12:22:38,33.69
12:22:39,33.69
12:22:40,33.69
12:22:41,34.17
12:22:42,33.20
12:22:43,34.66
12:22:44,34.17
12:22:45,34.66
12:22:46,34.17
12:22:47,33.69
12:22:48,33.69
12:22:49,33.69
12:22:50,32.71
12:22:51,33.20
12:22:52,33.20
12:22:53,33.20
12:22:54,34.17
12:22:55,32.71
12:22:56,34.17
12:22:57,34.17
12:22:58,32.71
12:22:59,33.20
12:23:0,33.20
12:23:1,32.71
12:23:2,32.71
12:23:3,33.20
12:23:4,33.20
12:23:5,33.20
12:23:6,33.69
12:23:7,32.71
12:23:8,33.20
12:23:9,32.71
12:23:10,32.22
12:23:11,33.20
12:23:13,32.71
12:23:14,31.73
12:23:15,31.73
12:23:16,32.22
12:23:17,31.73
12:23:18,31.73
12:23:19,31.73
12:23:20,31.25
12:23:21,32.71
12:23:22,32.22
12:23:23,32.22
12:23:24,31.73
12:23:25,31.73
12:23:26,31.73
12:23:27,31.25
12:23:28,31.25
12:23:29,31.25
12:23:30,31.25
12:23:31,31.25
12:23:32,30.76
12:23:33,32.22
12:23:34,31.25
12:23:35,32.22
12:23:36,32.22
12:23:37,30.76
12:23:38,31.25
12:23:39,30.76
12:23:40,31.25
12:23:41,30.76
12:23:42,31.73
12:23:43,31.25
12:23:44,30.76
12:23:45,30.76
12:23:46,31.25
12:23:47,31.73
12:23:48,31.25
12:23:49,30.76
12:23:50,30.76
12:23:51,30.27
12:23:52,30.76
12:23:53,30.76
12:23:54,30.76
12:23:55,30.76
12:23:56,31.25
12:23:57,30.76
12:23:58,30.76
12:23:59,29.78
12:24:0,30.76
12:24:1,30.27
12:24:2,30.27
12:24:3,29.78
12:24:4,31.25
