CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,10:51:38 - June 21 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
10:51:39,44,41,,,44,44,4,1596.00,,41,42,1,1596.00,
10:51:40,44,41,,,44,44,1,1596.00,,41,42,5,1596.00,
10:51:41,44,41,,,44,44,2,1596.00,,41,42,5,1596.00,
10:51:42,44,41,,,44,44,4,1596.00,,41,42,13,1596.00,
10:51:43,44,41,,,44,44,22,1862.00,,41,42,8,1862.00,
10:51:44,44,41,,,44,44,1,1596.00,,41,42,1,1596.00,
10:51:45,44,41,,,44,44,4,1596.00,,41,42,2,1596.00,
10:51:46,44,41,,,44,44,7,1729.00,,41,42,11,1729.00,
10:51:47,44,41,,,44,44,13,1862.00,,41,42,13,1862.00,
10:51:48,44,41,,,44,44,10,1596.00,,41,42,21,1596.00,
10:51:49,44,42,,,44,44,25,2261.00,,41,42,44,2261.00,
10:51:50,44,41,,,44,44,10,1995.00,,41,42,20,1729.00,
10:51:51,47,42,,,44,47,22,1729.00,,41,42,24,1862.00,
10:51:52,44,41,,,44,47,27,1729.00,,41,42,14,1729.00,
10:51:53,44,41,,,44,47,16,1729.00,,41,42,21,1729.00,
10:51:54,44,41,,,44,47,25,1995.00,,41,42,24,1862.00,
10:51:55,44,41,,,44,47,18,1862.00,,41,42,15,1862.00,
10:51:56,44,41,,,44,47,8,1596.00,,41,42,2,1596.00,
10:51:57,44,41,,,44,47,8,1729.00,,41,42,7,1729.00,
10:51:58,44,41,,,44,47,8,1596.00,,41,42,4,1596.00,
10:51:59,44,41,,,44,47,10,1596.00,,41,42,4,1596.00,
10:52:00,44,41,,,44,47,4,1596.00,,41,42,5,1596.00,
10:52:01,44,41,,,44,47,8,1596.00,,41,42,4,1596.00,
10:52:02,44,41,,,44,47,7,1596.00,,41,42,4,1596.00,
10:52:03,44,41,,,44,47,5,1596.00,,41,42,2,1596.00,
10:52:04,44,41,,,44,47,13,1596.00,,41,42,5,1596.00,
10:52:05,44,41,,,44,47,5,1596.00,,41,42,1,1596.00,
10:52:06,44,41,,,44,47,7,1596.00,,41,42,4,1596.00,
10:52:07,44,41,,,44,47,2,1596.00,,41,42,1,1596.00,
10:52:08,44,41,,,44,47,1,1596.00,,41,42,7,1596.00,
10:52:09,44,41,,,44,47,21,1596.00,,41,42,8,1596.00,
10:52:10,44,41,,,44,47,5,1596.00,,41,42,7,1596.00,
10:52:11,44,41,,,44,47,2,1596.00,,41,42,2,1596.00,
10:52:12,44,41,,,44,47,2,1596.00,,41,42,2,1596.00,
10:52:13,44,41,,,44,47,2,1596.00,,41,42,1,1596.00,
10:52:14,44,41,,,44,47,1,1596.00,,41,42,2,1596.00,
10:52:15,44,41,,,44,47,2,1596.00,,41,42,4,1596.00,
10:52:16,44,41,,,44,47,2,1596.00,,41,42,5,1596.00,
10:52:18,44,41,,,44,47,1,1596.00,,41,42,2,1596.00,
10:52:19,44,41,,,44,47,1,1596.00,,41,42,1,1596.00,
