CPUID:,0x200F31
Processor:,Mobile AMD Turion X2 RM-74 (Griffin)
Platform:,Socket S1g2 (638 pin)
Revision:,LG-B1
Lithography:,65nm

Session start:,12:29:35 - July 16 - 2011

Time,CPU 0 Temp. (°),,CPU 0,Low temp. (°),High temp. (°),Core load (%),CPU speed (MHz),
12:29:36,64,,,64,80,8,549.99,
12:29:37,64,,,64,80,3,549.99,
12:29:38,64,,,64,80,2,549.99,
12:29:39,64,,,64,80,0,549.99,
12:29:40,64,,,64,80,0,549.99,
12:29:41,64,,,64,80,6,549.99,
12:29:42,64,,,64,80,6,549.99,
12:29:43,63,,,63,80,6,549.99,
12:29:44,63,,,63,80,0,549.99,
12:29:45,63,,,63,80,0,549.99,
12:29:46,63,,,63,80,3,549.99,
12:29:47,63,,,63,80,0,549.99,
12:29:48,63,,,63,80,0,549.99,
12:29:49,63,,,63,80,0,549.99,
12:29:50,63,,,63,80,0,549.99,
12:29:51,62,,,62,80,0,549.99,
12:29:52,62,,,62,80,0,549.99,
12:29:53,62,,,62,80,0,549.99,
12:29:54,62,,,62,80,2,549.99,
12:29:55,62,,,62,80,0,549.99,
12:29:56,62,,,62,80,2,549.99,
12:29:57,62,,,62,80,0,549.99,
12:29:58,62,,,62,80,0,549.99,
12:29:59,61,,,61,80,0,549.99,
12:30:00,61,,,61,80,0,549.99,
12:30:01,61,,,61,80,0,549.99,
12:30:02,61,,,61,80,0,549.99,
12:30:03,61,,,61,80,0,549.99,
12:30:04,61,,,61,80,0,549.99,
12:30:05,61,,,61,80,0,549.99,
12:30:06,60,,,60,80,32,549.99,
12:30:07,60,,,60,80,22,549.99,
12:30:08,60,,,60,80,0,549.99,
12:30:09,60,,,60,80,0,549.99,
12:30:10,60,,,60,80,0,549.99,
12:30:11,60,,,60,80,0,549.99,
12:30:12,60,,,60,80,0,549.99,
12:30:13,60,,,60,80,0,549.99,
12:30:14,59,,,59,80,0,549.99,
12:30:15,59,,,59,80,0,549.99,
12:30:16,59,,,59,80,0,549.99,
12:30:17,59,,,59,80,2,549.99,
12:30:18,59,,,59,80,37,549.99,
12:30:19,59,,,59,80,19,549.99,
12:30:20,59,,,59,80,51,549.99,
12:30:21,59,,,59,80,52,549.99,
12:30:22,58,,,58,80,17,549.99,
12:30:23,58,,,58,80,66,549.99,
12:30:24,59,,,58,80,82,1099.98,
12:30:25,65,,,58,80,62,549.99,
12:30:26,65,,,58,80,82,2199.96,
12:30:27,65,,,58,80,20,549.99,
12:30:29,64,,,58,80,50,549.99,
12:30:30,64,,,58,80,18,549.99,
12:30:31,64,,,58,80,26,549.99,
12:30:32,64,,,58,80,20,549.99,
12:30:33,64,,,58,80,9,549.99,
12:30:34,64,,,58,80,15,549.99,
12:30:35,64,,,58,80,15,549.99,
12:30:36,64,,,58,80,23,549.99,
12:30:37,63,,,58,80,15,549.99,
12:30:38,63,,,58,80,40,549.99,
12:30:39,63,,,58,80,18,549.99,
12:30:40,63,,,58,80,23,549.99,
12:30:41,63,,,58,80,49,549.99,
12:30:42,63,,,58,80,71,549.99,
12:30:43,63,,,58,80,80,549.99,
12:30:44,63,,,58,80,55,549.99,
12:30:45,62,,,58,80,0,549.99,
12:30:46,62,,,58,80,2,549.99,
12:30:47,62,,,58,80,0,549.99,
12:30:48,62,,,58,80,3,549.99,
12:30:49,62,,,58,80,18,549.99,
12:30:50,62,,,58,80,0,549.99,
12:30:51,62,,,58,80,8,549.99,
12:30:52,61,,,58,80,8,549.99,
12:30:53,61,,,58,80,0,549.99,
12:30:54,61,,,58,80,2,549.99,
12:30:55,61,,,58,80,6,549.99,
12:30:56,61,,,58,80,6,549.99,
12:30:57,61,,,58,80,2,549.99,
12:30:58,61,,,58,80,28,549.99,
12:30:59,61,,,58,80,8,549.99,
12:31:00,60,,,58,80,17,549.99,
12:31:01,60,,,58,80,70,549.99,
12:31:02,60,,,58,80,80,549.99,
12:31:03,60,,,58,80,45,549.99,
12:31:04,60,,,58,80,23,549.99,
12:31:05,60,,,58,80,49,549.99,
12:31:06,60,,,58,80,42,549.99,
12:31:07,60,,,58,80,20,549.99,
12:31:08,59,,,58,80,37,549.99,
12:31:09,59,,,58,80,72,549.99,
12:31:10,59,,,58,80,28,549.99,
12:31:11,59,,,58,80,3,549.99,
12:31:12,59,,,58,80,11,549.99,
12:31:13,59,,,58,80,25,549.99,
12:31:14,59,,,58,80,12,549.99,
12:31:15,59,,,58,80,68,1099.98,
12:31:16,58,,,58,80,46,549.99,
12:31:17,59,,,58,80,51,1099.98,
12:31:18,63,,,58,80,66,549.99,
12:31:19,63,,,58,80,25,549.99,
12:31:20,63,,,58,80,6,549.99,
12:31:21,63,,,58,80,9,549.99,
12:31:22,63,,,58,80,9,549.99,
12:31:23,62,,,58,80,3,549.99,
12:31:24,62,,,58,80,9,549.99,
12:31:25,62,,,58,80,11,549.99,
12:31:26,62,,,58,80,9,549.99,
12:31:27,62,,,58,80,11,549.99,
12:31:28,62,,,58,80,12,549.99,
12:31:29,62,,,58,80,8,549.99,
12:31:30,62,,,58,80,3,549.99,
12:31:31,61,,,58,80,6,549.99,
12:31:32,61,,,58,80,6,549.99,
12:31:33,61,,,58,80,6,549.99,
12:31:34,61,,,58,80,5,549.99,
12:31:35,61,,,58,80,40,549.99,
12:31:36,61,,,58,80,45,549.99,
12:31:37,61,,,58,80,8,549.99,
12:31:38,61,,,58,80,38,549.99,
12:31:39,60,,,58,80,3,549.99,
12:31:41,60,,,58,80,3,549.99,
12:31:42,60,,,58,80,11,549.99,
12:31:43,60,,,58,80,3,549.99,
12:31:44,60,,,58,80,3,549.99,
12:31:45,60,,,58,80,5,549.99,
12:31:46,60,,,58,80,2,549.99,
12:31:47,60,,,58,80,2,549.99,
12:31:48,59,,,58,80,9,549.99,
12:31:49,59,,,58,80,8,549.99,
12:31:50,59,,,58,80,5,549.99,
12:31:51,59,,,58,80,3,549.99,
12:31:52,59,,,58,80,0,549.99,
12:31:53,59,,,58,80,2,549.99,
12:31:54,59,,,58,80,2,549.99,
12:31:55,59,,,58,80,5,549.99,
12:31:56,58,,,58,80,5,549.99,
12:31:57,58,,,58,80,5,549.99,
12:31:58,58,,,58,80,3,549.99,
12:32:00,58,,,58,80,66,549.99,
12:32:01,58,,,58,80,6,549.99,
12:32:02,58,,,58,80,48,549.99,
12:32:03,58,,,58,80,5,549.99,
12:32:04,58,,,58,80,3,549.99,
12:32:05,57,,,57,80,8,549.99,
12:32:06,57,,,57,80,15,549.99,
12:32:07,57,,,57,80,5,549.99,
12:32:08,57,,,57,80,2,549.99,
12:32:09,57,,,57,80,5,549.99,
12:32:10,57,,,57,80,5,549.99,
12:32:11,57,,,57,80,5,549.99,
12:32:12,57,,,57,80,5,549.99,
12:32:13,56,,,56,80,5,549.99,
12:32:14,56,,,56,80,3,549.99,
12:32:15,56,,,56,80,3,549.99,
12:32:16,56,,,56,80,21,549.99,
12:32:17,56,,,56,80,5,549.99,
12:32:19,56,,,56,80,6,549.99,
12:32:20,56,,,56,80,9,549.99,
12:32:21,56,,,56,80,28,1099.98,
12:32:22,57,,,56,80,52,549.99,
12:32:23,57,,,56,80,25,549.99,
12:32:24,57,,,56,80,8,549.99,
12:32:25,56,,,56,80,9,549.99,
12:32:26,56,,,56,80,42,549.99,
12:32:27,56,,,56,80,54,549.99,
12:32:28,56,,,56,80,28,549.99,
12:32:29,56,,,56,80,2,549.99,
12:32:30,56,,,56,80,14,549.99,
12:32:31,56,,,56,80,9,549.99,
12:32:32,56,,,56,80,5,549.99,
12:32:33,55,,,55,80,11,549.99,
12:32:34,55,,,55,80,29,549.99,
12:32:35,56,,,55,80,42,549.99,
12:32:36,55,,,55,80,32,549.99,
12:32:37,55,,,55,80,12,549.99,
12:32:38,55,,,55,80,25,549.99,
12:32:39,55,,,55,80,6,549.99,
12:32:40,55,,,55,80,9,549.99,
12:32:41,55,,,55,80,31,549.99,
12:32:42,56,,,55,80,43,549.99,
12:32:43,56,,,55,80,18,549.99,
12:32:44,56,,,55,80,20,549.99,
12:32:45,56,,,55,80,45,549.99,
12:32:46,56,,,55,80,45,549.99,
12:32:47,56,,,55,80,15,549.99,
12:32:48,56,,,55,80,0,549.99,
12:32:49,56,,,55,80,6,549.99,
12:32:50,56,,,55,80,2,549.99,
12:32:51,55,,,55,80,2,549.99,
12:32:52,55,,,55,80,6,549.99,
12:32:53,55,,,55,80,3,549.99,
12:32:54,55,,,55,80,6,549.99,
12:32:55,55,,,55,80,6,549.99,
12:32:56,55,,,55,80,5,549.99,
12:32:57,55,,,55,80,0,549.99,
12:32:58,56,,,55,80,32,549.99,
12:32:59,56,,,55,80,28,549.99,
12:33:00,56,,,55,80,9,549.99,
12:33:01,56,,,55,80,46,549.99,
12:33:02,56,,,55,80,12,549.99,
12:33:03,56,,,55,80,8,549.99,
12:33:04,56,,,55,80,18,549.99,
12:33:05,56,,,55,80,14,549.99,
12:33:06,55,,,55,80,22,549.99,
12:33:07,55,,,55,80,14,549.99,
12:33:08,55,,,55,80,14,549.99,
12:33:09,56,,,55,80,43,549.99,
12:33:10,57,,,55,80,28,549.99,
12:33:11,57,,,55,80,32,549.99,
12:33:12,57,,,55,80,26,549.99,
12:33:13,57,,,55,80,38,549.99,
12:33:14,57,,,55,80,26,549.99,
12:33:15,56,,,55,80,31,549.99,
12:33:16,56,,,55,80,32,549.99,
12:33:17,56,,,55,80,40,549.99,
12:33:18,57,,,55,80,46,549.99,
12:33:19,56,,,55,80,23,549.99,
12:33:20,56,,,55,80,17,549.99,
12:33:21,56,,,55,80,26,549.99,
12:33:22,56,,,55,80,12,549.99,
12:33:23,56,,,55,80,18,549.99,
12:33:24,56,,,55,80,6,549.99,
12:33:25,56,,,55,80,12,549.99,
12:33:26,58,,,55,80,25,549.99,
12:33:27,57,,,55,80,11,549.99,
12:33:28,57,,,55,80,12,549.99,
12:33:29,57,,,55,80,26,549.99,
12:33:30,57,,,55,80,18,549.99,
12:33:32,57,,,55,80,11,549.99,
12:33:33,57,,,55,80,9,549.99,
12:33:34,57,,,55,80,17,549.99,
12:33:35,57,,,55,80,3,549.99,
12:33:36,56,,,55,80,17,549.99,
12:33:37,56,,,55,80,12,549.99,
12:33:38,56,,,55,80,22,549.99,
12:33:39,56,,,55,80,12,549.99,
12:33:40,56,,,55,80,12,549.99,
12:33:41,56,,,55,80,22,549.99,
12:33:42,56,,,55,80,17,549.99,
12:33:43,56,,,55,80,11,549.99,
12:33:44,56,,,55,80,14,549.99,
12:33:45,56,,,55,80,23,549.99,
12:33:46,56,,,55,80,14,549.99,
12:33:47,56,,,55,80,12,549.99,
12:33:48,56,,,55,80,9,549.99,
12:33:49,56,,,55,80,14,549.99,
12:33:50,56,,,55,80,12,549.99,
12:33:51,56,,,55,80,9,549.99,
12:33:52,56,,,55,80,9,549.99,
12:33:53,56,,,55,80,51,549.99,
12:33:54,56,,,55,80,17,549.99,
12:33:55,56,,,55,80,23,549.99,
12:33:56,56,,,55,80,14,549.99,
12:33:57,56,,,55,80,28,549.99,
12:33:58,56,,,55,80,12,549.99,
12:33:59,57,,,55,80,25,549.99,
