CPUID:,0x20652
Processor:,Mobile Intel Core i5 520M (Arrandale)
Platform:,LGA 1156 (Socket H)
Revision:,C2
Lithography:,32nm

Session start:,12:52:40 - July 16 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:52:41,49,44,,,43,60,1,1462.92,,39,61,2,1462.92,
12:52:42,48,47,,,43,60,4,1529.42,,39,61,5,1462.92,
12:52:45,48,46,,,43,60,2,1529.42,,39,61,1,1462.92,
12:52:46,49,45,,,43,60,6,1529.42,,39,61,3,1595.91,
12:52:47,50,47,,,43,60,4,1462.92,,39,61,7,1396.42,
12:52:50,49,46,,,43,60,2,1462.92,,39,61,0,1462.92,
12:52:51,50,45,,,43,60,9,1462.92,,39,61,4,1529.42,
12:52:52,48,48,,,43,60,4,1529.42,,39,61,5,1462.92,
12:52:53,50,46,,,43,60,3,1529.42,,39,61,5,1529.42,
12:52:54,50,46,,,43,60,10,1529.42,,39,61,8,1529.42,
12:52:55,49,46,,,43,60,4,1396.42,,39,61,1,1396.42,
12:52:56,48,48,,,43,60,2,1396.42,,39,61,2,1396.42,
12:52:57,51,51,,,43,60,9,1529.42,,39,61,7,1529.42,
12:52:58,54,55,,,43,60,13,2127.88,,39,61,8,2127.88,
12:52:59,50,50,,,43,60,31,2127.88,,39,61,29,2127.88,
12:53:01,50,50,,,43,60,4,1529.42,,39,61,6,1595.91,
12:53:02,49,48,,,43,60,4,1462.92,,39,61,5,1529.42,
12:53:03,51,47,,,43,60,10,1662.41,,39,61,7,1595.91,
12:53:06,51,48,,,43,60,1,1595.91,,39,61,2,1662.41,
12:53:07,50,48,,,43,60,7,1529.42,,39,61,8,1529.42,
12:53:08,51,45,,,43,60,3,1529.42,,39,61,1,1462.92,
12:53:09,50,47,,,43,60,3,1529.42,,39,61,4,1529.42,
12:53:10,51,47,,,43,60,8,1396.42,,39,61,3,1462.92,
12:53:11,51,46,,,43,60,0,1396.42,,39,61,2,1462.92,
12:53:12,51,46,,,43,60,3,1462.92,,39,61,4,1462.92,
12:53:13,50,46,,,43,60,1,1462.92,,39,61,0,1462.92,
12:53:14,49,48,,,43,60,2,1529.42,,39,61,1,1529.42,
12:53:15,48,44,,,43,60,6,1396.42,,39,61,6,1462.92,
12:53:16,48,47,,,43,60,1,1396.42,,39,61,1,1462.92,
12:53:17,49,44,,,43,60,1,1462.92,,39,61,2,1462.92,
12:53:18,48,48,,,43,60,1,1462.92,,39,61,4,1462.92,
12:53:19,50,46,,,43,60,1,1529.42,,39,61,0,1529.42,
12:53:20,49,46,,,43,60,5,1462.92,,39,61,4,1462.92,
12:53:21,51,46,,,43,60,4,1462.92,,39,61,4,1462.92,
12:53:22,49,45,,,43,60,5,1396.42,,39,61,0,1462.92,
12:53:23,50,47,,,43,60,3,1529.42,,39,61,0,1529.42,
12:53:24,49,46,,,43,60,1,1595.91,,39,61,4,1595.91,
12:53:25,50,48,,,43,60,6,1396.42,,39,61,4,1396.42,
12:53:26,48,46,,,43,60,3,1396.42,,39,61,1,1396.42,
12:53:27,50,47,,,43,60,4,1329.93,,39,61,7,1396.42,
12:53:28,49,47,,,43,60,1,1462.92,,39,61,4,1462.92,
12:53:29,50,45,,,43,60,2,1529.42,,39,61,2,1529.42,
12:53:30,49,46,,,43,60,8,1529.42,,39,61,6,1462.92,
12:53:31,49,46,,,43,60,1,1529.42,,39,61,0,1462.92,
12:53:32,49,45,,,43,60,2,1396.42,,39,61,1,1396.42,
12:53:33,48,45,,,43,60,5,1462.92,,39,61,3,1529.42,
12:53:34,56,53,,,43,60,4,1529.42,,39,61,4,1595.91,
12:53:35,48,44,,,43,60,3,1462.92,,39,61,0,1529.42,
12:53:36,49,46,,,43,60,4,1462.92,,39,61,2,1462.92,
12:53:37,50,47,,,43,60,2,1462.92,,39,61,2,1462.92,
12:53:38,50,47,,,43,60,1,1462.92,,39,61,1,1529.42,
12:53:39,52,51,,,43,60,5,1595.91,,39,61,8,1595.91,
12:53:40,49,45,,,43,60,1,1462.92,,39,61,0,1462.92,
