CPUID:,0x20652
Processor:,Mobile Intel Core i5 520M (Arrandale)
Platform:,LGA 1156 (Socket H)
Revision:,C2
Lithography:,32nm

Session start:,15:02:59 - July 15 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
15:03:00,53,49,,,51,59,7,1396.32,,48,59,7,1396.32,
15:03:01,53,50,,,51,59,9,1462.81,,48,59,5,1462.81,
15:03:02,53,48,,,51,59,5,1462.81,,48,59,6,1462.81,
15:03:03,53,52,,,51,59,15,1662.29,,48,59,13,1662.29,
15:03:04,52,49,,,51,59,5,1396.32,,48,59,4,1396.32,
15:03:10,55,51,,,51,61,6,1462.81,,48,59,7,1462.81,
15:03:11,53,50,,,51,61,14,1529.30,,48,59,7,1529.30,
15:03:12,52,52,,,51,61,7,1462.81,,48,59,4,1462.81,
15:03:13,54,51,,,51,61,12,1529.30,,48,59,15,1529.30,
15:03:14,59,56,,,51,61,12,1529.30,,48,59,12,1529.30,
15:03:15,53,49,,,51,61,3,1462.81,,48,59,3,1462.81,
15:03:16,56,56,,,51,61,14,1662.29,,48,59,8,1662.29,
15:03:17,51,50,,,51,61,0,1462.81,,48,59,4,1396.32,
15:03:18,53,51,,,51,61,13,1529.30,,48,59,11,1595.79,
15:03:19,51,53,,,51,61,13,1462.81,,48,59,10,1462.81,
15:03:20,53,50,,,51,61,3,1396.32,,48,59,5,1396.32,
15:03:21,53,51,,,51,61,2,1396.32,,48,59,1,1396.32,
15:03:23,52,50,,,51,61,1,1396.32,,48,59,4,1396.32,
15:03:24,52,49,,,51,61,7,1462.81,,48,59,5,1529.30,
15:03:25,52,50,,,51,61,3,1396.32,,48,59,4,1396.32,
15:03:26,51,51,,,51,61,2,1462.81,,48,59,4,1462.81,
15:03:27,51,49,,,51,61,1,1396.32,,48,59,3,1396.32,
15:03:28,52,49,,,51,61,2,1396.32,,48,59,3,1396.32,
15:03:29,53,51,,,51,61,4,1462.81,,48,59,13,1462.81,
15:03:30,51,48,,,51,61,4,1329.83,,48,59,2,1396.32,
15:03:31,52,48,,,51,61,3,1396.32,,48,59,4,1396.32,
15:03:32,51,51,,,51,61,1,1396.32,,48,59,4,1462.81,
15:03:33,52,49,,,51,61,3,1396.32,,48,59,3,1396.32,
15:03:34,51,49,,,51,61,7,1462.81,,48,59,8,1462.81,
15:03:35,52,48,,,51,61,2,1396.32,,48,59,2,1396.32,
15:03:36,51,50,,,51,61,1,1396.32,,48,59,2,1396.32,
15:03:37,51,48,,,51,61,1,1396.32,,48,59,2,1396.32,
15:03:38,51,50,,,51,61,3,1462.81,,48,59,2,1462.81,
15:03:39,52,49,,,51,61,4,1529.30,,48,59,4,1529.30,
15:03:40,53,49,,,51,61,4,1396.32,,48,59,7,1396.32,
15:03:41,52,50,,,51,61,1,1462.81,,48,59,5,1462.81,
15:03:42,52,50,,,51,61,2,1396.32,,48,59,5,1396.32,
15:03:43,52,49,,,51,61,5,1462.81,,48,59,11,1462.81,
15:03:44,52,51,,,51,61,7,1595.79,,48,59,8,1595.79,
15:03:45,52,49,,,51,61,7,1462.81,,48,59,8,1462.81,
15:03:46,52,51,,,51,61,6,1396.32,,48,59,6,1396.32,
15:03:47,53,51,,,51,61,10,1529.30,,48,59,8,1595.79,
15:03:48,50,50,,,50,61,6,1595.79,,48,59,6,1529.30,
15:03:49,51,51,,,50,61,9,1396.32,,48,59,8,1329.83,
15:03:50,52,49,,,50,61,8,1396.32,,48,59,9,1396.32,
15:03:51,52,50,,,50,61,7,1462.81,,48,59,7,1462.81,
15:03:52,54,53,,,50,61,9,1529.30,,48,59,11,1595.79,
15:03:53,52,51,,,50,61,7,1595.79,,48,59,5,1595.79,
15:03:54,51,49,,,50,61,11,1396.32,,48,59,11,1396.32,
15:03:55,51,50,,,50,61,8,1396.32,,48,59,5,1396.32,
15:03:56,52,50,,,50,61,4,1462.81,,48,59,7,1462.81,
15:03:57,51,49,,,50,61,3,1529.30,,48,59,5,1529.30,
15:03:58,50,52,,,50,61,3,1529.30,,48,59,7,1462.81,
15:03:59,51,49,,,50,61,6,1396.32,,48,59,4,1396.32,
15:04:00,53,51,,,50,61,4,1329.83,,48,59,10,1396.32,
15:04:01,50,50,,,50,61,1,1462.81,,48,59,1,1396.32,
15:04:02,50,49,,,50,61,1,1396.32,,48,59,2,1396.32,
15:04:03,51,50,,,50,61,1,1795.27,,48,59,2,1529.30,
15:04:04,52,48,,,50,61,7,1396.32,,48,59,3,1396.32,
15:04:05,51,48,,,50,61,2,1462.81,,48,59,3,1462.81,
15:04:06,50,50,,,50,61,3,1396.32,,48,59,5,1396.32,
15:04:07,51,48,,,50,61,2,1462.81,,48,59,1,1462.81,
15:04:08,54,54,,,50,61,5,1462.81,,48,59,4,1462.81,
15:04:09,51,48,,,50,61,2,1396.32,,48,59,3,1396.32,
15:04:10,52,47,,,50,61,4,1396.32,,47,59,7,1462.81,
15:04:11,50,47,,,50,61,8,1462.81,,47,59,6,1462.81,
15:04:12,51,50,,,50,61,6,1396.32,,47,59,4,1396.32,
15:04:13,54,52,,,50,61,12,1529.30,,47,59,8,1529.30,
15:04:14,53,49,,,50,61,5,1396.32,,47,59,5,1462.81,
15:04:15,51,50,,,50,61,5,1462.81,,47,59,4,1462.81,
15:04:16,52,48,,,50,61,5,1529.30,,47,59,7,1529.30,
15:04:17,51,49,,,50,61,10,1462.81,,47,59,8,1396.32,
15:04:18,52,52,,,50,61,3,1462.81,,47,59,6,1462.81,
15:04:19,51,49,,,50,61,3,1396.32,,47,59,3,1396.32,
15:04:20,51,49,,,50,61,2,1396.32,,47,59,8,1396.32,
15:04:21,52,49,,,50,61,2,1396.32,,47,59,4,1396.32,
15:04:22,51,48,,,50,61,2,1396.32,,47,59,3,1396.32,
15:04:23,51,50,,,50,61,8,1462.81,,47,59,6,1529.30,
15:04:24,50,49,,,50,61,4,1396.32,,47,59,7,1396.32,
15:04:25,52,50,,,50,61,4,1462.81,,47,59,3,1462.81,
15:04:26,53,50,,,50,61,2,1396.32,,47,59,4,1396.32,
15:04:27,50,47,,,50,61,0,1396.32,,47,59,4,1396.32,
15:04:28,52,49,,,50,61,4,1462.81,,47,59,8,1462.81,
15:04:29,52,50,,,50,61,5,1396.32,,47,59,6,1396.32,
15:04:30,52,49,,,50,61,7,1462.81,,47,59,5,1462.81,
15:04:31,52,49,,,50,61,5,1462.81,,47,59,4,1462.81,
15:04:32,50,49,,,50,61,0,1396.32,,47,59,2,1396.32,
15:04:33,52,50,,,50,61,6,1462.81,,47,59,7,1462.81,
15:04:35,51,49,,,50,61,3,1396.32,,47,59,3,1396.32,
15:04:36,51,50,,,50,61,5,1396.32,,47,59,2,1396.32,
15:04:37,52,48,,,50,61,0,1396.32,,47,59,1,1396.32,
15:04:38,51,50,,,50,61,5,1396.32,,47,59,4,1396.32,
15:04:39,52,50,,,50,61,7,1462.81,,47,59,6,1529.30,
15:04:40,51,50,,,50,61,5,1396.32,,47,59,6,1396.32,
15:04:41,50,48,,,50,61,2,1396.32,,47,59,4,1396.32,
15:04:42,50,49,,,50,61,1,1396.32,,47,59,6,1396.32,
15:04:43,51,49,,,50,61,4,1462.81,,47,59,3,1396.32,
15:04:44,50,51,,,50,61,7,1462.81,,47,59,8,1529.30,
15:04:45,50,47,,,50,61,2,1396.32,,47,59,4,1396.32,
15:04:46,51,48,,,50,61,2,1462.81,,47,59,4,1462.81,
15:04:47,51,48,,,50,61,2,1462.81,,47,59,2,1396.32,
15:04:48,51,49,,,50,61,3,1396.32,,47,59,6,1529.30,
15:04:49,50,50,,,50,61,4,1462.81,,47,59,5,1396.32,
15:04:50,52,50,,,50,61,5,1396.32,,47,59,11,1396.32,
15:04:51,51,49,,,50,61,6,1396.32,,47,59,3,1396.32,
15:04:52,51,48,,,50,61,1,1396.32,,47,59,1,1462.81,
15:04:53,52,49,,,50,61,4,1462.81,,47,59,3,1462.81,
15:04:54,52,49,,,50,61,6,1462.81,,47,59,6,1396.32,
15:04:55,51,48,,,50,61,3,1396.32,,47,59,3,1396.32,
15:04:56,51,49,,,50,61,2,1396.32,,47,59,1,1396.32,
15:04:57,52,48,,,50,61,1,1396.32,,47,59,2,1396.32,
15:04:58,50,50,,,50,61,1,1462.81,,47,59,2,1529.30,
15:04:59,51,49,,,50,61,5,1529.30,,47,59,5,1396.32,
15:05:00,51,49,,,50,61,6,1396.32,,47,59,4,1329.83,
15:05:01,50,49,,,50,61,1,1396.32,,47,59,2,1396.32,
15:05:02,51,49,,,50,61,5,1396.32,,47,59,3,1396.32,
15:05:03,50,49,,,50,61,1,1462.81,,47,59,3,1462.81,
15:05:04,51,51,,,50,61,6,1529.30,,47,59,5,1396.32,
15:05:05,53,48,,,50,61,2,1396.32,,47,59,4,1396.32,
15:05:06,52,49,,,50,61,1,1396.32,,47,59,6,1396.32,
15:05:07,52,48,,,50,61,5,1329.83,,47,59,4,1396.32,
15:05:08,51,48,,,50,61,2,1462.81,,47,59,5,1595.79,
15:05:09,52,50,,,50,61,12,1595.79,,47,59,10,1462.81,
15:05:10,51,48,,,50,61,2,1329.83,,47,59,7,1329.83,
15:05:11,51,47,,,50,61,2,1396.32,,47,59,4,1396.32,
15:05:12,51,48,,,50,61,2,1396.32,,47,59,4,1396.32,
15:05:13,50,47,,,50,61,3,1462.81,,47,59,1,1462.81,
15:05:14,51,48,,,50,61,6,1396.32,,47,59,10,1396.32,
15:05:15,52,48,,,50,61,5,1396.32,,47,59,5,1462.81,
15:05:16,51,48,,,50,61,8,1396.32,,47,59,2,1396.32,
15:05:17,51,48,,,50,61,4,1396.32,,47,59,9,1396.32,
15:05:18,51,49,,,50,61,1,1529.30,,47,59,6,1462.81,
15:05:19,48,48,,,48,61,6,1396.32,,47,59,4,1396.32,
15:05:20,50,49,,,48,61,5,1396.32,,47,59,7,1396.32,
15:05:21,51,48,,,48,61,4,1396.32,,47,59,3,1462.81,
15:05:22,52,49,,,48,61,3,1529.30,,47,59,7,1462.81,
15:05:23,51,48,,,48,61,7,1529.30,,47,59,4,1462.81,
15:05:24,52,49,,,48,61,10,1396.32,,47,59,12,1462.81,
15:05:25,51,48,,,48,61,5,1396.32,,47,59,5,1396.32,
15:05:26,52,48,,,48,61,4,1462.81,,47,59,5,1396.32,
15:05:27,51,49,,,48,61,2,1462.81,,47,59,7,1462.81,
15:05:28,52,50,,,48,61,5,1462.81,,47,59,6,1462.81,
15:05:29,52,49,,,48,61,4,1396.32,,47,59,6,1396.32,
