CPUID:,0x1067A
Processor:,Intel Core 2 Duo E7500 (Wolfdale-3M)
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,19:47:55 - July 16 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
19:47:56,44,41,,,44,44,0,1994.99,,41,43,0,2127.99,
19:47:57,44,41,,,44,44,0,2127.99,,41,43,0,1994.99,
19:47:58,44,41,,,44,44,0,2127.99,,41,43,0,1994.99,
19:47:59,44,41,,,44,44,6,2393.99,,41,43,2,2127.99,
19:48:00,44,41,,,44,44,10,2393.99,,41,43,3,2127.99,
19:48:01,44,41,,,44,44,5,2393.99,,41,43,2,1861.99,
19:48:02,44,41,,,44,44,9,2127.99,,41,43,5,1994.99,
19:48:03,44,41,,,44,44,17,2526.99,,41,43,12,2526.99,
19:48:04,44,41,,,44,44,3,2393.99,,41,43,3,2260.99,
19:48:05,44,41,,,44,44,8,2127.99,,41,43,3,1861.99,
19:48:06,44,41,,,44,44,0,2127.99,,41,43,2,1994.99,
19:48:07,44,41,,,44,44,8,2393.99,,41,43,3,1861.99,
19:48:08,44,41,,,44,44,6,2260.99,,41,43,3,1994.99,
19:48:09,44,41,,,44,44,0,2393.99,,41,43,3,2260.99,
19:48:10,44,41,,,44,44,0,1994.99,,41,43,0,1728.99,
19:48:11,44,41,,,44,44,0,1994.99,,41,43,0,1861.99,
19:48:12,44,41,,,44,44,0,1994.99,,41,43,0,1728.99,
19:48:13,44,41,,,44,44,0,1994.99,,41,43,0,1861.99,
19:48:14,44,41,,,44,44,0,1728.99,,41,43,2,1728.99,
19:48:15,44,41,,,44,44,3,1861.99,,41,43,5,1728.99,
19:48:16,44,41,,,44,44,5,1728.99,,41,43,0,1728.99,
19:48:17,44,41,,,44,44,2,1728.99,,41,43,0,1728.99,
19:48:18,44,41,,,44,44,23,1861.99,,41,43,17,1861.99,
19:48:19,44,41,,,44,44,17,2260.99,,41,43,22,2393.99,
19:48:20,44,41,,,44,44,9,2127.99,,41,43,29,2260.99,
19:48:21,44,41,,,44,44,18,2260.99,,41,43,20,2260.99,
19:48:22,44,41,,,44,44,14,2260.99,,41,43,26,2260.99,
19:48:23,44,41,,,44,44,17,2260.99,,41,43,23,2260.99,
19:48:24,44,41,,,44,44,12,2260.99,,41,43,28,2260.99,
19:48:25,44,41,,,44,44,9,2260.99,,41,43,32,2260.99,
19:48:26,44,41,,,44,44,11,2393.99,,41,43,29,2127.99,
19:48:27,44,41,,,44,44,18,2127.99,,41,43,22,2260.99,
19:48:28,44,41,,,44,44,22,2260.99,,41,43,18,2260.99,
19:48:29,44,41,,,44,44,15,2260.99,,41,43,25,2260.99,
19:48:30,44,41,,,44,44,14,2260.99,,41,43,25,2260.99,
19:48:31,45,41,,,44,45,31,2260.99,,41,43,9,2127.99,
19:48:32,46,41,,,44,46,22,1994.99,,41,43,22,2127.99,
19:48:33,47,41,,,44,47,25,2127.99,,41,43,17,2260.99,
19:48:34,47,41,,,44,47,34,2127.99,,41,43,8,2127.99,
19:48:35,47,41,,,44,47,25,2127.99,,41,43,17,2260.99,
19:48:36,48,41,,,44,48,42,2526.99,,41,43,29,2526.99,
19:48:37,48,42,,,44,48,51,2659.99,,41,43,31,2659.99,
19:48:38,47,42,,,44,48,34,2659.99,,41,43,46,2792.99,
19:48:39,47,42,,,44,48,43,2659.99,,41,43,35,2659.99,
19:48:40,47,42,,,44,48,35,2526.99,,41,43,43,2659.99,
19:48:41,47,42,,,44,48,38,2659.99,,41,43,40,2659.99,
19:48:42,48,42,,,44,48,37,2659.99,,41,43,41,2526.99,
19:48:43,47,43,,,44,48,35,2659.99,,41,43,46,2792.99,
19:48:44,47,43,,,44,48,40,2659.99,,41,43,42,2659.99,
19:48:45,49,43,,,44,49,38,2526.99,,41,43,43,2659.99,
19:48:46,49,42,,,44,49,42,2792.99,,41,43,40,2526.99,
19:48:47,48,43,,,44,49,38,2659.99,,41,43,43,2659.99,
19:48:48,49,43,,,44,49,37,2659.99,,41,43,43,2659.99,
19:48:49,49,43,,,44,49,40,2526.99,,41,43,38,2792.99,
19:48:50,49,43,,,44,49,38,2659.99,,41,43,40,2792.99,
19:48:51,49,43,,,44,49,31,2659.99,,41,43,48,2393.99,
19:48:52,48,43,,,44,49,37,2659.99,,41,43,42,2659.99,
19:48:53,48,43,,,44,49,29,2659.99,,41,43,52,2659.99,
19:48:54,46,43,,,44,49,26,2526.99,,41,43,55,2659.99,
19:48:55,49,44,,,44,49,37,2659.99,,41,44,45,2526.99,
19:48:56,48,43,,,44,49,29,2659.99,,41,44,52,2659.99,
19:48:57,46,43,,,44,49,32,2659.99,,41,44,46,2792.99,
19:48:58,46,42,,,44,49,34,2659.99,,41,44,43,2792.99,
19:48:59,46,42,,,44,49,40,2659.99,,41,44,37,2526.99,
19:49:00,45,42,,,44,49,37,2659.99,,41,44,40,2792.99,
19:49:01,45,41,,,44,49,37,2659.99,,41,44,42,2659.99,
19:49:02,45,42,,,44,49,35,2659.99,,41,44,43,2659.99,
19:49:03,45,42,,,44,49,42,2792.99,,41,44,38,2659.99,
19:49:05,44,41,,,44,49,35,2792.99,,41,44,46,2659.99,
19:49:06,44,41,,,44,49,42,2526.99,,41,44,40,2792.99,
19:49:07,44,41,,,44,49,25,2659.99,,41,44,55,2792.99,
19:49:08,44,41,,,44,49,42,2659.99,,41,44,37,2526.99,
19:49:09,44,41,,,44,49,34,2659.99,,41,44,45,2526.99,
19:49:10,44,41,,,44,49,31,2659.99,,41,44,48,2659.99,
19:49:11,44,42,,,44,49,37,2659.99,,41,44,42,2659.99,
19:49:12,45,41,,,44,49,40,2659.99,,41,44,38,2659.99,
19:49:13,47,42,,,44,49,48,2526.99,,41,44,34,2526.99,
19:49:14,46,43,,,44,49,32,2526.99,,41,44,51,2526.99,
19:49:15,47,42,,,44,49,35,2659.99,,41,44,46,2659.99,
19:49:16,50,44,,,44,50,69,2792.99,,41,44,37,2792.99,
19:49:17,47,42,,,44,50,58,2792.99,,41,44,31,2792.99,
19:49:18,49,42,,,44,50,62,2659.99,,41,44,23,2792.99,
19:49:19,49,42,,,44,50,49,2792.99,,41,44,31,2659.99,
19:49:20,50,43,,,44,50,66,2659.99,,41,44,17,2659.99,
19:49:21,50,43,,,44,50,65,2659.99,,41,44,14,2659.99,
19:49:22,50,43,,,44,50,66,2792.99,,41,44,32,2659.99,
19:49:23,49,43,,,44,50,68,2792.99,,41,44,14,2659.99,
19:49:24,50,44,,,44,50,71,2792.99,,41,44,30,2659.99,
19:49:25,50,43,,,44,50,63,2659.99,,41,44,21,2659.99,
19:49:26,48,44,,,44,50,55,2659.99,,41,44,35,2659.99,
19:49:27,50,43,,,44,50,65,2659.99,,41,44,18,2659.99,
19:49:28,50,43,,,44,50,55,2659.99,,41,44,28,2659.99,
19:49:29,50,44,,,44,50,55,2792.99,,41,44,29,2792.99,
19:49:30,50,44,,,44,50,65,2659.99,,41,44,14,2659.99,
19:49:31,50,43,,,44,50,59,2659.99,,41,44,24,2792.99,
19:49:32,50,43,,,44,50,66,2792.99,,41,44,19,2792.99,
19:49:33,50,43,,,44,50,62,2792.99,,41,44,22,2659.99,
19:49:34,51,43,,,44,51,62,2659.99,,41,44,28,2792.99,
19:49:35,50,44,,,44,51,57,2659.99,,41,44,29,2792.99,
19:49:36,46,44,,,44,51,57,2659.99,,41,44,31,2792.99,
19:49:37,44,41,,,44,51,15,2393.99,,41,44,23,2260.99,
19:49:38,50,44,,,44,51,35,2393.99,,41,44,40,2260.99,
19:49:39,50,44,,,44,51,35,2659.99,,41,44,43,2659.99,
19:49:40,50,44,,,44,51,42,2659.99,,41,44,37,2659.99,
19:49:41,50,44,,,44,51,34,2393.99,,41,44,45,2526.99,
19:49:42,50,44,,,44,51,46,2659.99,,41,44,37,2659.99,
19:49:43,49,44,,,44,51,48,2659.99,,41,44,42,2659.99,
19:49:44,50,44,,,44,51,43,2659.99,,41,44,42,2659.99,
19:49:45,46,42,,,44,51,55,2659.99,,41,44,20,2792.99,
19:49:46,45,42,,,44,51,14,2526.99,,41,44,29,2526.99,
19:49:47,48,43,,,44,51,42,2792.99,,41,44,34,2526.99,
19:49:48,50,43,,,44,51,31,2526.99,,41,44,25,2526.99,
19:49:49,50,44,,,44,51,54,2659.99,,41,44,31,2659.99,
19:49:50,50,44,,,44,51,51,2659.99,,41,44,32,2659.99,
19:49:51,50,44,,,44,51,52,2659.99,,41,44,28,2659.99,
19:49:52,50,44,,,44,51,62,2792.99,,41,44,20,2792.99,
19:49:53,50,44,,,44,51,54,2792.99,,41,44,28,2792.99,
19:49:54,50,44,,,44,51,51,2792.99,,41,44,31,2792.99,
19:49:55,51,44,,,44,51,54,2792.99,,41,44,28,2659.99,
19:49:56,51,45,,,44,51,52,2792.99,,41,45,28,2792.99,
19:49:57,50,44,,,44,51,52,2659.99,,41,45,28,2792.99,
19:49:58,51,45,,,44,51,52,2659.99,,41,45,26,2659.99,
19:49:59,51,44,,,44,51,55,2659.99,,41,45,23,2659.99,
19:50:00,51,44,,,44,51,46,2659.99,,41,45,32,2659.99,
19:50:01,50,45,,,44,51,49,2659.99,,41,45,34,2659.99,
19:50:02,51,44,,,44,51,58,2792.99,,41,45,23,2659.99,
19:50:03,51,44,,,44,51,55,2792.99,,41,45,26,2659.99,
19:50:04,50,44,,,44,51,54,2792.99,,41,45,28,2659.99,
19:50:05,51,44,,,44,51,54,2792.99,,41,45,28,2659.99,
19:50:06,51,44,,,44,51,49,2659.99,,41,45,32,2659.99,
19:50:07,51,44,,,44,51,55,2659.99,,41,45,25,2659.99,
19:50:08,50,44,,,44,51,48,2659.99,,41,45,31,2792.99,
19:50:09,51,44,,,44,51,48,2659.99,,41,45,29,2659.99,
19:50:10,48,43,,,44,51,42,2659.99,,41,45,37,2792.99,
19:50:11,47,43,,,44,51,45,2659.99,,41,45,34,2792.99,
19:50:12,47,42,,,44,51,49,2792.99,,41,45,31,2792.99,
