CPUID:,0x20652,,,,,,,,,,,,
Processor:,Mobile Intel Core i5 520M (Arrandale),,,,,,,,,,,,
Platform:,LGA 1156 (Socket H),,,,,,,,,,,,
Revision:,C2,,,,,,,,,,,,
Lithography:,32nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Session start:,19:18:59 - July 16 - 2011,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz)
19:19:00,45,43,,,43,54,3,1463,,40,51,1,1463
19:19:01,45,42,,,43,54,5,1463,,40,51,4,1463
19:19:02,47,46,,,43,54,4,1795.5,,40,51,2,1662.5
19:19:03,44,41,,,43,54,4,1662.5,,40,51,3,1729
19:19:06,45,44,,,43,54,1,1729,,40,53,5,1995
19:19:07,46,43,,,43,54,3,1729,,40,53,1,1729
19:19:09,45,44,,,43,54,2,1596,,40,53,2,1662.5
19:19:10,45,42,,,43,54,4,1729,,40,53,8,1729
19:19:11,45,43,,,43,54,5,1662.5,,40,53,3,1596
19:19:12,45,42,,,43,54,1,1529.5,,40,53,2,1529.5
19:19:13,46,42,,,43,54,1,1529.5,,40,53,3,1529.5
19:19:14,46,41,,,43,54,1,1596,,40,53,0,1596
19:19:15,46,43,,,43,54,1,1596,,40,53,1,1529.5
19:19:16,45,41,,,43,54,2,1529.5,,40,53,1,1529.5
19:19:17,45,42,,,43,54,1,1529.5,,40,53,3,1529.5
19:19:18,46,43,,,43,54,3,1529.5,,40,53,1,1529.5
19:19:19,45,43,,,43,54,1,1529.5,,40,53,1,1463
19:19:20,45,43,,,43,54,1,1529.5,,40,53,2,1529.5
19:19:21,47,43,,,43,54,0,1529.5,,40,53,2,1463
19:19:22,46,43,,,43,54,4,1529.5,,40,53,1,1529.5
19:19:23,45,44,,,43,54,5,1596,,40,53,1,1596
19:19:24,44,43,,,43,54,1,1463,,40,53,1,1463
19:19:25,45,43,,,43,54,0,1463,,40,53,1,1529.5
19:19:26,46,42,,,43,54,1,1529.5,,40,53,2,1529.5
19:19:27,45,43,,,43,54,1,1529.5,,40,53,4,1463
19:19:28,45,44,,,43,54,4,1529.5,,40,53,3,1463
19:19:29,46,43,,,43,54,4,1529.5,,40,53,4,1529.5
19:19:30,45,44,,,43,54,1,1529.5,,40,53,2,1463
19:19:31,47,44,,,43,54,1,1529.5,,40,53,1,1529.5
19:19:32,45,45,,,43,54,1,1529.5,,40,53,2,1596
19:19:33,47,41,,,43,54,2,1463,,40,53,2,1463
19:19:34,45,42,,,43,54,2,1529.5,,40,53,0,1529.5
19:19:35,45,44,,,43,54,0,1463,,40,53,1,1529.5
19:19:36,46,44,,,43,54,1,1529.5,,40,53,1,1463
19:19:37,46,42,,,43,54,1,1529.5,,40,53,3,1596
19:19:38,47,41,,,43,54,0,1596,,40,53,5,1529.5
19:19:39,49,55,,,43,54,3,1729,,40,55,19,1529.5
19:19:40,47,44,,,43,54,4,1928.5,,40,55,20,1729
19:19:41,46,44,,,43,54,4,1596,,40,55,1,1463
19:19:42,47,43,,,43,54,0,1529.5,,40,55,4,1529.5
19:19:43,44,44,,,43,54,7,1596,,40,55,7,1596
19:19:44,46,45,,,43,54,1,1463,,40,55,1,1463
19:19:45,46,43,,,43,54,2,1463,,40,55,0,1463
19:19:46,47,43,,,43,54,1,1729,,40,55,2,1729
19:19:47,46,43,,,43,54,10,1662.5,,40,55,6,1529.5
19:19:48,46,42,,,43,54,1,1463,,40,55,2,1463
19:19:49,47,44,,,43,54,2,1529.5,,40,55,0,1529.5
19:19:50,45,42,,,43,54,2,1529.5,,40,55,0,1529.5
19:19:51,45,41,,,43,54,2,1463,,40,55,3,1463
19:19:52,46,45,,,43,54,10,1795.5,,40,55,5,1729
19:19:53,47,44,,,43,54,9,1662.5,,40,55,4,1729
19:19:54,45,44,,,43,54,5,1729,,40,55,5,1662.5
19:19:55,47,43,,,43,54,1,1596,,40,55,3,1529.5
19:19:56,46,44,,,43,54,0,1463,,40,55,11,1529.5
19:19:57,48,45,,,43,54,4,1596,,40,55,10,1729
19:19:58,48,45,,,43,54,14,1862,,40,55,7,1862
19:19:59,47,45,,,43,54,1,1596,,40,55,3,1662.5
19:20:00,56,50,,,43,56,14,1729,,40,55,7,1729
19:20:01,59,52,,,43,59,20,2261,,40,55,23,2194.5
19:20:02,53,52,,,43,59,7,2128,,40,55,14,2061.5
19:20:03,46,46,,,43,59,1,1596,,40,55,2,1662.5
19:20:04,47,45,,,43,59,6,1729,,40,55,7,1729
19:20:05,47,46,,,43,59,2,1596,,40,55,1,1596
19:20:06,47,45,,,43,59,0,1529.5,,40,55,0,1529.5
19:20:07,47,45,,,43,59,0,1529.5,,40,55,1,1529.5
19:20:08,48,43,,,43,59,0,1463,,40,55,0,1463
19:20:09,46,43,,,43,59,1,1529.5,,40,55,0,1463
19:20:10,46,43,,,43,59,0,1529.5,,40,55,0,1529.5
19:20:11,47,45,,,43,59,2,1596,,40,55,1,1596
19:20:12,46,43,,,43,59,0,1463,,40,55,1,1463
19:20:13,48,43,,,43,59,0,1529.5,,40,55,2,1529.5
19:20:15,48,43,,,43,59,2,1529.5,,40,55,2,1463
19:20:16,46,44,,,43,59,4,1529.5,,40,55,3,1463
19:20:17,46,43,,,43,59,1,1596,,40,55,2,1529.5
19:20:18,48,43,,,43,59,0,1529.5,,40,55,2,1529.5
19:20:19,47,45,,,43,59,4,1529.5,,40,55,2,1529.5
19:20:20,47,44,,,43,59,1,1529.5,,40,55,0,1529.5
19:20:21,46,42,,,43,59,2,1463,,40,55,4,1463
19:20:22,47,44,,,43,59,1,1463,,40,55,2,1529.5
19:20:23,46,45,,,43,59,4,1463,,40,55,0,1529.5
19:20:24,47,44,,,43,59,0,1529.5,,40,55,0,1463
19:20:25,48,42,,,43,59,2,1529.5,,40,55,1,1463
19:20:26,47,44,,,43,59,2,1463,,40,55,1,1529.5
19:20:27,49,44,,,43,59,0,1529.5,,40,55,0,1529.5
19:20:28,47,42,,,43,59,0,1463,,40,55,1,1529.5
19:20:29,47,41,,,43,59,0,1463,,40,55,0,1529.5
19:20:30,46,43,,,43,59,0,1463,,40,55,1,1529.5
19:20:31,46,44,,,43,59,0,1463,,40,55,0,1529.5
19:20:32,46,43,,,43,59,0,1463,,40,55,0,1529.5
19:20:33,46,44,,,43,59,1,1529.5,,40,55,1,1529.5
19:20:34,46,43,,,43,59,0,1529.5,,40,55,1,1529.5
19:20:35,48,41,,,43,59,1,1463,,40,55,0,1529.5
19:20:36,49,43,,,43,59,1,1463,,40,55,0,1529.5
19:20:37,46,44,,,43,59,1,1463,,40,55,1,1529.5
19:20:38,48,45,,,43,59,0,1463,,40,55,1,1529.5
19:20:39,47,44,,,43,59,0,1463,,40,55,0,1529.5
19:20:40,47,42,,,43,59,0,1463,,40,55,0,1529.5
19:20:41,46,44,,,43,59,0,1529.5,,40,55,0,1529.5
19:20:42,46,43,,,43,59,0,1463,,40,55,0,1529.5
19:20:43,46,43,,,43,59,0,1463,,40,55,0,1529.5
19:20:44,46,43,,,43,59,1,1463,,40,55,0,1529.5
19:20:45,48,44,,,43,59,1,1463,,40,55,1,1463
19:20:46,46,43,,,43,59,0,1463,,40,55,0,1463
19:20:47,47,44,,,43,59,0,1463,,40,55,0,1529.5
19:20:48,47,42,,,43,59,0,1463,,40,55,0,1529.5
19:20:49,46,43,,,43,59,1,1463,,40,55,0,1529.5
19:20:50,48,44,,,43,59,0,1463,,40,55,0,1463
19:20:51,48,44,,,43,59,0,1463,,40,55,1,1463
19:20:52,48,43,,,43,59,2,1463,,40,55,0,1529.5
19:20:53,45,44,,,43,59,1,1529.5,,40,55,1,1463
19:20:54,47,42,,,43,59,1,1529.5,,40,55,3,1596
19:20:55,47,42,,,43,59,1,1463,,40,55,2,1463
19:20:56,48,43,,,43,59,2,1529.5,,40,55,2,1529.5
19:20:57,47,44,,,43,59,2,1463,,40,55,1,1463
19:20:58,48,42,,,43,59,0,1529.5,,40,55,0,1529.5
19:20:59,47,45,,,43,59,0,1463,,40,55,0,1463
19:21:00,47,44,,,43,59,1,1529.5,,40,55,0,1529.5
19:21:01,46,43,,,43,59,0,1463,,40,55,0,1463
19:21:02,46,44,,,43,59,1,1596,,40,55,1,1529.5
19:21:03,46,43,,,43,59,0,1463,,40,55,2,1463
19:21:04,45,44,,,43,59,0,1529.5,,40,55,0,1529.5
19:21:05,47,42,,,43,59,1,1463,,40,55,1,1463
19:21:06,46,43,,,43,59,1,1529.5,,40,55,1,1529.5
19:21:07,46,43,,,43,59,1,1463,,40,55,3,1463
19:21:08,47,41,,,43,59,1,1529.5,,40,55,3,1529.5
19:21:09,46,42,,,43,59,0,1463,,40,55,1,1463
19:21:10,47,43,,,43,59,0,1529.5,,40,55,2,1529.5
19:21:11,47,42,,,43,59,1,1463,,40,55,3,1463
19:21:12,46,43,,,43,59,0,1529.5,,40,55,0,1529.5
19:21:13,47,44,,,43,59,0,1463,,40,55,0,1463
19:21:14,47,43,,,43,59,2,1529.5,,40,55,1,1529.5
19:21:15,46,44,,,43,59,0,1463,,40,55,2,1463
19:21:16,47,45,,,43,59,0,1529.5,,40,55,0,1529.5
19:21:17,46,44,,,43,59,2,1529.5,,40,55,2,1529.5
19:21:18,46,45,,,43,59,3,1529.5,,40,55,1,1463
19:21:19,46,44,,,43,59,6,1729,,40,55,3,1662.5
19:21:20,47,44,,,43,59,5,1463,,40,55,1,1529.5
19:21:21,46,44,,,43,59,3,1596,,40,55,2,1596
19:21:22,47,44,,,43,59,1,1529.5,,40,55,3,1529.5
19:21:23,46,45,,,43,59,1,1463,,40,55,4,1529.5
19:21:24,46,44,,,43,59,1,1529.5,,40,55,3,1596
19:21:25,46,42,,,43,59,2,1529.5,,40,55,5,1596
19:21:27,55,51,,,43,59,9,1529.5,,40,55,11,1596
19:21:29,47,43,,,43,59,4,1596,,40,55,1,1596
19:21:30,47,45,,,43,59,5,1596,,40,55,4,1596
19:21:31,47,46,,,43,59,3,1529.5,,40,55,4,1596
19:21:32,48,48,,,43,59,2,1596,,40,55,5,1529.5
19:21:33,48,44,,,43,59,1,1596,,40,55,3,1596
19:21:34,46,44,,,43,59,0,1529.5,,40,55,3,1529.5
19:21:35,46,45,,,43,59,1,1529.5,,40,55,2,1529.5
19:21:36,48,44,,,43,59,1,1529.5,,40,55,4,1529.5
19:21:37,47,45,,,43,59,0,1596,,40,55,1,1529.5
19:21:38,46,44,,,43,59,0,1463,,40,55,2,1463
19:21:39,47,44,,,43,59,1,1529.5,,40,55,3,1529.5
19:21:40,47,43,,,43,59,2,1529.5,,40,55,2,1529.5
19:21:41,47,44,,,43,59,1,1529.5,,40,55,4,1463
19:21:42,47,46,,,43,59,2,1529.5,,40,55,1,1529.5
19:21:43,47,44,,,43,59,0,1596,,40,55,4,1529.5
19:21:44,48,44,,,43,59,1,1529.5,,40,55,5,1529.5
19:21:45,46,44,,,43,59,3,1529.5,,40,55,2,1529.5
19:21:46,46,46,,,43,59,6,1529.5,,40,55,4,1596
19:21:47,47,42,,,43,59,1,1463,,40,55,1,1529.5
19:21:48,46,43,,,43,59,4,1529.5,,40,55,3,1529.5
19:21:49,49,45,,,43,59,1,1596,,40,55,2,1596
19:21:50,48,44,,,43,59,3,1463,,40,55,1,1463
19:21:51,46,44,,,43,59,2,1463,,40,55,3,1463
19:21:52,47,44,,,43,59,1,1529.5,,40,55,1,1596
19:21:53,47,45,,,43,59,1,1463,,40,55,2,1463
19:21:54,48,45,,,43,59,2,1529.5,,40,55,1,1463
19:21:55,49,46,,,43,59,3,1596,,40,55,5,1529.5
19:21:56,46,44,,,43,59,2,1596,,40,55,1,1596
19:21:57,48,45,,,43,59,1,1463,,40,55,1,1463
19:21:58,46,45,,,43,59,2,1529.5,,40,55,1,1529.5
19:21:59,48,44,,,43,59,1,1463,,40,55,1,1463
19:22:00,47,43,,,43,59,0,1529.5,,40,55,2,1529.5
19:22:01,46,44,,,43,59,1,1529.5,,40,55,0,1529.5
19:22:02,46,44,,,43,59,1,1463,,40,55,2,1463
19:22:03,47,43,,,43,59,1,1463,,40,55,4,1463
19:22:04,46,44,,,43,59,3,1529.5,,40,55,2,1529.5
19:22:05,48,44,,,43,59,2,1463,,40,55,2,1463
19:22:06,47,45,,,43,59,1,1529.5,,40,55,2,1529.5
19:22:07,46,44,,,43,59,1,1463,,40,55,2,1463
19:22:08,46,45,,,43,59,4,1463,,40,55,1,1529.5
19:22:09,47,44,,,43,59,0,1529.5,,40,55,0,1529.5
19:22:10,46,46,,,43,59,2,1529.5,,40,55,8,1529.5
19:22:11,46,47,,,43,59,1,1529.5,,40,55,1,1463
19:22:12,46,44,,,43,59,1,1529.5,,40,55,1,1529.5
19:22:13,46,45,,,43,59,4,1463,,40,55,2,1529.5
19:22:14,47,46,,,43,59,1,1463,,40,55,2,1463
19:22:15,46,46,,,43,59,1,1529.5,,40,55,2,1529.5
19:22:16,48,45,,,43,59,0,1463,,40,55,5,1529.5
19:22:17,47,43,,,43,59,2,1463,,40,55,1,1463
19:22:18,56,60,,,43,59,20,2660,,40,60,29,2327.5
19:22:19,57,59,,,43,59,30,2660,,40,60,20,2261
19:22:20,55,66,,,43,59,17,2660,,40,66,34,2460.5
19:22:21,63,56,,,43,63,13,2660,,40,66,36,2793
19:22:22,64,53,,,43,64,32,2660,,40,66,17,2261
19:22:23,65,53,,,43,65,47,2859.5,,40,66,2,1862
19:22:24,56,68,,,43,65,4,2660,,40,68,46,2726.5
19:22:25,56,67,,,43,65,23,2660,,40,68,26,2460.5
19:22:26,57,68,,,43,65,27,2660,,40,68,24,2394
19:22:27,65,56,,,43,65,25,2726.5,,40,68,24,2460.5
19:22:28,61,59,,,43,65,37,2793,,40,68,12,2194.5
19:22:29,67,55,,,43,67,41,2726.5,,40,68,8,2128
19:22:30,57,70,,,43,67,5,2726.5,,40,70,45,2593.5
19:22:31,59,67,,,43,67,45,2793,,40,70,4,2061.5
19:22:32,68,56,,,43,68,48,2859.5,,40,70,2,1928.5
19:22:33,67,57,,,43,68,47,2859.5,,40,70,3,1928.5
19:22:34,67,58,,,43,68,34,2793,,40,70,17,2128
19:22:35,64,60,,,43,68,13,2726.5,,40,70,37,2527
19:22:36,58,71,,,43,68,22,2726.5,,40,71,27,2460.5
19:22:37,68,57,,,43,68,47,2726.5,,40,71,4,2261
19:22:39,59,71,,,43,68,12,2793,,40,71,37,2327.5
19:22:40,69,57,,,43,69,50,2793,,40,71,0,2261
19:22:41,68,59,,,43,69,20,2726.5,,40,71,30,2261
