CPUID:,0x20652
Processor:,Mobile Intel Core i5 520M (Arrandale)
Platform:,LGA 1156 (Socket H)
Revision:,C2
Lithography:,32nm

Session start:,13:49:45 - July 17 - 2011

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
13:49:46,42,41,,,37,54,3,1396.43,,34,58,2,1462.93,
13:49:47,43,40,,,37,54,4,1396.43,,34,58,3,1462.93,
13:49:48,43,40,,,37,54,5,1396.43,,34,58,7,1396.43,
13:49:49,44,40,,,37,54,7,1529.43,,34,58,8,1529.43,
13:49:50,43,39,,,37,54,5,1396.43,,34,58,7,1462.93,
13:49:51,42,39,,,37,54,9,1396.43,,34,58,7,1396.43,
13:49:52,43,41,,,37,54,5,1396.43,,34,58,10,1396.43,
13:49:53,53,52,,,37,54,33,1728.92,,34,58,35,1529.43,
13:49:54,43,40,,,37,54,26,1861.91,,34,58,11,1861.91,
13:49:55,42,40,,,37,54,3,1462.93,,34,58,9,1396.43,
13:49:56,43,43,,,37,54,6,1462.93,,34,58,6,1396.43,
13:49:57,43,41,,,37,54,11,1662.42,,34,58,11,1662.42,
13:49:58,44,40,,,37,54,7,1462.93,,34,58,1,1396.43,
13:49:59,45,45,,,37,54,15,1861.91,,34,58,19,1928.41,
13:50:00,43,42,,,37,54,14,1529.43,,34,58,13,1595.92,
13:50:01,43,39,,,37,54,4,1529.43,,34,58,3,1595.92,
13:50:02,44,42,,,37,54,5,1462.93,,34,58,1,1529.43,
13:50:03,43,40,,,37,54,5,1396.43,,34,58,3,1396.43,
13:50:04,46,44,,,37,54,9,1662.42,,34,58,14,1595.92,
13:50:15,45,42,,,37,54,21,1595.92,,34,58,17,1529.43,
13:50:16,43,41,,,37,54,2,1462.93,,34,58,14,1396.43,
13:50:17,45,41,,,37,54,7,1462.93,,34,58,5,1396.43,
13:50:18,42,40,,,37,54,6,1462.93,,34,58,5,1396.43,
